year,latest,possibly_extinct,possibly_extinct_in_the_wild,iucn_sid,url,sciname,category,assessment_id,code,code_type,scopes,description
2014,TRUE,FALSE,FALSE,170175,https://www.iucnredlist.org/species/170175/1287615,Diplodus capensis,LC,1287615,0,population_trend,,Increasing
2014,TRUE,FALSE,FALSE,170201,https://www.iucnredlist.org/species/170201/1292355,Pachymetopon aeneum,LC,1292355,0,population_trend,,Increasing
2014,TRUE,FALSE,FALSE,170206,https://www.iucnredlist.org/species/170206/1293194,Polysteganus undulosus,CR,1293194,0,population_trend,,Increasing
2014,TRUE,FALSE,FALSE,170231,https://www.iucnredlist.org/species/170231/1297891,Argyrozona argyrozona,NT,1297891,0,population_trend,,Increasing
2014,TRUE,FALSE,FALSE,170259,https://www.iucnredlist.org/species/170259/1303743,Chrysoblephus puniceus,LC,1303743,0,population_trend,,Increasing
2013,TRUE,FALSE,FALSE,177137,https://www.iucnredlist.org/species/177137/1468608,Pteris vittata,LC,1468608,0,population_trend,,Increasing
2015,TRUE,FALSE,FALSE,194969,https://www.iucnredlist.org/species/194969/2369649,Conger conger,LC,2369649,0,population_trend,,Increasing
2013,TRUE,FALSE,FALSE,201947,https://www.iucnredlist.org/species/201947/2731015,Alosa mediocris,LC,2731015,0,population_trend,,Increasing
2022,TRUE,FALSE,FALSE,245,https://www.iucnredlist.org/species/245/2785934,Acipenser oxyrinchus,VU,2785934,0,population_trend,,Increasing
2020,TRUE,FALSE,FALSE,29605,https://www.iucnredlist.org/species/29605/2790768,Cyclura stejnegeri,CR,2790768,0,population_trend,,Increasing
2013,TRUE,FALSE,FALSE,42248,https://www.iucnredlist.org/species/42248/2966458,Juniperus rigida,LC,2966458,0,population_trend,,Increasing
2012,TRUE,FALSE,FALSE,44275,https://www.iucnredlist.org/species/44275/2994409,Cyclura lewisi,EN,2994409,0,population_trend,,Increasing
2019,TRUE,FALSE,FALSE,46583,https://www.iucnredlist.org/species/46583/3009637,Alligator mississippiensis,LC,3009637,0,population_trend,,Increasing
2021,TRUE,FALSE,FALSE,60206,https://www.iucnredlist.org/species/60206/3092676,Mustelus sinusmexicanus,LC,3092676,0,population_trend,,Increasing
2020,TRUE,FALSE,FALSE,6031,https://www.iucnredlist.org/species/6031/3098403,Cyclura pinguis,CR,3098403,0,population_trend,,Increasing
2020,TRUE,FALSE,FALSE,61416,https://www.iucnredlist.org/species/61416/3104105,Squalus cubensis,LC,3104105,0,population_trend,,Increasing
2010,TRUE,FALSE,FALSE,155123,https://www.iucnredlist.org/species/155123/4717767,Clupea harengus,LC,4717767,0,population_trend,,Increasing
