"","rgn_id","rgn","score_new","score_old","rgn_name","diff","abs_diff"
"1",48,"status",0.391,0.161,"Oman",0.23,0.23
"2",60,"status",0.5,1,"Gibraltar",-0.5,0.5
"3",63,"status",0,0.371,"Western Sahara",-0.371,0.371
"4",75,"status",1,0.579,"Ukraine",0.421,0.421
"5",96,"status",1,0.015,"Sierra Leone",0.985,0.985
"6",102,"status",0.926,1,"South Africa",-0.074,0.074
"7",107,"status",1,0.5,"Clipperton Island",0.5,0.5
"8",146,"status",1,0.5,"Pitcairn",0.5,0.5
"9",166,"status",0.946,0.83,"Jamaica",0.116,0.116
"10",190,"status",0.791,0.665,"Qatar",0.126,0.126
"11",218,"status",0.304,0.243,"Canada",0.061,0.061
