rgn_id,rgn_name,S_score
163,United States,5.24
182,Spain,5.18
210,Japan,5.09
179,France,5.07
16,Australia,5
176,Germany,5
180,United Kingdom,4.96
209,China,4.94
184,Italy,4.9
218,Canada,4.81
183,Portugal,4.78
208,Singapore,4.76
20,South Korea,4.74
177,Netherlands,4.64
175,Denmark,4.63
54,United Arab Emirates,4.62
222,Sweden,4.57
174,Finland,4.52
80,Greece,4.52
216,Indonesia,4.46
59,Belgium,4.45
181,Ireland,4.44
162,New Zealand,4.41
171,Brazil,4.41
178,Poland,4.4
76,Turkey,4.39
81,Cyprus,4.37
224,Chile,4.33
143,Iceland,4.32
68,Malta,4.3
206,Malaysia,4.28
70,Estonia,4.28
135,Mexico,4.26
203,India,4.25
71,Bulgaria,4.25
50,Saudi Arabia,4.23
188,Slovenia,4.22
72,Romania,4.19
189,Lithuania,4.17
74,Georgia,4.14
187,Croatia,4.13
25,Thailand,4.12
79,Israel,4.1
172,Argentina,4.1
132,Colombia,4.08
130,Costa Rica,4.08
190,Qatar,4.02
102,South Africa,3.99
37,Mauritius,3.98
52,Bahrain,3.96
207,Vietnam,3.96
186,Montenegro,3.96
214,Egypt,3.96
138,Peru,3.9
129,Panama,3.9
115,Dominican Republic,3.88
69,Latvia,3.88
82,Albania,3.87
48,Oman,3.87
15,Philippines,3.84
215,Jordan,3.81
173,Uruguay,3.79
191,Iran,3.72
124,Barbados,3.71
40,Sri Lanka,3.69
43,Kenya,3.68
78,Lebanon,3.66
137,Ecuador,3.66
202,Tanzania,3.65
62,Morocco,3.64
61,Tunisia,3.6
166,Jamaica,3.59
24,Cambodia,3.57
126,Trinidad and Tobago,3.52
232,Bosnia and Herzegovina,3.51
101,Namibia,3.45
51,Kuwait,3.44
134,El Salvador,3.43
84,Algeria,3.42
136,Guatemala,3.42
53,Pakistan,3.41
139,Venezuela,3.34
106,Ghana,3.28
66,Senegal,3.24
131,Nicaragua,3.24
204,Bangladesh,3.19
133,Honduras,3.19
196,Nigeria,3.18
99,Benin,3.16
195,Ivory Coast,3.13
200,Angola,3.05
197,Cameroon,2.99
96,Sierra Leone,2.89
