comname,sciname,ico_gl,ico_rgn_id,iucn_sid,subpop,cat_2024,year,assess_year,cat,cat_txt,cat_score,eval_yr,cat_2024_score
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,2001,NA,VU,Lower Risk/conservation dependent,0.4,1996,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,2002,NA,VU,Lower Risk/conservation dependent,0.4,1996,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,2003,NA,VU,Lower Risk/conservation dependent,0.4,1996,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,2004,NA,VU,Lower Risk/conservation dependent,0.4,1996,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,2005,NA,VU,Lower Risk/conservation dependent,0.4,1996,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,2006,NA,VU,Lower Risk/conservation dependent,0.4,1996,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,2007,NA,VU,Lower Risk/conservation dependent,0.4,1996,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,2008,2018,LC,Least Concern,0,2008,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,2009,NA,LC,Least Concern,0,2008,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,2010,NA,LC,Least Concern,0,2008,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,2011,NA,LC,Least Concern,0,2008,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,2012,2018,LC,Least Concern,0,2012,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,2013,NA,LC,Least Concern,0,2012,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,2014,NA,LC,Least Concern,0,2012,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,2015,NA,LC,Least Concern,0,2012,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,2016,NA,LC,Least Concern,0,2012,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,2017,NA,LC,Least Concern,0,2012,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,2018,2018,LC,Least Concern,0,2018,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,2019,NA,LC,Least Concern,0,2018,0
