iucn_sid,count,code,country,presence,rgn_id,rgn_name,comname,sciname,ico_gl,ico_rgn_id,subpop,cat
19488,32,AE,United Arab Emirates,Extant,54,United Arab Emirates,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
39378,32,AE,United Arab Emirates,Extant,54,United Arab Emirates,Tiger Shark,Galeocerdo cuvier,TRUE,NA,NA,NT
39381,32,AE,United Arab Emirates,Extant,54,United Arab Emirates,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
8005,32,AE,United Arab Emirates,Extant,54,United Arab Emirates,Hawksbill Turtle,Eretmochelys imbricata,TRUE,NA,NA,CR
13006,32,AE,United Arab Emirates,Extant,54,United Arab Emirates,Humpback Whale,Megaptera novaeangliae,TRUE,NA,NA,LC
39375,32,AE,United Arab Emirates,Extant,54,United Arab Emirates,Blacktip reef shark,Carcharhinus melanopterus,TRUE,NA,NA,VU
3897,32,AE,United Arab Emirates,Extant,54,United Arab Emirates,Loggerhead Turtle,Caretta caretta,TRUE,NA,NA,VU
39365,32,AE,United Arab Emirates,Extant,54,United Arab Emirates,Gray reef shark,Carcharhinus amblyrhynchos,TRUE,NA,NA,EN
39384,32,AE,United Arab Emirates,Extant,54,United Arab Emirates,Whitetip reef shark,Triaenodon obesus,TRUE,NA,NA,VU
20738,32,AE,United Arab Emirates,Extant,54,United Arab Emirates,Rough Toothed Dolphin,Steno bredanensis,TRUE,NA,NA,LC
22696495,32,AE,United Arab Emirates,Extant,54,United Arab Emirates,Saker Falcon,Falco cherrug,FALSE,54,NA,EN
3855,32,AE,United Arab Emirates,Extant,54,United Arab Emirates,Great White Shark,Carcharodon carcharias,TRUE,NA,NA,VU
39339,32,AE,United Arab Emirates,Extant,54,United Arab Emirates,Thresher Shark,Alopias vulpinus,TRUE,NA,NA,VU
4615,32,AE,United Arab Emirates,Extant,54,United Arab Emirates,Green Turtle,Chelonia mydas,TRUE,NA,NA,EN
19488,38,AG,Antigua and Barbuda,Extant,120,Antigua and Barbuda,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
39341,38,AG,Antigua and Barbuda,Extant,120,Antigua and Barbuda,Shortfin Mako,Isurus oxyrinchus,TRUE,NA,NA,EN
39378,38,AG,Antigua and Barbuda,Extant,120,Antigua and Barbuda,Tiger Shark,Galeocerdo cuvier,TRUE,NA,NA,NT
39381,38,AG,Antigua and Barbuda,Extant,120,Antigua and Barbuda,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
60217,38,AG,Antigua and Barbuda,Extant,120,Antigua and Barbuda,Caribbean reef shark,Carcharhinus perezi,TRUE,NA,NA,EN
60225,38,AG,Antigua and Barbuda,Extant,120,Antigua and Barbuda,Longfin Mako,Isurus paucus,TRUE,NA,NA,EN
11534,38,AG,Antigua and Barbuda,Extant,120,Antigua and Barbuda,Olive Ridley Turtle,Lepidochelys olivacea,TRUE,NA,NA,VU
8005,38,AG,Antigua and Barbuda,Extant,120,Antigua and Barbuda,Hawksbill Turtle,Eretmochelys imbricata,TRUE,NA,NA,CR
6494,38,AG,Antigua and Barbuda,Extant,120,Antigua and Barbuda,Leatherback Turtle,Dermochelys coriacea,TRUE,NA,NA,VU
2474,38,AG,Antigua and Barbuda,Extant,120,Antigua and Barbuda,Minke whale,Balaenoptera acutorostrata,TRUE,NA,NA,LC
13006,38,AG,Antigua and Barbuda,Extant,120,Antigua and Barbuda,Humpback Whale,Megaptera novaeangliae,TRUE,NA,NA,LC
191108,38,AG,Antigua and Barbuda,Extant,120,Antigua and Barbuda,American Eel,Anguilla rostrata,FALSE,120,NA,EN
20738,38,AG,Antigua and Barbuda,Extant,120,Antigua and Barbuda,Rough Toothed Dolphin,Steno bredanensis,TRUE,NA,NA,LC
181500967,38,AG,Antigua and Barbuda,Extant,120,Antigua and Barbuda,Great Blue Heron,Ardea herodias,FALSE,120,NA,LC
4292,38,AG,Antigua and Barbuda,Extant,120,Antigua and Barbuda,Basking Shark,Cetorhinus maximus,TRUE,NA,NA,EN
3855,38,AG,Antigua and Barbuda,Extant,120,Antigua and Barbuda,Great White Shark,Carcharodon carcharias,TRUE,NA,NA,VU
39339,38,AG,Antigua and Barbuda,Extant,120,Antigua and Barbuda,Thresher Shark,Alopias vulpinus,TRUE,NA,NA,VU
4615,38,AG,Antigua and Barbuda,Extant,120,Antigua and Barbuda,Green Turtle,Chelonia mydas,TRUE,NA,NA,EN
19488,37,AI,Anguilla,Extant,118,Anguilla,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
39341,37,AI,Anguilla,Extant,118,Anguilla,Shortfin Mako,Isurus oxyrinchus,TRUE,NA,NA,EN
39378,37,AI,Anguilla,Extant,118,Anguilla,Tiger Shark,Galeocerdo cuvier,TRUE,NA,NA,NT
39381,37,AI,Anguilla,Extant,118,Anguilla,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
60217,37,AI,Anguilla,Extant,118,Anguilla,Caribbean reef shark,Carcharhinus perezi,TRUE,NA,NA,EN
60225,37,AI,Anguilla,Extant,118,Anguilla,Longfin Mako,Isurus paucus,TRUE,NA,NA,EN
6494,37,AI,Anguilla,Extant,118,Anguilla,Leatherback Turtle,Dermochelys coriacea,TRUE,NA,NA,VU
2474,37,AI,Anguilla,Extant,118,Anguilla,Minke whale,Balaenoptera acutorostrata,TRUE,NA,NA,LC
13006,37,AI,Anguilla,Extant,118,Anguilla,Humpback Whale,Megaptera novaeangliae,TRUE,NA,NA,LC
3897,37,AI,Anguilla,Extant,118,Anguilla,Loggerhead Turtle,Caretta caretta,TRUE,NA,NA,VU
191108,37,AI,Anguilla,Extant,118,Anguilla,American Eel,Anguilla rostrata,FALSE,118,NA,EN
20738,37,AI,Anguilla,Extant,118,Anguilla,Rough Toothed Dolphin,Steno bredanensis,TRUE,NA,NA,LC
181500967,37,AI,Anguilla,Extant,118,Anguilla,Great Blue Heron,Ardea herodias,FALSE,118,NA,LC
4292,37,AI,Anguilla,Extant,118,Anguilla,Basking Shark,Cetorhinus maximus,TRUE,NA,NA,EN
3855,37,AI,Anguilla,Extant,118,Anguilla,Great White Shark,Carcharodon carcharias,TRUE,NA,NA,VU
39339,37,AI,Anguilla,Extant,118,Anguilla,Thresher Shark,Alopias vulpinus,TRUE,NA,NA,VU
4615,37,AI,Anguilla,Extant,118,Anguilla,Green Turtle,Chelonia mydas,TRUE,NA,NA,EN
39341,25,AL,Albania,Extant,82,Albania,Shortfin Mako,Isurus oxyrinchus,TRUE,NA,NA,EN
