"nutrient","year","process_type","category_type","before_exclusion_sum","after_exclusion_sum"
"N",2005,"leached","crop_manure",53092693.8381292,17676650.5356407
"N",2005,"leached","crop",16952336.5625335,5708432.39580309
"N",2005,"leached","manure",36140357.2756009,11968218.1398378
"N",2006,"leached","crop_manure",53656326.4251988,17859916.129385
"N",2006,"leached","crop",17484040.7140269,5883851.01776525
"N",2006,"leached","manure",36172285.7111792,11976065.11162
"N",2007,"leached","crop_manure",54203308.7064392,18041595.6866973
"N",2007,"leached","crop",18007729.5310261,6058016.30017955
"N",2007,"leached","manure",36195579.1754147,11983579.3865178
"N",2008,"leached","crop_manure",53837064.6809433,17928919.8750994
"N",2008,"leached","crop",17706190.6962659,5964137.14400287
"N",2008,"leached","manure",36130873.984683,11964782.7310965
"N",2009,"leached","crop_manure",54108127.4667047,18016304.9960915
"N",2009,"leached","crop",17991923.1833172,6056772.61703533
"N",2009,"leached","manure",36116204.2833873,11959532.3790562
"N",2010,"leached","crop_manure",54896151.118919,18275020.043368
"N",2010,"leached","crop",18706492.374536,6291875.17349908
"N",2010,"leached","manure",36189658.7443857,11983144.869869
"N",2011,"leached","crop_manure",55569824.2624245,18504391.444889
"N",2011,"leached","crop",19348593.2004697,6510672.95838328
"N",2011,"leached","manure",36221231.0619592,11993718.4865057
"N",2012,"leached","crop_manure",55742706.3252095,18555976.0790842
"N",2012,"leached","crop",19386082.2629574,6525298.88978429
"N",2012,"leached","manure",36356624.0622502,12030677.1893002
"N",2013,"leached","crop_manure",55911816.240137,18608481.5485124
"N",2013,"leached","crop",19542974.8561169,6573753.41864301
"N",2013,"leached","manure",36368841.3840169,12034728.1298694
"N",2014,"leached","crop_manure",56116751.7685137,18683048.698575
"N",2014,"leached","crop",19733546.0355771,6642697.11284448
"N",2014,"leached","manure",36383205.7329377,12040351.5857304
"N",2015,"leached","crop_manure",55974006.0748594,18630516.3613375
"N",2015,"leached","crop",19586467.0729636,6588022.11205721
"N",2015,"leached","manure",36387539.0018958,12042494.2492803
"N",2016,"leached","crop_manure",55895849.4034916,18600568.215613
"N",2016,"leached","crop",19516045.8572513,6560696.31236375
"N",2016,"leached","manure",36379803.5462412,12039871.9032495
"N",2017,"leached","crop_manure",55927069.135593,18604916.1295089
"N",2017,"leached","crop",19546062.6474912,6564648.13646912
"N",2017,"leached","manure",36381006.4881026,12040267.99304
"N",2018,"leached","crop_manure",55549273.1665335,18479104.1416336
"N",2018,"leached","crop",19207109.6656707,6449587.64160527
"N",2018,"leached","manure",36342163.5008669,12029516.5000285
"N",2019,"leached","crop_manure",55339908.8865159,18395229.1263881
"N",2019,"leached","crop",19014267.7616403,6371491.48938322
"N",2019,"leached","manure",36325641.1248749,12023737.6370052
"N",2020,"leached","crop_manure",55642096.5294743,18492223.938131
"N",2020,"leached","crop",19316455.4046004,6468486.30112581
"N",2020,"leached","manure",36325641.1248749,12023737.6370052
"N",2005,"volt","crop_manure",82212589.4879609,474742.356728663
"N",2005,"volt","crop",13185025.753422,79615.2962453341
"N",2005,"volt","manure",69027563.7345452,395127.060483335
"N",2006,"volt","crop_manure",82681680.0295187,476170.720655373
"N",2006,"volt","crop",13655108.4360505,81120.9585798534
"N",2006,"volt","manure",69026571.5934733,395049.76207553
"N",2007,"volt","crop_manure",83168615.483245,479086.766095355
"N",2007,"volt","crop",14134954.3109892,83987.2923838288
"N",2007,"volt","manure",69033661.1722653,395099.473711519
"N",2008,"volt","crop_manure",83131013.7478943,478637.303356009
