"year","nutrient","nutrient_sum","type"
"2005","N",190397192.104627,"manure"
"2005","P",40600526.3210782,"manure"
"2006","N",190400215.218528,"manure"
"2006","P",40601257.7303362,"manure"
"2007","N",190399273.922927,"manure"
"2007","P",40601031.7237921,"manure"
"2008","N",190399278.820074,"manure"
"2008","P",40601032.9014142,"manure"
"2009","N",190398704.616807,"manure"
"2009","P",40600895.0424562,"manure"
"2010","N",190398685.690727,"manure"
"2010","P",40600890.4961559,"manure"
"2011","N",190401496.620724,"manure"
"2011","P",40601565.3814522,"manure"
"2012","N",191428324.086403,"manure"
"2012","P",40786171.9074087,"manure"
"2013","N",191436742.54787,"manure"
"2013","P",40787799.5233527,"manure"
"2014","N",191436381.558934,"manure"
"2014","P",40787712.8356135,"manure"
"2015","N",191427021.464283,"manure"
"2015","P",40785864.4323677,"manure"
"2016","N",191427110.789266,"manure"
"2016","P",40785885.8753121,"manure"
"2017","N",191426523.387889,"manure"
"2017","P",40785743.7851615,"manure"
"2018","N",191294794.468152,"manure"
"2018","P",40757827.5234041,"manure"
"2019","N",191294522.017517,"manure"
"2019","P",40757762.1303128,"manure"
"2020","N",191294522.017517,"manure"
"2020","P",40757762.1303128,"manure"
