"nutrient","year","process_type","category_type","before_exclusion_sum","after_exclusion_sum","total_nutrient_applied","percent_excluded_before","percent_excluded_after"
"N",2005,"leached","crop_manure",53092693.8381292,17676650.5356407,274672897.561821,0.193294257676732,0.0643552774684012
"N",2005,"leached","crop",16952336.5625335,5708432.39580309,84275705.4571935,0.201153303559638,0.0677352074934881
"N",2005,"leached","manure",36140357.2756009,11968218.1398378,190397192.104627,0.189815600094255,0.0628592155563987
"N",2006,"leached","crop_manure",53656326.4251988,17859916.129385,277540435.33407,0.193327960881137,0.0643506813985046
"N",2006,"leached","crop",17484040.7140269,5883851.01776525,87140220.1155418,0.200642604423586,0.0675216451136304
"N",2006,"leached","manure",36172285.7111792,11976065.11162,190400215.218528,0.189980277436468,0.0628994305383253
"N",2007,"leached","crop_manure",54203308.7064392,18041595.6866973,280641592.238131,0.193140682655643,0.0642869631076942
"N",2007,"leached","crop",18007729.5310261,6058016.30017955,90242318.3152042,0.199548613856833,0.0671305482093193
"N",2007,"leached","manure",36195579.1754147,11983579.3865178,190399273.922927,0.190103556750256,0.0629392073804269
"N",2008,"leached","crop_manure",53837064.6809433,17928919.8750994,279327777.912163,0.192737954969422,0.0641859538965627
"N",2008,"leached","crop",17706190.6962659,5964137.14400287,88928499.092089,0.199105920790707,0.0670666569760361
"N",2008,"leached","manure",36130873.984683,11964782.7310965,190399278.820074,0.189763712386886,0.0628404834579397
"N",2009,"leached","crop_manure",54108127.4667047,18016304.9960915,281905876.956097,0.191936855133855,0.0639089372333209
"N",2009,"leached","crop",17991923.1833172,6056772.61703533,91507172.3392903,0.196617628141833,0.0661890479423627
"N",2009,"leached","manure",36116204.2833873,11959532.3790562,190398704.616807,0.189687237400455,0.0628130974059185
"N",2010,"leached","crop_manure",54896151.118919,18275020.043368,285665977.023641,0.19216902093446,0.0639733867987212
"N",2010,"leached","crop",18706492.374536,6291875.17349908,95267291.332914,0.196357974629148,0.0660444428036897
"N",2010,"leached","manure",36189658.7443857,11983144.869869,190398685.690727,0.190073049155235,0.0629371196885978
"N",2011,"leached","crop_manure",55569824.2624245,18504391.444889,289031355.765224,0.192262268968364,0.0640220899075041
"N",2011,"leached","crop",19348593.2004697,6510672.95838328,98629859.1445004,0.19617378923884,0.0660111756708953
"N",2011,"leached","manure",36221231.0619592,11993718.4865057,190401496.620724,0.190236062766414,0.0629917238013993
"N",2012,"leached","crop_manure",55742706.3252095,18555976.0790842,290106356.503238,0.192145759910598,0.063962666322608
"N",2012,"leached","crop",19386082.2629574,6525298.88978429,98678032.4168355,0.196457932815956,0.0661271686308067
"N",2012,"leached","manure",36356624.0622502,12030677.1893002,191428324.086403,0.189922908408477,0.0628469023417352
"N",2013,"leached","crop_manure",55911816.240137,18608481.5485124,291712143.589817,0.191667770673119,0.0637905618858233
"N",2013,"leached","crop",19542974.8561169,6573753.41864301,100275401.041947,0.194893011177704,0.0655569895541289
"N",2013,"leached","manure",36368841.3840169,12034728.1298694,191436742.54787,0.189978375624118,0.0628652993657163
"N",2014,"leached","crop_manure",56116751.7685137,18683048.698575,292689187.272032,0.191728134173804,0.0638323843552531
"N",2014,"leached","crop",19733546.0355771,6642697.11284448,101252805.713098,0.194893819451211,0.0656050670997375
"N",2014,"leached","manure",36383205.7329377,12040351.5857304,191436381.558934,0.190053768445979,0.0628947929734232
"N",2015,"leached","crop_manure",55974006.0748594,18630516.3613375,291404286.653634,0.192083674257649,0.0639335700077806
"N",2015,"leached","crop",19586467.0729636,6588022.11205721,99977265.1893513,0.195909210317645,0.0658952022700348
"N",2015,"leached","manure",36387539.0018958,12042494.2492803,191427021.464283,0.190085698056401,0.0629090614123525
"N",2016,"leached","crop_manure",55895849.4034916,18600568.215613,292482342.054204,0.191108458072771,0.0635955254083881
"N",2016,"leached","crop",19516045.8572513,6560696.31236375,101055231.264938,0.193122568846394,0.0649218870734507
"N",2016,"leached","manure",36379803.5462412,12039871.9032495,191427110.789266,0.190045199952321,0.0628953331302361
"N",2017,"leached","crop_manure",55927069.135593,18604916.1295089,294517770.740794,0.18989369977547,0.0631707760204499
"N",2017,"leached","crop",19546062.6474912,6564648.13646912,103091247.352905,0.189599632843519,0.0636780357695821
"N",2017,"leached","manure",36381006.4881026,12040267.99304,191426523.387889,0.190052067206922,0.0628975952754609
"N",2018,"leached","crop_manure",55549273.1665335,18479104.1416336,293058961.959041,0.189549818900598,0.0630559257362561
"N",2018,"leached","crop",19207109.6656707,6449587.64160527,101764167.490889,0.188741382544011,0.0633777861169326
