rgn_id,rgn_name,year,usd,unit,sector,usd_yr
82,Albania,1984,1399815.2999999998,USD (1),mar,1984
82,Albania,1985,1393635.0999999999,USD (1),mar,1985
82,Albania,1986,2706927.5999999996,USD (1),mar,1986
82,Albania,1987,2793450.4,USD (1),mar,1987
82,Albania,1988,4599518.77,USD (1),mar,1988
82,Albania,1989,2230576.8,USD (1),mar,1989
82,Albania,1990,5280505.499999999,USD (1),mar,1990
82,Albania,1991,944144.3999999999,USD (1),mar,1991
82,Albania,1992,434159.05,USD (1),mar,1992
82,Albania,1993,455908.6,USD (1),mar,1993
82,Albania,1994,452699.64999999997,USD (1),mar,1994
82,Albania,1995,463514.99999999994,USD (1),mar,1995
82,Albania,1996,415974.99999999994,USD (1),mar,1996
82,Albania,1997,487284.99999999994,USD (1),mar,1997
82,Albania,1998,360590.89999999997,USD (1),mar,1998
82,Albania,1999,485526.01999999996,USD (1),mar,1999
82,Albania,2000,370788.23,USD (1),mar,2000
82,Albania,2001,1114836.7699999998,USD (1),mar,2001
82,Albania,2002,1713008.82,USD (1),mar,2002
82,Albania,2003,3638664.0599999996,USD (1),mar,2003
82,Albania,2004,4995431.89,USD (1),mar,2004
82,Albania,2005,4426972.34,USD (1),mar,2005
82,Albania,2006,6951156.179999998,USD (1),mar,2006
82,Albania,2007,9638948.929999998,USD (1),mar,2007
82,Albania,2008,10061603.299999999,USD (1),mar,2008
82,Albania,2009,10624976.069999998,USD (1),mar,2009
82,Albania,2010,11460016.169999998,USD (1),mar,2010
82,Albania,2011,10689868.17,USD (1),mar,2011
82,Albania,2012,28036025.67,USD (1),mar,2012
82,Albania,2013,31492635.299999997,USD (1),mar,2013
82,Albania,2014,33261765.089999996,USD (1),mar,2014
82,Albania,2015,28960108.19,USD (1),mar,2015
82,Albania,2016,32962168.009999998,USD (1),mar,2016
82,Albania,2017,41315088.629999995,USD (1),mar,2017
82,Albania,2018,38026128.809999995,USD (1),mar,2018
82,Albania,2019,39860174.47,USD (1),mar,2019
82,Albania,2020,79240622.8,USD (1),mar,2020
82,Albania,2021,80352131.77,USD (1),mar,2021
82,Albania,2022,86542220.08999999,USD (1),mar,2022
84,Algeria,1984,507225.9,USD (1),mar,1984
84,Algeria,1985,520200.30000000005,USD (1),mar,1985
84,Algeria,1986,916014.9,USD (1),mar,1986
84,Algeria,1987,1003989.6000000001,USD (1),mar,1987
84,Algeria,1988,810661.5,USD (1),mar,1988
84,Algeria,1989,526051.5,USD (1),mar,1989
84,Algeria,1990,637526.4,USD (1),mar,1990
84,Algeria,1991,625378.8,USD (1),mar,1991
84,Algeria,1992,157791.60000000003,USD (1),mar,1992
84,Algeria,1993,514078.80000000005,USD (1),mar,1993
84,Algeria,1994,627414,USD (1),mar,1994
84,Algeria,1995,598793.9999999999,USD (1),mar,1995
84,Algeria,1996,524382,USD (1),mar,1996
84,Algeria,1997,524382,USD (1),mar,1997
84,Algeria,1998,497829,USD (1),mar,1998
84,Algeria,1999,431367,USD (1),mar,1999
84,Algeria,2000,617397,USD (1),mar,2000
84,Algeria,2001,842700,USD (1),mar,2001
84,Algeria,2002,864324,USD (1),mar,2002
