wdpa_category,cell_id,mpa_pct,prot_area_km2
-1,876944,0.012195121951219513,1.0121951219512195
-1,885462,0.022727272727272728,1.0227272727272727
-1,895168,0.11,11.11
-1,895169,0.28,28.28
-1,895170,0.45,45.45
-1,895171,0.63,63.63
-1,895172,0.03,3.03
-1,898006,0.94,94.94
-1,898007,1,101
-1,898008,1,101
-1,898009,1,101
-1,898010,1,101
-1,898011,0.11,11.11
-1,900845,0.9,90.9
-1,900846,1,101
-1,900847,1,101
-1,900848,1,101
-1,900849,1,101
-1,900850,0.2,20.2
-1,903684,0.81,81.81
-1,903685,1,101
-1,903686,1,101
-1,903687,1,101
-1,903688,1,101
-1,903689,0.29,29.29
-1,906523,0.72,72.72
-1,906524,1,101
-1,906525,1,101
-1,906526,1,101
-1,906527,1,101
-1,906528,0.38,38.38
-1,909362,0.6,60.6
-1,909363,0.78,78.78
-1,909364,0.57,57.57
-1,909365,0.37,37.37
-1,909366,0.17,17.17
-1,909367,0.01,1.01
-1,912205,0.01,1.01
-1,915044,0.48,48.48
-1,915045,0.95,95.95
-1,915046,0.86,86.86
-1,915047,0.77,77.77
-1,915048,0.69,69.69
-1,915049,0.6,60.6
-1,915050,0.5,50.5
-1,915051,0.41,41.41
-1,915052,0.32,32.32
-1,915053,0.23,23.23
-1,915054,0.14,14.14
-1,915055,0.05,5.05
-1,917883,0.07,7.07
-1,917884,0.96,96.96
-1,917885,1,101
-1,917886,1,101
-1,917887,1,101
-1,917888,1,101
-1,917889,1,101
-1,917890,1,101
-1,917891,1,101
-1,917892,1,101
-1,917893,1,101
-1,917894,1,101
-1,917895,0.96,96.96
-1,917896,0.87,87.87
-1,917897,0.11,11.11
-1,920723,0.59,59.59
-1,920724,1,101
-1,920725,1,101
-1,920726,1,101
-1,920727,1,101
-1,920728,1,101
-1,920729,1,101
-1,920730,1,101
-1,920731,1,101
-1,920732,1,101
-1,920733,1,101
-1,920734,1,101
-1,920735,0.78,78.78
-1,923562,0.15,15.15
-1,923563,1,101
-1,923564,1,101
-1,923565,1,101
-1,923566,1,101
-1,923567,1,101
-1,923568,1,101
-1,923569,1,101
-1,923570,1,101
-1,923571,1,101
-1,923572,1,101
-1,923573,1,101
-1,923574,0.34,34.34
-1,926402,0.71,71.71
-1,926403,1,101
-1,926404,1,101
-1,926405,1,101
-1,926406,1,101
-1,926407,1,101
-1,926408,1,101
-1,926409,1,101
-1,926410,1,101
-1,926411,1,101
-1,926412,0.87,87.87
-1,926413,0.01,1.01
-1,929241,0.27,27.27
-1,929242,1,101
-1,929243,1,101
-1,929244,1,101
-1,929245,1,101
-1,929246,1,101
-1,929247,1,101
-1,929248,1,101
-1,929249,1,101
-1,929250,1,101
-1,929251,0.39,39.39
-1,932081,0.83,83.83
-1,932082,1,101
-1,932083,1,101
-1,932084,1,101
-1,932085,1,101
-1,932086,1,101
-1,932087,1,101
-1,932088,1,101
-1,932089,0.84,84.84
-1,932090,0.01,1.01
-1,934920,0.39,39.39
-1,934921,1,101
-1,934922,1,101
-1,934923,1,101
-1,934924,1,101
-1,934925,1,101
-1,934926,1,101
-1,934927,1,101
-1,934928,0.28,28.28
-1,937759,0.04,4.04
-1,937760,0.93,93.93
-1,937761,1,101
-1,937762,1,101
-1,937763,1,101
-1,937764,1,101
-1,937765,1,101
-1,937766,0.7,70.7
-1,940599,0.52,52.52
-1,940600,1,101
-1,940601,1,101
-1,940602,1,101
-1,940603,1,101
-1,940604,0.95,95.95
-1,940605,0.12,12.12
-1,943438,0.11,11.11
-1,943439,0.98,98.98
-1,943440,1,101
-1,943441,1,101
-1,943442,1,101
-1,943443,0.4,40.4
-1,946278,0.67,67.67
-1,946279,1,101
-1,946280,1,101
-1,946281,0.68,68.68
-1,949117,0.23,23.23
-1,949118,1,101
-1,949119,0.87,87.87
-1,949120,0.06,6.06
-1,951957,0.74,74.74
-1,951958,0.17,17.17
-1,954796,0.04,4.04
-1,985587,0.02,1.02
-1,1001779,0.13636363636363635,12.136363636363637
-1,1001780,0.23076923076923078,18.23076923076923
-1,1004618,0.08433734939759036,7.0843373493975905
-1,1007424,0.0379746835443038,3.037974683544304
-1,1007425,0.2857142857142857,4.285714285714286
-1,1013099,0.04040404040404041,4.040404040404041
