rgn_id,gain,rgn_name
20,12.398400011727539,South Korea
21,3.4749432297824114,North Korea
50,0.038700000055541826,Saudi Arabia
54,0.007200000167360413,United Arab Emirates
59,0.08380799869249252,Belgium
61,0.22769999697994664,Tunisia
62,0.379799998765522,Morocco
67,0.02160000040749023,Libya
69,0.48240000314138803,Latvia
70,0.5832000036754855,Estonia
71,0.16109999873519176,Bulgaria
72,5.9409000444224995,Romania
73,15.617891454626966,Russia
74,0.36270000206335495,Georgia
75,6.830400022422323,Ukraine
76,3.046682152573607,Turkey
77,0.00989999969533572,Syria
79,0.0531000000846765,Israel
80,1.7557178796781758,Greece
81,0.1880999952118285,Cyprus
82,1.0939880126935104,Albania
84,0.0323999997854175,Algeria
110,0.08999999880326819,Bahamas
111,9.000000136438757e-4,Turks and Caicos Islands
112,0.048599999281578994,Cuba
114,0.010800000454764813,Haiti
115,9.000000136438757e-4,Dominican Republic
129,0.021599999075989536,Panama
131,0.0054000000236562075,Nicaragua
132,8.999999554364194e-4,Colombia
135,3.90600013620202,Mexico
136,0.032399999356131776,Guatemala
139,0.009000000136438757,Venezuela
163,90.12600011616946,United States
164,0.0017999999108728388,Belize
166,0.004500000039115548,Jamaica
174,0.02430000035293622,Finland
175,2.5047903814355594,Denmark
176,0.7865095896501932,Germany
177,2.1697920007261566,Netherlands
178,0.5839096058272841,Poland
179,1.9142999732385786,France
180,1.6281000047471679,United Kingdom
181,0.14489999840407108,Ireland
182,0.6254760037286633,Spain
183,0.3123239988781279,Portugal
184,2.0114999881998563,Italy
186,0.9976719811020465,Montenegro
187,0.05670000253849368,Croatia
189,0.19111893410993042,Lithuania
191,0.03146266823023434,Iran
192,3.7333331420086324e-5,Iraq
209,68.53835713583666,China
210,1.2452400127847547,Japan
214,11.629860041379516,Egypt
218,3.8853000528099555,Canada
222,0.17640000041783385,Sweden
223,0.07109999918025861,Norway
232,0.04049999996006139,Bosnia and Herzegovina
250,9.000000136438757e-4,Aruba
