"","rgn_id","rgn","score_new","score_old","rgn_name","diff","abs_diff"
"1",28,"status",0.87,0.756,"Comoro Islands",0.114,0.114
"2",48,"status",0.602,0.391,"Oman",0.211,0.211
"3",186,"status",0.24,0.068,"Montenegro",0.172,0.172
"4",200,"status",0.305,0.254,"Angola",0.051,0.051
"5",215,"status",0,0.197,"Jordan",-0.197,0.197
