"rgn_name","rgn_id","commodity","product","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Albania",82,"Agar agar nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,14,10,3,4,4.46
"Albania",82,"Coral and the like","corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391,137,156,316,57,21,33,54,126,29,29,0,136,120,0,160,89,66,24,180,359,28,80,193.92
"Albania",82,"Ornamental fish nei","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,4,1,6,0,16,5,0,0,0,0,0,0,0,0,0,0
"Albania",82,"Z_TOTAL","corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391,137,156,316,57,21,33,54,126,29,29,0,136,120,0,160,89,66,24,180,359,28,80,193.92
"Algeria",84,"Ornamental fish nei","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,12,8,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Angola",200,"Fish body oils, nei","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565,438,228,0,0,417,204,446,100,0,0,0,0,241,115,20,2030,2674,3227,3845,1812,2171.84
"Angola",200,"Fish liver oils, nei","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,227,100,1,0,0,0,0,0,0,0,0,445,76,80,15,286,0,87,0,0,0,0,0
"Argentina",172,"Agar agar nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1014,1134,519,52,20,30,29,14,19,36,56,29,37,47,25,15,41,9,9,6,5,0,0,2,0,41
"Argentina",172,"Fish body oils, nei","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,50,34,79,93,9,61,119,178,224,263,47,26,297,476,495,588,454,496,922,1859,1326,1812,1972,479,2607,1754,1701,886,1241,184,184
"Argentina",172,"Fish liver oils, nei","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,0,5,1,5,5,1071,229,0,1,3,0,0,0,0,26,55,29,12,1,0,0,0,0,0,0,0,6,0,0,0,0
"Argentina",172,"Oils and fats of aquatic animals, nei","fish_oil",NA,33,109,95,2,0,2,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",172,"Ornamental fish nei","ornamentals",3,9,9,9,32,8,5,3,0,0,5,9,2,3,3,24,8,22,2,32,30,8,10,0,17,25,23,38,30,50,60,61,61,56,52,39,0,0,0,0,0,0,0,0
"Argentina",172,"Other seaweeds and aquatic plants and products thereof","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,369,96,397,1302,475,102,61,162,58,9,2,0,101,104,624,884,436,400,201,496,268,0,0,0,0,0,0,0,0
"Argentina",172,"Seaweeds and other algae, unfit for human consumption, nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,483,493,769,935,1079,679,75,75
"Aruba",250,"Ornamental saltwater fish","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225,92,2,5.63
"Australia",16,"Agar agar nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,39,36,18,6,1,2,5,15,7,80,196,633,462,40,28,13,9,20,15,31,19,88,24,7.52
"Australia",16,"Coral and the like","corals",328,363,522,776,1366,729,780,1127,1183,1029,0,0,0,0,7301,4307,4339,3429,3832,3205,2304,2162,2934,1534,957,802,1863,676,921,1053,1846,1902,1814,1929,2668,2865,6403,7641,6331,9692,9591,9810,0,0
"Australia",16,"Fish body oils, nei","fish_oil",101,48,78,5,4,19,12,26,1216,8,76,1,118,183,6,2,217,66,212,483,96,7,110,99,768,459,261,555,537,1368,3114,7775,1628,3119,2369,3529,4853,6894,8022,10606,7285,5769,3280,4588.22
"Australia",16,"Fish liver oils, nei","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,74,158,538,716,733,663,1530,1768,2120,696,828,775,325,1071,1052,1045,1039,1714,1607,1123,1822,1671,4137,2961,2431,2257,507,0,0,0
"Australia",16,"Mother of pearl shells","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,876,0,0,0,764,649,0,750,577,1575,896,1539,2040,1010,2082,1299,0,0,0,0,0,0,0,0
"Australia",16,"Natural sponges raw","sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,71,155,60,113,0,0,16,37,73,44,108,13,43,125,211,124,0,0,0,0,0,0,0,0
"Australia",16,"Ornamental fish nei","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357,304,469,567,893,1142,1480,3477,2087,782,1077,912,1194,955,876,1278,833,753,1442,2135,2172,2149,2226,0,0,0,0,0,0,0,0
