animal,system,product,year,total_N_leached
buffaloes,grassland,milk,2005,36145.042208036815
buffaloes,grassland,milk,2006,36329.45080698632
buffaloes,grassland,milk,2007,36613.261424731376
buffaloes,grassland,milk,2008,36614.63106979154
buffaloes,grassland,milk,2009,36675.88635572953
buffaloes,grassland,milk,2010,36849.10590371131
buffaloes,grassland,milk,2011,37114.42393657913
buffaloes,grassland,milk,2012,37299.72665575407
buffaloes,grassland,milk,2013,37387.80029744646
buffaloes,grassland,milk,2014,37424.10026475147
buffaloes,grassland,milk,2015,37406.571792782626
buffaloes,grassland,milk,2016,37283.532601518666
buffaloes,grassland,milk,2017,36989.540351733776
buffaloes,grassland,milk,2018,36506.81902945247
buffaloes,grassland,milk,2019,36044.024865027706
buffaloes,mixed,milk,2005,493079.49215896585
buffaloes,mixed,milk,2006,493079.49215896585
buffaloes,mixed,milk,2007,493079.49215896585
buffaloes,mixed,milk,2008,493079.49215896585
buffaloes,mixed,milk,2009,493079.49215896585
buffaloes,mixed,milk,2010,493079.49215896585
buffaloes,mixed,milk,2011,493079.49215896585
buffaloes,mixed,milk,2012,493079.49215896585
buffaloes,mixed,milk,2013,493079.49215896585
buffaloes,mixed,milk,2014,493079.49215896585
buffaloes,mixed,milk,2015,493079.49215896585
buffaloes,mixed,milk,2016,493079.49215896585
buffaloes,mixed,milk,2017,493079.49215896585
buffaloes,mixed,milk,2018,493079.49215896585
buffaloes,mixed,milk,2019,493079.49215896585
chickens,backyard,eggs&meat,2005,392504.35313231824
chickens,backyard,eggs&meat,2006,392504.35313231824
chickens,backyard,eggs&meat,2007,392504.35313231824
chickens,backyard,eggs&meat,2008,392504.35313231824
chickens,backyard,eggs&meat,2009,392504.35313231824
chickens,backyard,eggs&meat,2010,392504.35313231824
chickens,backyard,eggs&meat,2011,392504.35313231824
chickens,backyard,eggs&meat,2012,392972.40660880634
chickens,backyard,eggs&meat,2013,394318.16672279855
chickens,backyard,eggs&meat,2014,394318.2595879122
