comname,sciname,ico_gl,ico_rgn_id,iucn_sid,subpop,cat
Puff Adder,Bitis arietans,FALSE,102,197461,NA,LC
Puff Adder,Bitis arietans,FALSE,101,197461,NA,LC
Puff Adder,Bitis arietans,FALSE,99,197461,NA,LC
Puff Adder,Bitis arietans,FALSE,30,197461,NA,LC
Puff Adder,Bitis arietans,FALSE,100,197461,NA,LC
Puff Adder,Bitis arietans,FALSE,31,197461,NA,LC
Puff Adder,Bitis arietans,FALSE,33,197461,NA,LC
Puff Adder,Bitis arietans,FALSE,56,197461,NA,LC
Puff Adder,Bitis arietans,FALSE,43,197461,NA,LC
Puff Adder,Bitis arietans,FALSE,98,197461,NA,LC
Puff Adder,Bitis arietans,FALSE,32,197461,NA,LC
Puff Adder,Bitis arietans,FALSE,46,197461,NA,LC
Puff Adder,Bitis arietans,FALSE,29,197461,NA,LC
Puff Adder,Bitis arietans,FALSE,202,197461,NA,LC
Puff Adder,Bitis arietans,FALSE,198,197461,NA,LC
Puff Adder,Bitis arietans,FALSE,199,197461,NA,LC
Puff Adder,Bitis arietans,FALSE,200,197461,NA,LC
Puff Adder,Bitis arietans,FALSE,97,197461,NA,LC
Puff Adder,Bitis arietans,FALSE,197,197461,NA,LC
Puff Adder,Bitis arietans,FALSE,84,197461,NA,LC
Puff Adder,Bitis arietans,FALSE,28,197461,NA,LC
Puff Adder,Bitis arietans,FALSE,45,197461,NA,LC
Puff Adder,Bitis arietans,FALSE,196,197461,NA,LC
Puff Adder,Bitis arietans,FALSE,65,197461,NA,LC
Puff Adder,Bitis arietans,FALSE,44,197461,NA,LC
Puff Adder,Bitis arietans,FALSE,96,197461,NA,LC
Puff Adder,Bitis arietans,FALSE,49,197461,NA,LC
Puff Adder,Bitis arietans,FALSE,42,197461,NA,LC
Puff Adder,Bitis arietans,FALSE,61,197461,NA,LC
Puff Adder,Bitis arietans,FALSE,214,197461,NA,LC
Puff Adder,Bitis arietans,FALSE,67,197461,NA,LC
Puff Adder,Bitis arietans,FALSE,64,197461,NA,LC
Puff Adder,Bitis arietans,FALSE,106,197461,NA,LC
Puff Adder,Bitis arietans,FALSE,35,197461,NA,LC
Puff Adder,Bitis arietans,FALSE,103,197461,NA,LC
Puff Adder,Bitis arietans,FALSE,195,197461,NA,LC
Puff Adder,Bitis arietans,FALSE,41,197461,NA,LC
Puff Adder,Bitis arietans,FALSE,66,197461,NA,LC
Puff Adder,Bitis arietans,FALSE,193,197461,NA,LC
