rgn_id,year,tour_rev_prop
6,2008,0.3253263096032074
6,2009,0.3703871405118262
6,2010,0.3617368478638204
6,2011,0.32490043307213173
6,2012,0.35468762706177215
6,2013,0.3993421539917608
6,2014,0.35538101526702076
6,2015,0.31145071687293713
6,2016,0.3271030182661601
6,2017,0.3179533329144094
6,2018,0.3099274497556504
6,2019,0.2637946199399949
6,2020,0.07539110726761647
6,2021,0.019707368833905264
6,2022,0.06204288925675655
6,2023,0.05432285963275582
7,2008,0.05273428120136238
7,2009,0.05934850307521005
7,2010,0.06649095905869236
7,2011,0.07096011834576535
7,2012,0.0651905949667725
7,2013,0.06459855433911553
7,2014,0.05943419210706539
7,2015,0.05793372916360657
7,2016,0.06204151747843258
7,2017,0.06369032837672574
7,2018,0.06624021953016163
7,2019,0.05999111220560533
7,2020,0.016022197556669455
7,2021,0.017982724009912215
7,2022,0.02015964065905903
7,2023,0.03687580018747834
14,2008,0.041248746529648196
14,2009,0.04388494592220412
14,2010,0.04580719055363857
14,2011,0.04710708212428396
14,2012,0.04949055377240842
14,2013,0.049640248526502416
14,2014,0.05324017606920917
14,2015,0.051380895493438716
14,2016,0.04547858895456629
14,2017,0.04616058504058114
14,2018,0.048005892584564114
14,2019,0.05128898942853701
14,2020,0.022195591980842613
14,2021,0.01841845153715146
14,2022,0.02570580771324933
14,2023,0.03741908732875899
15,2008,0.055437986776468676
15,2009,0.05534338919412759
15,2010,0.06405700175814581
15,2011,0.07464034316811759
15,2012,0.07809464215512146
15,2013,0.08160319549746389
15,2014,0.09040057308953028
15,2015,0.10554135777921038
15,2016,0.11326819973849855
15,2017,0.131975823832685
15,2018,0.14485312360986735
15,2019,0.15087050228006074
15,2020,0.03015131547983428
15,2021,0.033553493829391885
15,2022,0.06555130375207359
15,2023,0.10560435518365777
16,2008,0.06429907674351454
16,2009,0.0626182691056637
16,2010,0.05911465898353939
16,2011,0.058225685598138496
16,2012,0.05856775677393497
16,2013,0.05912665348924715
16,2014,0.059694177536248394
16,2015,0.06216225395027868
16,2016,0.06318348479827292
16,2017,0.0635964720232883
16,2018,0.06716028404860926
16,2019,0.05463844063619188
16,2020,0.039393849581959246
16,2021,0.039127830258233985
16,2022,0.05804617210267916
16,2023,0.059088489849273576
17,2008,0.013033496780691968
17,2009,0.021395714355458915
17,2010,0.018018085432043123
17,2011,0.015991697664952505
17,2012,0.012137819491492367
17,2013,0.012010335939435297
17,2014,0.01266544381220937
17,2015,0.012539322808450555
17,2016,0.012449093961887484
17,2017,0.012659357406847168
17,2018,0.012739923745731609
17,2019,0.012122292267677371
17,2020,0.00966418337229523
17,2021,0.010648267713523363
17,2022,0.011749691025249101
17,2023,0.011939426138550204
18,2008,0.2951630875704646
18,2009,0.27478381421317966
18,2010,0.27959694430975346
18,2011,0.26889518768123033
18,2012,0.26732258289883953
18,2013,0.24987304346028674
