name,count,code,country,presence,origin,distribution_code
40635,16,AU,Australia,Extant,Native,Native
40635,16,JP,Japan,Extant,Native,Native
40635,16,KE,Kenya,Extant,Native,Native
40635,16,KM,Comoros,Extant,Native,Native
40635,16,LK,Sri Lanka,Extant,Native,Native
40635,16,MV,Maldives,Extant,Native,Native
40635,16,MX,Mexico,Extant,Native,Native
40635,16,MY,Malaysia,Extant,Native,Native
40635,16,NC,New Caledonia,Extant,Native,Native
40635,16,PH,Philippines,Extant,Native,Native
40635,16,SA,Saudi Arabia,Extant,Native,Native
40635,16,SO,Somalia,Extant,Native,Native
40635,16,TW,"Taiwan, Province of China",Extant,Native,Native
40635,16,US,United States,Extant,Native,Native
40635,16,YT,Mayotte,Extant,Native,Native
40635,16,ZA,South Africa,Extant,Native,Native
