iucn_sid,year,rgn_cat_ts,rgn_cat_ts_score,iucn_rgn,iucn_version
10269,2010,CR,0.8,europe,2024-1
10269,2024,CR,0.8,europe,2024-1
102998555,2015,LC,0,europe,2024-1
102998555,2021,LC,0,europe,2024-1
103773898,2015,LC,0,europe,2024-1
103773898,2021,LC,0,europe,2024-1
11141,2007,LC,0,europe,2024-1
11141,2023,LC,0,europe,2024-1
11142,2007,LC,0,europe,2024-1
11142,2023,LC,0,europe,2024-1
124569516,2019,LC,0,mediterranean,2024-1
124569516,2020,LC,0,mediterranean,2024-1
13006,2007,LC,0,europe,2024-1
13006,2023,LC,0,europe,2024-1
135574,2010,LC,0,europe,2024-1
135574,2015,LC,0,europe,2024-1
135579,2008,LC,0,europe,2024-1
135579,2010,LC,0,europe,2024-1
135606,2010,LC,0,europe,2024-1
135606,2015,LC,0,europe,2024-1
135681,2011,LC,0,mediterranean,2024-1
135681,2018,LC,0,mediterranean,2024-1
135690,2011,LC,0,europe,2024-1
135690,2015,LC,0,europe,2024-1
135714,2011,LC,0,mediterranean,2024-1
135714,2018,LC,0,mediterranean,2024-1
13653,2007,CR,0.8,europe,2024-1
13653,2023,VU,0.4,europe,2024-1
17027,2007,VU,0.4,europe,2024-1
17027,2023,LC,0,europe,2024-1
181568721,2015,LC,0,europe,2024-1
181568721,2021,LC,0,europe,2024-1
225,2010,CR,0.8,europe,2024-1
225,2024,CR,0.8,europe,2024-1
22679872,2015,LC,0,europe,2024-1
22679872,2021,LC,0,europe,2024-1
22679881,2015,LC,0,europe,2024-1
22679881,2021,LC,0,europe,2024-1
22679896,2015,LC,0,europe,2024-1
22679896,2021,LC,0,europe,2024-1
22679943,2015,LC,0,europe,2024-1
22679943,2021,LC,0,europe,2024-1
22679946,2015,LC,0,europe,2024-1
22679946,2021,LC,0,europe,2024-1
22680024,2015,LC,0,europe,2024-1
22680024,2021,LC,0,europe,2024-1
22680157,2015,LC,0,europe,2024-1
22680157,2021,LC,0,europe,2024-1
22680247,2015,LC,0,europe,2024-1
22680247,2021,LC,0,europe,2024-1
22680301,2015,LC,0,europe,2024-1
22680301,2021,VU,0.4,europe,2024-1
22680313,2015,LC,0,europe,2024-1
22680313,2021,LC,0,europe,2024-1
22680358,2015,VU,0.4,europe,2024-1
22680358,2021,VU,0.4,europe,2024-1
22680391,2015,LC,0,europe,2024-1
22680391,2021,NT,0.2,europe,2024-1
22680398,2015,VU,0.4,europe,2024-1
22680398,2021,LC,0,europe,2024-1
22680405,2015,VU,0.4,europe,2024-1
22680405,2021,EN,0.6,europe,2024-1
22680409,2015,LC,0,europe,2024-1
22680409,2021,LC,0,europe,2024-1
22680415,2015,LC,0,europe,2024-1
22680415,2021,LC,0,europe,2024-1
22680423,2015,LC,0,europe,2024-1
