English_name,ISSCAAP_Group,Taxonomic_Code,Scientific_Name,Family,Order or higher taxa,,,,,
Picked dogfish,38,1.16E+11,Squalus acanthias,SQUALIDAE,SQUALIFORMES,,,,,
Gymnothorax spp,33,1.70E+11,Gymnothorax spp,MURAENIDAE,ANGUILLIFORMES,,,,,
Scarus spp,33,1.73E+11,Scarus spp,SCARIDAE,PERCIFORMES,,,,,
Parupeneus spp,33,1.73E+11,Parupeneus spp,MULLIDAE,PERCIFORMES,,,,,
Cephalopholis spp,33,1.75E+11,Cephalopholis spp,SERRANIDAE,PERCIFORMES,,,,,
Holothuriidae,76,6.07E+11,Holothuriidae,HOLOTHURIIDAE,ECHINODERMATA (HOLOTHUROIDEA),,,,,
Parachaenichthys georgianus,38,1.31E+11,Parachaenichthys georgianus,CHANNICHTHYIDAE,PERCIFORMES (NOTOTHENIOIDEI),,,,,
Panopea spp,55,3.40E+11,Panopea spp,HIATELLIDAE,BIVALVIA,,,,,
Odontesthes smitti,33,1.81E+11,Odontesthes smitti,ATHERINOPSIDAE,ATHERINIFORMES,,,,,
Chionobathyscus dewitti,38,1.31E+11,Chionobathyscus dewitti,CHANNICHTHYIDAE,PERCIFORMES (NOTOTHENIOIDEI),,,,,
Porifera,76,6.01E+11,Porifera,PORIFERA,PORIFERA,,,,,
Hemiramphus spp,33,1.81E+11,Hemiramphus spp,HEMIRAMPHIDAE,ATHERINIFORMES,,,,,
Astacopsis franklinii,41,1.43E+11,Astacopsis franklinii,PARASTACIDAE,DECAPODA (CRUSTACEA),,,,,
Muraena spp,33,1.70E+11,Muraena spp,MURAENIDAE,ANGUILLIFORMES,,,,,
Balistes spp,33,1.80E+11,Balistes spp,BALISTIDAE,TETRAODONTIFORMES,,,,,
Cypselurus spp,33,1.72E+11,Cypselurus spp,EXOCOETIDAE,BELONIFORMES,,,,,
Pomadasys spp,33,1.73E+11,Pomadasys spp,HAEMULIDAE,PERCIFORMES,,,,,
Liza spp,33,1.65E+11,Liza spp,MUGILIDAE,MUGILIFORMES,,,,,
Zanobatus schoenleinii,38,1.64E+11,Zanobatus schoenleinii,ZANOBATIDAE,RAJIFORMES,,,,,
Sillago spp,33,1.75E+11,Sillago spp,SILLAGINIDAE,PERCIFORMES,,,,,
Sargassum spp,79,7.20E+11,Sargassum spp,SARGASSACEAE,PHAEOPHYCEAE,,,,,
Strongylocentrotus droebachiensis,76,6.05E+11,Strongylocentrotus droebachiensis,STRONGYLOCENTROTIDAE,ECHINODERMATA (ECHINOIDEA),,,,,
Venerupis spp,55,3.41E+11,Venerupis spp,VENERIDAE,BIVALVIA,,,,,
Alaska pollock(=Walleye poll.),32,1.49E+11,Gadus chalcogrammus,GADIDAE,GADIFORMES,,,,,
Asterfilopsis furcellata,76,6.07E+11,Asterfilopsis furcellata,GORGONOCEPHALEIDAE,ECHINODERMATA (OPHIUROIDEA),,,,,
Lessonia trabeculata,79,7.30E+11,Lessonia trabeculata,LESSONIACEAE,PHAEOPHYCEAE,,,,,
Mazzaella laminarioides,79,7.10E+11,Mazzaella laminarioides,GIGARTINACEAE,FLORIDEOPHYCEAE,,,,,
Chondracanthus chamissoi,79,7.10E+11,Chondracanthus chamissoi,GIGARTINACEAE,FLORIDEOPHYCEAE,,,,,
Aplodactylus punctatus,33,1.76E+11,Aplodactylus punctatus,APLODACTYLIDAE,PERCIFORMES,,,,,
Chrysaora plocamia,76,6.02E+11,Chrysaora plocamia,PELAGIIDAE,CNIDARIA (SCYPHOZOA),,,,,
Mugil spp,33,1.65E+11,Mugil spp,MUGILIDAE,MUGILIFORMES,,,,,
Hypostomus hondae,13,1.26E+11,Hypostomus hondae,LOBRICARIIDAE,SILURIFORMES,,,,,
Pseudoplatystoma magdaleniatum,34,1.23E+11,Pseudoplatystoma magdaleniatum,PIMELODIDAE,SILURIFORMES,,,,,
Hyporhamphus spp,33,1.81E+11,Hyporhamphus spp,HEMIRAMPHIDAE,ATHERINIFORMES,,,,,
Sternopygus aequilabiatus,13,1.20E+11,Sternopygus aequilabiatus,STERNOPYGIDAE,GYMNOTIFORMES,,,,,
Cathorops mapale,34,1.23E+11,Cathorops mapale,ARIIDAE,SILURIFORMES,,,,,
Sorubim cuspicaudus,34,1.23E+11,Sorubim cuspicaudus,PIMELODIDAE,SILURIFORMES,,,,,
Trachelyopterus insignis,34,1.23E+11,Trachelyopterus insignis,AUCHENIPTERIDAE,SILURIFORMES,,,,,
Ageneiosus pardalis,34,1.23E+11,Ageneiosus pardalis,AUCHENIPTERIDAE,SILURIFORMES,,,,,
Cynopotamus atratoensis,13,1.20E+11,Cynopotamus atratoensis,CHARACIDAE,CHARACIFORMES,,,,,
