iucn_sid,sciname,subpop,cat
197461,Bitis arietans,NA,LC
22696495,Falco cherrug,NA,EN
15955,Panthera tigris,NA,EN
12427,Lutrogale perspicillata,NA,VU
41772,Sus barbatus,NA,VU
178800,Nypa fruticans,NA,LC
187752,Coris julis,NA,LC
176528,Asparagus albus,NA,LC
176528,Asparagus albus,NA,LC
190710,Sparisoma cretense,NA,LC
198568,Engraulis encrasicolus,NA,LC
22692146,Grus grus,NA,LC
41672,Pusa hispida,NA,LC
98471199,Clupea pallasii,NA,DD
202415,Thaleichthys pacificus,NA,LC
158625941,Hippoglossus stenolepis,NA,LC
19855,Salmo salar,NA,NT
229537556,Salmo salar Allier subpopulation,Allier subpopulation,EN
196580086,Salmo salar Anticosti Island subpopulation,Anticosti Island subpopulation,EN
196579269,Salmo salar Baltic subpopulation,Baltic subpopulation,EN
196579366,Salmo salar Bann subpopulation,Bann subpopulation,LC
196580049,Salmo salar Central New England subpopulation,Central New England subpopulation,EX
196579550,Salmo salar Denmark subpopulation,Denmark subpopulation,LC
196580090,Salmo salar Eastern Cape Breton subpopulation,Eastern Cape Breton subpopulation,EN
196579553,Salmo salar English Chalkstream subpopulation,English Chalkstream subpopulation,VU
196579578,Salmo salar Finnmark subpopulation,Finnmark subpopulation,LC
196579750,Salmo salar France/Spain subpopulation,France/Spain subpopulation,LC
196580094,Salmo salar Gaspe-Southern Gulf of St. Lawrence subpopulation,Gaspe-Southern Gulf of St. Lawrence subpopulation,NT
213546282,Salmo salar Great Britain subpopulation,Great Britain subpopulation,EN
196580052,Salmo salar Gulf of Maine subpopulation,Gulf of Maine subpopulation,NA
196580166,Salmo salar Inner Bay of Fundy subpopulation,Inner Bay of Fundy subpopulation,CR
196580170,Salmo salar Inner St. Lawrence subpopulation,Inner St. Lawrence subpopulation,LC
214416825,Salmo salar Ireland subpopulation,Ireland subpopulation,VU
196579964,Salmo salar Kola subpopulation,Kola subpopulation,DD
196579990,Salmo salar Kola (Tuloma basin) subpopulation,Kola (Tuloma basin) subpopulation,VU
196580181,Salmo salar Labrador subpopulation,Labrador subpopulation,LC
196580263,Salmo salar Lake Ontario subpopulation,Lake Ontario subpopulation,EX
196579685,Salmo salar Leven subpopulation,Leven subpopulation,LC
196580041,Salmo salar Long Island Sound subpopulation,Long Island Sound subpopulation,EX
196579697,Salmo salar Mid and Southwest Norway subpopulation,Mid and Southwest Norway subpopulation,LC
196580272,Salmo salar Northeast Newfoundland subpopulation,Northeast Newfoundland subpopulation,LC
196579726,Salmo salar North Iceland subpopulation,North Iceland subpopulation,NT
196580326,Salmo salar Northwest Newfoundland subpopulation,Northwest Newfoundland subpopulation,LC
196580379,Salmo salar Nova Scotia Southern Upland subpopulation,Nova Scotia Southern Upland subpopulation,EN
196580055,Salmo salar Nunavik subpopulation,Nunavik subpopulation,DD
196580388,Salmo salar Outer Bay of Fundy subpopulation,Outer Bay of Fundy subpopulation,EN
196580391,Salmo salar Quebec Eastern North Shore subpopulation,Quebec Eastern North Shore subpopulation,VU
196580426,Salmo salar Quebec Western North Shore subpopulation,Quebec Western North Shore subpopulation,NT
218709807,Salmo salar Southeastern Barents Sea subpopulation,Southeastern Barents Sea subpopulation,DD
196580441,Salmo salar South Newfoundland subpopulation,South Newfoundland subpopulation,VU
196579767,Salmo salar South Norway subpopulation,South Norway subpopulation,LC
196580462,Salmo salar Southwest Newfoundland subpopulation,Southwest Newfoundland subpopulation,LC
196579912,Salmo salar Teno/Tana subpopulation,Teno/Tana subpopulation,VU
196579892,Salmo salar West coast Sweden and Enningdalselva subpopulation,West coast Sweden and Enningdalselva subpopulation,EN
216299894,Salmo salar West Greenland subpopulation,West Greenland subpopulation,VU
196579957,Salmo salar West Iceland subpopulation,West Iceland subpopulation,VU
196580032,Salmo salar White Sea subpopulation,White Sea subpopulation,DD
61743,Haliotis kamtschatkana,NA,EN
62225,Entosphenus tridentatus,NA,LC
135301,Oncorhynchus nerka,NA,LC
