iucn_sid,year,assess_year,code,category,sciname
197461,2021,2021,LC,Least Concern,Bitis arietans
22696495,2021,2021,EN,Endangered,Falco cherrug
22696495,2016,2021,EN,Endangered,Falco cherrug
22696495,2017,2021,EN,Endangered,Falco cherrug
22696495,2015,2021,EN,Endangered,Falco cherrug
22696495,2013,2021,EN,Endangered,Falco cherrug
22696495,2012,2021,EN,Endangered,Falco cherrug
22696495,2010,2021,VU,Vulnerable,Falco cherrug
22696495,2008,2021,EN,Endangered,Falco cherrug
22696495,2004,2021,EN,Endangered,Falco cherrug
22696495,2000,2021,LC,Lower Risk/least concern,Falco cherrug
22696495,1994,2021,LC,Lower Risk/least concern,Falco cherrug
22696495,1988,2021,NT,Near Threatened,Falco cherrug
15955,2022,2022,EN,Endangered,Panthera tigris
15955,2015,2022,EN,Endangered,Panthera tigris
15955,2011,2022,EN,Endangered,Panthera tigris
15955,2010,2022,EN,Endangered,Panthera tigris
15955,2008,2022,EN,Endangered,Panthera tigris
15955,2002,2022,EN,Endangered,Panthera tigris
15955,1996,2022,EN,Endangered,Panthera tigris
15955,1994,2022,EN,Endangered,Panthera tigris
15955,1990,2022,EN,Endangered,Panthera tigris
15955,1988,2022,EN,Endangered,Panthera tigris
15955,1986,2022,EN,Endangered,Panthera tigris
12427,2021,2021,VU,Vulnerable,Lutrogale perspicillata
12427,2015,2021,VU,Vulnerable,Lutrogale perspicillata
12427,2008,2021,VU,Vulnerable,Lutrogale perspicillata
12427,2004,2021,VU,Vulnerable,Lutrogale perspicillata
12427,2000,2021,VU,Vulnerable,Lutrogale perspicillata
12427,1996,2021,VU,Vulnerable,Lutrogale perspicillata
12427,1994,2021,DD,Insufficiently Known,Lutrogale perspicillata
12427,1990,2021,DD,Insufficiently Known,Lutrogale perspicillata
12427,1988,2021,DD,Insufficiently Known,Lutrogale perspicillata
41772,2017,2017,VU,Vulnerable,Sus barbatus
41772,2008,2017,VU,Vulnerable,Sus barbatus
41772,1996,2017,LC,Lower Risk/least concern,Sus barbatus
178800,2010,2010,LC,Least Concern,Nypa fruticans
187752,2010,2010,LC,Least Concern,Coris julis
176528,2018,2018,LC,Least Concern,Asparagus albus
190710,2012,2012,LC,Least Concern,Sparisoma cretense
190710,2010,2012,LC,Least Concern,Sparisoma cretense
198568,2015,2015,LC,Least Concern,Engraulis encrasicolus
22692146,2016,2016,LC,Least Concern,Grus grus
22692146,2015,2016,LC,Least Concern,Grus grus
22692146,2012,2016,LC,Least Concern,Grus grus
22692146,2009,2016,LC,Least Concern,Grus grus
22692146,2008,2016,LC,Least Concern,Grus grus
22692146,2004,2016,LC,Least Concern,Grus grus
22692146,2000,2016,LC,Lower Risk/least concern,Grus grus
22692146,1994,2016,LC,Lower Risk/least concern,Grus grus
22692146,1988,2016,LC,Lower Risk/least concern,Grus grus
41672,2016,2016,LC,Least Concern,Pusa hispida
41672,2008,2016,LC,Least Concern,Pusa hispida
41672,1996,2016,LC,Lower Risk/least concern,Pusa hispida
98471199,2019,2019,DD,Data Deficient,Clupea pallasii
202415,2013,2013,LC,Least Concern,Thaleichthys pacificus
158625941,2021,2021,LC,Least Concern,Hippoglossus stenolepis
19855,2023,2023,NT,Near Threatened,Salmo salar
19855,1996,2023,LC,Lower Risk/least concern,Salmo salar
61743,2021,2021,EN,Endangered,Haliotis kamtschatkana
61743,2006,2021,EN,Endangered,Haliotis kamtschatkana
62225,2022,2022,LC,Least Concern,Entosphenus tridentatus
135301,2011,2011,LC,Least Concern,Oncorhynchus nerka
135301,2008,2011,LC,Least Concern,Oncorhynchus nerka
22694334,2018,2018,LC,Least Concern,Larus glaucescens
22694334,2016,2018,LC,Least Concern,Larus glaucescens
22694334,2012,2018,LC,Least Concern,Larus glaucescens
22694334,2009,2018,LC,Least Concern,Larus glaucescens
22694334,2008,2018,LC,Least Concern,Larus glaucescens
22694334,2004,2018,LC,Least Concern,Larus glaucescens
22694334,2000,2018,LC,Lower Risk/least concern,Larus glaucescens
22694334,1994,2018,LC,Lower Risk/least concern,Larus glaucescens
22694334,1988,2018,LC,Lower Risk/least concern,Larus glaucescens
191108,2023,2023,EN,Endangered,Anguilla rostrata
191108,2014,2023,EN,Endangered,Anguilla rostrata
191108,2017,2023,EN,Endangered,Anguilla rostrata
181500967,2020,2020,LC,Least Concern,Ardea herodias
42394,2016,2016,LC,Least Concern,Odocoileus virginianus
42394,2008,2016,LC,Least Concern,Odocoileus virginianus
42394,1996,2016,LC,Lower Risk/least concern,Odocoileus virginianus
6335,2017,2017,LC,Least Concern,Delphinapterus leucas
6335,2012,2017,NT,Near Threatened,Delphinapterus leucas
6335,2008,2017,NT,Near Threatened,Delphinapterus leucas
6335,1996,2017,VU,Vulnerable,Delphinapterus leucas
6335,1994,2017,DD,Insufficiently Known,Delphinapterus leucas
6335,1990,2017,DD,Insufficiently Known,Delphinapterus leucas
6335,1988,2017,DD,Insufficiently Known,Delphinapterus leucas
13704,2017,2017,LC,Least Concern,Monodon monoceros
13704,2012,2017,NT,Near Threatened,Monodon monoceros
13704,2008,2017,NT,Near Threatened,Monodon monoceros
13704,1996,2017,DD,Data Deficient,Monodon monoceros
13704,1994,2017,DD,Insufficiently Known,Monodon monoceros
13704,1990,2017,DD,Insufficiently Known,Monodon monoceros
13704,1988,2017,DD,Insufficiently Known,Monodon monoceros
78769001,2021,2021,LC,Least Concern,Haliotis iris
170025,2011,2011,LC,Least Concern,Jasus edwardsii
22698209,2019,2019,NT,Near Threatened,Ardenna grisea
22698209,2018,2019,NT,Near Threatened,Ardenna grisea
22698209,2017,2019,NT,Near Threatened,Ardenna grisea
22698209,2016,2019,NT,Near Threatened,Ardenna grisea
22698209,2012,2019,NT,Near Threatened,Ardenna grisea
22698209,2010,2019,NT,Near Threatened,Ardenna grisea
22698209,2008,2019,NT,Near Threatened,Ardenna grisea
22698209,2004,2019,NT,Near Threatened,Ardenna grisea
22698209,2000,2019,LC,Lower Risk/least concern,Ardenna grisea
22698209,1994,2019,LC,Lower Risk/least concern,Ardenna grisea
22698209,1988,2019,LC,Lower Risk/least concern,Ardenna grisea
197276,2019,2019,EN,Endangered,Anguilla dieffenbachii
196303,2019,2019,LC,Least Concern,Anguilla reinhardtii
61339,2018,2018,VU,Vulnerable,Epinephelus polyphekadion
61339,2006,2018,NT,Near Threatened,Epinephelus polyphekadion
6909,2019,2019,VU,Vulnerable,Dugong dugon
6909,2015,2019,VU,Vulnerable,Dugong dugon
6909,2008,2019,VU,Vulnerable,Dugong dugon
6909,2006,2019,VU,Vulnerable,Dugong dugon
6909,1996,2019,VU,Vulnerable,Dugong dugon
6909,1994,2019,VU,Vulnerable,Dugong dugon
6909,1990,2019,VU,Vulnerable,Dugong dugon
6909,1988,2019,VU,Vulnerable,Dugong dugon
6909,1986,2019,VU,Vulnerable,Dugong dugon
6909,1982,2019,VU,Vulnerable,Dugong dugon
195502,2019,2019,NT,Near Threatened,Anguilla australis
193989455,2022,2022,LC,Least Concern,Santalum acuminatum
49278407,2019,2019,LC,Least Concern,Melaleuca quinquenervia
190409,2019,2019,DD,Data Deficient,Mugil liza
190409,2015,2019,DD,Data Deficient,Mugil liza
39381,2019,2019,NT,Near Threatened,Prionace glauca
39381,2009,2019,NT,Near Threatened,Prionace glauca
39381,2000,2019,NT,Lower Risk/near threatened,Prionace glauca
19488,2016,2016,EN,Endangered,Rhincodon typus
19488,2005,2016,VU,Vulnerable,Rhincodon typus
19488,2000,2016,VU,Vulnerable,Rhincodon typus
19488,1996,2016,DD,Data Deficient,Rhincodon typus
19488,1994,2016,DD,Indeterminate,Rhincodon typus
19488,1990,2016,DD,Indeterminate,Rhincodon typus
39341,2019,2019,EN,Endangered,Isurus oxyrinchus
39341,2009,2019,VU,Vulnerable,Isurus oxyrinchus
39341,2000,2019,NT,Lower Risk/near threatened,Isurus oxyrinchus
11534,2008,2008,VU,Vulnerable,Lepidochelys olivacea
11534,1996,2008,EN,Endangered,Lepidochelys olivacea
11534,1994,2008,EN,Endangered,Lepidochelys olivacea
11534,1990,2008,EN,Endangered,Lepidochelys olivacea
11534,1988,2008,EN,Endangered,Lepidochelys olivacea
11534,1986,2008,EN,Endangered,Lepidochelys olivacea
11534,1982,2008,EN,Endangered,Lepidochelys olivacea
15419,2017,2017,EN,Endangered,Orcaella brevirostris
15419,2008,2017,VU,Vulnerable,Orcaella brevirostris
15419,1996,2017,DD,Data Deficient,Orcaella brevirostris
15419,1994,2017,DD,Insufficiently Known,Orcaella brevirostris
15419,1990,2017,DD,Insufficiently Known,Orcaella brevirostris
15419,1988,2017,DD,Insufficiently Known,Orcaella brevirostris
4592,2004,2004,EN,Endangered,Cheilinus undulatus
4592,1996,2004,VU,Vulnerable,Cheilinus undulatus
3855,2022,2022,VU,Vulnerable,Carcharodon carcharias
3855,2019,2022,VU,Vulnerable,Carcharodon carcharias
3855,2009,2022,VU,Vulnerable,Carcharodon carcharias
3855,2000,2022,VU,Vulnerable,Carcharodon carcharias
3855,1996,2022,VU,Vulnerable,Carcharodon carcharias
3855,1994,2022,DD,Insufficiently Known,Carcharodon carcharias
3855,1990,2022,DD,Insufficiently Known,Carcharodon carcharias
4292,2021,2021,EN,Endangered,Cetorhinus maximus
4292,2019,2021,EN,Endangered,Cetorhinus maximus
4292,2009,2021,VU,Vulnerable,Cetorhinus maximus
4292,2000,2021,VU,Vulnerable,Cetorhinus maximus
4292,1996,2021,VU,Vulnerable,Cetorhinus maximus
4292,1994,2021,DD,Insufficiently Known,Cetorhinus maximus
4292,1990,2021,DD,Insufficiently Known,Cetorhinus maximus
2477,2018,2018,EN,Endangered,Balaenoptera musculus
2477,2008,2018,EN,Endangered,Balaenoptera musculus
2477,1996,2018,EN,Endangered,Balaenoptera musculus
2477,1994,2018,EN,Endangered,Balaenoptera musculus
2477,1990,2018,EN,Endangered,Balaenoptera musculus
2477,1988,2018,EN,Endangered,Balaenoptera musculus
2477,1986,2018,EN,Endangered,Balaenoptera musculus
4615,2004,2023,EN,Endangered,Chelonia mydas
4615,2023,2023,EN,Endangered,Chelonia mydas
4615,1996,2023,EN,Endangered,Chelonia mydas
4615,1994,2023,EN,Endangered,Chelonia mydas
4615,1990,2023,EN,Endangered,Chelonia mydas
4615,1988,2023,EN,Endangered,Chelonia mydas
4615,1986,2023,EN,Endangered,Chelonia mydas
4615,1982,2023,EN,Endangered,Chelonia mydas
39378,2019,2019,NT,Near Threatened,Galeocerdo cuvier
39378,2009,2019,NT,Near Threatened,Galeocerdo cuvier
39378,2000,2019,NT,Lower Risk/near threatened,Galeocerdo cuvier
13006,2018,2018,LC,Least Concern,Megaptera novaeangliae
13006,2008,2018,LC,Least Concern,Megaptera novaeangliae
13006,1996,2018,VU,Vulnerable,Megaptera novaeangliae
13006,1994,2018,VU,Vulnerable,Megaptera novaeangliae
13006,1990,2018,VU,Vulnerable,Megaptera novaeangliae
13006,1988,2018,EN,Endangered,Megaptera novaeangliae
13006,1986,2018,EN,Endangered,Megaptera novaeangliae
39339,2022,2022,VU,Vulnerable,Alopias vulpinus
39339,2019,2022,VU,Vulnerable,Alopias vulpinus
