zone,pop_2000,pop_2001,pop_2002,pop_2003,pop_2004,pop_2005,pop_2006,pop_2007,pop_2008,pop_2009,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019,pop_2020,pop_2021,pop_2022,pop_2023
1,640,640,640,630,629,628,574,574,596,603,603,596,596,596,596,596,596,596,596,596,596,596,593,593
2,2561,501,466,433,396,361,361,1493,1402,1402,1402,1402,1496,1513,1530,1530,2205,2205,2205,2205,2205,2205,1692,1692
3,1893,1879,1866,1853,1841,1828,1828,1803,2128,2141,2155,2169,2182,2196,2210,2210,2210,2210,1748,1748,1748,1748,2188,2188
4,407,182,256,247,221,222,222,241,264,342,346,346,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,201523,204863,207858,210799,213679,216494,219246,221943,224824,227436,252352,256275,260166,264022,267840,271615,275355,279070,282754,286401,290009,293608,297160,300682
6,189465,192910,196180,199413,202611,205750,208868,211972,215446,218519,229012,224564,256155,261565,266937,272265,277554,282812,288037,293212,298333,303009,308043,313046
7,466920,480443,494786,509191,523616,538032,552437,566841,581318,595613,593495,571890,584578,597248,609883,622468,635027,647580,660121,672631,685097,690598,702694,714766
8,18776,19090,19402,19717,20012,20302,20574,20842,21093,20796,20879,20956,21032,21108,21186,21265,21347,21430,21516,21600,21685,21613,21695,21779
9,133119,133144,126445,108142,108156,108106,108005,107862,107665,107434,107154,106836,106487,106104,105681,105216,104719,104196,103643,103057,102436,101675,101009,100319
10,11845,12087,12302,12539,12785,13040,13288,13529,13770,14019,9267,9322,9378,9434,9488,9540,9591,9641,9692,9740,11000,9770,9811,9852
11,68056,70796,55133,56406,57721,59065,60404,61817,63174,64522,65859,67182,68480,69747,70983,72193,73376,74540,75684,76811,77917,78831,79906,80966
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,226519,232166,238106,239723,244341,248926,253478,258002,262493,229914,229010,229336,211309,211548,212484,214129,216209,219622,220141,219865,220340,220460,220561,220625
14,21969057,22142490,22249227,22395158,22540628,22685833,22831693,22656091,22722631,22778226,22826451,22872865,22974132,23005061,23052984,23107467,23156461,23198913,23226200,23257103,23282087,23251394,23259915,23267580
15,74994657,76425151,76074860,77566792,79050294,80695332,82175344,83614280,88201594,89996817,91897758,93665558,95460246,97301100,99159772,93047089,94590662,96150767,97719779,99235975,100756052,102389408,105880780,107579628
16,12869801,15613155,15690088,16126376,16812898,16978267,17128028,17267354,17752941,18000320,18209549,18427075,18681029,19084603,19295247,19504326,19713803,19921100,20124582,21673875,22012053,22309413,22670872,22947212
17,2458822,2526008,2584791,2559998,2642211,2727697,2789221,2839114,2916958,2921496,2981552,3042213,2908329,2973384,3065772,3118869,3173536,3385578,3440883,3508408,3569091,3638526,4721299,4851058
18,832422,848956,861016,868533,885680,898228,905946,918673,931736,956715,875976,883119,890051,896757,903207,909376,915289,920925,926263,931282,935962,939524,943729,947758
19,10838,10989,11145,11306,11466,11639,11810,11993,12177,12373,10472,10544,10619,10698,10782,10868,10959,11053,11147,11244,11342,11448,11544,11639
20,43758019,44140413,44137566,44439595,43661588,44405092,44493650,44828735,44218626,44337128,44449963,44558630,44702518,44789024,44860520,44934023,46641904,46820340,47050456,47249512,47509089,47402264,47454642,47534832
21,17563934,17811364,18186894,18357429,18571086,18035488,17937366,18086325,18224789,17619905,17930279,19276510,19391645,19497953,19598254,19704025,19809245,18541619,19836002,19938776,20040075,20183581,21259964,21448556
24,1079549,1064075,1082509,1100450,1119115,1142449,1162036,1178532,1199172,1240447,1236807,1168841,1189934,1210375,1230559,1250641,1258860,1278410,1297638,1316718,1337668,1368948,1320712,1334863
25,19721135,20515370,21335080,21572496,21729532,21441028,21644470,21503375,21656155,21824414,22217553,22095291,25722096,25866138,25980150,26054351,26140654,26225622,27489636,27572586,27637982,27838723,27758213,27760243
26,336456,341472,358718,364096,368726,373977,384926,391211,397437,400520,406131,411435,378854,383799,388686,393512,398287,403019,379380,383688,387941,391813,406530,409322
28,578445,596202,614382,632948,651901,671246,690948,711417,731775,752438,773407,721886,737284,752288,766865,780971,794678,808079,821264,833909,846281,864335,876437,888378
29,155934,163366,170879,178437,186026,193633,201234,208783,216306,223765,230123,209530,215240,216292,217300,227507,228472,229395,262216,263178,281250,282229,301519,301213
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
