"stockid","year","ram_bmsy","gapfilled","method"
"ACADREDGOMGB",2001,0.381880299131164,"0",NA
"ACADREDGOMGB",2002,0.441577457062416,"0",NA
"ACADREDGOMGB",2003,0.504453085294331,"0",NA
"ACADREDGOMGB",2004,0.570692729047508,"0",NA
"ACADREDGOMGB",2005,0.640433530441517,"0",NA
"ACADREDGOMGB",2006,0.713110786631064,"0",NA
"ACADREDGOMGB",2007,0.787635427843077,"0",NA
"ACADREDGOMGB",2008,0.863200735727136,"0",NA
"ACADREDGOMGB",2009,0.942727030711768,"0",NA
"ACADREDGOMGB",2010,1.03072790196759,"0",NA
"ACADREDGOMGB",2011,1.13192668543631,"0",NA
"ACADREDGOMGB",2012,1.24598052581902,"0",NA
"ACADREDGOMGB",2013,1.37063061173453,"0",NA
"ACADREDGOMGB",2014,1.50260570027186,"0",NA
"ACADREDGOMGB",2015,1.63235424616204,"0",NA
"ACADREDGOMGB",2016,1.45197202300761,"0",NA
"ACADREDGOMGB",2017,1.66139812357312,"1","lm, 1 years gf"
"ACMACKSARG",2001,1.65305734674778,"0",NA
"ACMACKSARG",2002,1.65423596575738,"0",NA
"ACMACKSARG",2003,1.56487529797132,"0",NA
"ACMACKSARG",2004,1.72169974951141,"0",NA
"ACMACKSARG",2005,1.95416138622038,"0",NA
"ACMACKSARG",2006,2.08774109526824,"0",NA
"ACMACKSARG",2007,2.20442065292191,"0",NA
"ACMACKSARG",2008,2.26870774587795,"0",NA
"ACMACKSARG",2009,2.31975913595199,"0",NA
"ACMACKSARG",2010,2.24361231523026,"0",NA
"ACMACKSARG",2011,2.05308043298742,"0",NA
"ACMACKSARG",2012,1.53220501665336,"0",NA
"ACMACKSARG",2013,1.45258691678824,"0",NA
"ACMACKSARG",2014,1.31506969638581,"0",NA
"ACMACKSARG",2015,1.34092010239753,"0",NA
"ACMACKSARG",2016,0.932183698973272,"0",NA
"ACMACKSARG",2017,1.07936179911366,"0",NA
"ALBAIO",2001,1.33,"0",NA
"ALBAIO",2002,1.22,"0",NA
"ALBAIO",2003,1.26,"0",NA
"ALBAIO",2004,1.32,"0",NA
"ALBAIO",2005,1.38,"0",NA
"ALBAIO",2006,1.42,"0",NA
"ALBAIO",2007,1.38,"0",NA
"ALBAIO",2008,1.38,"0",NA
"ALBAIO",2009,1.5,"0",NA
"ALBAIO",2010,1.59,"0",NA
"ALBAIO",2011,1.67,"0",NA
"ALBAIO",2012,1.75,"0",NA
"ALBAIO",2013,1.78,"0",NA
"ALBAIO",2014,1.8,"0",NA
"ALBAIO",2015,1.82087912087913,"1","lm, 3 years gf"
"ALBAIO",2016,1.86575824175824,"1","lm, 3 years gf"
"ALBAIO",2017,1.91063736263736,"1","lm, 3 years gf"
"ALBAMED",2001,1.84,"0",NA
"ALBAMED",2002,1.75,"0",NA
"ALBAMED",2003,1.65,"0",NA
"ALBAMED",2004,1.56,"0",NA
"ALBAMED",2005,1.48,"0",NA
"ALBAMED",2006,1.42,"0",NA
"ALBAMED",2007,1.31,"0",NA
"ALBAMED",2008,1.21,"0",NA
"ALBAMED",2009,1.24,"0",NA
"ALBAMED",2010,1.23,"0",NA
"ALBAMED",2011,1.21,"0",NA
"ALBAMED",2012,1.08,"0",NA
"ALBAMED",2013,0.995,"0",NA
"ALBAMED",2014,0.963,"0",NA
"ALBAMED",2015,1,"0",NA
"ALBAMED",2016,0.841857142857123,"1","lm, 2 years gf"
"ALBAMED",2017,0.780939285714268,"1","lm, 2 years gf"
"ALBANATL",2001,0.992,"0",NA
"ALBANATL",2002,1.02,"0",NA
"ALBANATL",2003,1.05,"0",NA
"ALBANATL",2004,1.07,"0",NA
"ALBANATL",2005,1.09,"0",NA
"ALBANATL",2006,1.1,"0",NA
"ALBANATL",2007,1.1,"0",NA
"ALBANATL",2008,1.13,"0",NA
"ALBANATL",2009,1.17,"0",NA
"ALBANATL",2010,1.22,"0",NA
"ALBANATL",2011,1.26,"0",NA
"ALBANATL",2012,1.3,"0",NA
"ALBANATL",2013,1.32,"0",NA
"ALBANATL",2014,1.34,"0",NA
"ALBANATL",2015,1.35707692307694,"1","lm, 3 years gf"
"ALBANATL",2016,1.38409670329672,"1","lm, 3 years gf"
"ALBANATL",2017,1.41111648351649,"1","lm, 3 years gf"
"ALBANPAC",2001,3.28,"0",NA
"ALBANPAC",2002,3.14,"0",NA
"ALBANPAC",2003,2.8,"0",NA
"ALBANPAC",2004,3.15,"0",NA
"ALBANPAC",2005,3.36,"0",NA
"ALBANPAC",2006,3.34,"0",NA
"ALBANPAC",2007,3.24,"0",NA
"ALBANPAC",2008,3.16,"0",NA
"ALBANPAC",2009,3.63,"0",NA
"ALBANPAC",2010,3.67,"0",NA
"ALBANPAC",2011,3.29,"0",NA
"ALBANPAC",2012,2.94,"0",NA
"ALBANPAC",2013,3.01,"0",NA
"ALBANPAC",2014,3.26,"0",NA
"ALBANPAC",2015,3.25,"0",NA
"ALBANPAC",2016,3.27923809523809,"1","lm, 2 years gf"
"ALBANPAC",2017,3.28480952380952,"1","lm, 2 years gf"
"ALBASATL",2001,0.889,"0",NA
"ALBASATL",2002,0.835,"0",NA
"ALBASATL",2003,0.868,"0",NA
"ALBASATL",2004,0.938,"0",NA
"ALBASATL",2005,0.923,"0",NA
"ALBASATL",2006,0.966,"0",NA
"ALBASATL",2007,1.02,"0",NA
"ALBASATL",2008,1.09,"0",NA
"ALBASATL",2009,1.15,"0",NA
"ALBASATL",2010,1.15,"0",NA
"ALBASATL",2011,1.18,"0",NA
"ALBASATL",2012,1.2,"0",NA
"ALBASATL",2013,1.15,"0",NA
"ALBASATL",2014,1.25273076923077,"1","lm, 4 years gf"
"ALBASATL",2015,1.2848901098901,"1","lm, 4 years gf"
"ALBASATL",2016,1.31704945054943,"1","lm, 4 years gf"
"ALBASATL",2017,1.34920879120878,"1","lm, 4 years gf"
"ALBASPAC",2001,1.91,"0",NA
"ALBASPAC",2002,1.76,"0",NA
"ALBASPAC",2003,1.78,"0",NA
"ALBASPAC",2004,1.85,"0",NA
"ALBASPAC",2005,1.87,"0",NA
"ALBASPAC",2006,1.81,"0",NA
"ALBASPAC",2007,1.79,"0",NA
"ALBASPAC",2008,1.86,"0",NA
"ALBASPAC",2009,1.81,"0",NA
"ALBASPAC",2010,1.79,"0",NA
"ALBASPAC",2011,1.81,"0",NA
"ALBASPAC",2012,1.67,"0",NA
"ALBASPAC",2013,1.49,"0",NA
"ALBASPAC",2014,1.66538461538462,"1","lm, 4 years gf"
"ALBASPAC",2015,1.64835164835165,"1","lm, 4 years gf"
"ALBASPAC",2016,1.63131868131869,"1","lm, 4 years gf"
"ALBASPAC",2017,1.61428571428572,"1","lm, 4 years gf"
"ALPLAICBSAI",2001,2.43651499482937,"0",NA
"ALPLAICBSAI",2002,2.47088934850052,"0",NA
"ALPLAICBSAI",2003,2.45934850051706,"0",NA
"ALPLAICBSAI",2004,2.43016546018614,"0",NA
"ALPLAICBSAI",2005,2.38492244053775,"0",NA
"ALPLAICBSAI",2006,2.31401240951396,"0",NA
"ALPLAICBSAI",2007,2.22462254395036,"0",NA
"ALPLAICBSAI",2008,2.15329886246122,"0",NA
"ALPLAICBSAI",2009,2.12654601861427,"0",NA
"ALPLAICBSAI",2010,2.15318510858325,"0",NA
"ALPLAICBSAI",2011,2.19720785935884,"0",NA
"ALPLAICBSAI",2012,2.21986556359876,"0",NA
"ALPLAICBSAI",2013,2.22855222337125,"0",NA
"ALPLAICBSAI",2014,2.17247156153051,"0",NA
"ALPLAICBSAI",2015,2.10702171664943,"0",NA
"ALPLAICBSAI",2016,2.03045501551189,"0",NA
"ALPLAICBSAI",2017,2.0346695966908,"1","lm, 1 years gf"
"ALSKABSAI",2001,1.79195018514416,"0",NA
"ALSKABSAI",2002,1.72963414248188,"0",NA
"ALSKABSAI",2003,1.67610849131247,"0",NA
"ALSKABSAI",2004,1.65104282052094,"0",NA
"ALSKABSAI",2005,1.6289679399943,"0",NA
"ALSKABSAI",2006,1.61819951261196,"0",NA
"ALSKABSAI",2007,1.634253251891,"0",NA
"ALSKABSAI",2008,1.67159856948444,"0",NA
"ALSKABSAI",2009,1.71520239263221,"0",NA
"ALSKABSAI",2010,1.75622685698009,"0",NA
"ALSKABSAI",2011,1.79842231857455,"0",NA
"ALSKABSAI",2012,1.82732537899168,"0",NA
"ALSKABSAI",2013,1.87260657657373,"0",NA
"ALSKABSAI",2014,1.91353609519891,"0",NA
"ALSKABSAI",2015,1.96216412950597,"0",NA
"ALSKABSAI",2016,1.98604297876381,"0",NA
"ALSKABSAI",2017,1.93007010159192,"1","lm, 1 years gf"
"AMPL5YZ",2001,0.249401476106655,"1","lm, 3 years gf"
"AMPL5YZ",2002,0.30375830198092,"1","lm, 3 years gf"
"AMPL5YZ",2003,0.440420647263571,"0",NA
"AMPL5YZ",2004,0.361104939643042,"0",NA
"AMPL5YZ",2005,0.355328445530623,"0",NA
"AMPL5YZ",2006,0.409834851514478,"0",NA
"AMPL5YZ",2007,0.529437902688291,"0",NA
"AMPL5YZ",2008,0.724505665407687,"0",NA
"AMPL5YZ",2009,0.794341998074502,"0",NA
"AMPL5YZ",2010,0.81744797452418,"0",NA
"AMPL5YZ",2011,0.845367696067541,"0",NA
"AMPL5YZ",2012,0.861660371769236,"0",NA
"AMPL5YZ",2013,0.904539731911427,"0",NA
"AMPL5YZ",2014,0.968155224764867,"0",NA
"AMPL5YZ",2015,0.959194253128934,"0",NA
"AMPL5YZ",2016,0.988743242242465,"0",NA
"AMPL5YZ",2017,1.11911069009494,"1","lm, 3 years gf"
"ANCHMEDGSA16",2001,0.969,"0",NA
"ANCHMEDGSA16",2002,0.887,"0",NA
