"rgn_id","fao_id","scientificname","stock_id","stockid","stocklong","commonname","idtemp2"
163,77,"Alopias vulpinus","Alopias_vulpinus-77","THRSHARNPAC","Thresher shark North Pacific","Thresher shark",100
55,27,"Alopias vulpinus","Alopias_vulpinus-27",NA,NA,NA,NA
59,27,"Alopias vulpinus","Alopias_vulpinus-27",NA,NA,NA,NA
141,27,"Alopias vulpinus","Alopias_vulpinus-27",NA,NA,NA,NA
177,27,"Alopias vulpinus","Alopias_vulpinus-27",NA,NA,NA,NA
179,27,"Alopias vulpinus","Alopias_vulpinus-27",NA,NA,NA,NA
180,27,"Alopias vulpinus","Alopias_vulpinus-27",NA,NA,NA,NA
181,27,"Alopias vulpinus","Alopias_vulpinus-27",NA,NA,NA,NA
182,27,"Alopias vulpinus","Alopias_vulpinus-27",NA,NA,NA,NA
183,27,"Alopias vulpinus","Alopias_vulpinus-27",NA,NA,NA,NA
223,27,"Alopias vulpinus","Alopias_vulpinus-27",NA,NA,NA,NA
227,27,"Alopias vulpinus","Alopias_vulpinus-27",NA,NA,NA,NA
228,27,"Alopias vulpinus","Alopias_vulpinus-27",NA,NA,NA,NA
262,27,"Alopias vulpinus","Alopias_vulpinus-27",NA,NA,NA,NA
110,31,"Alopias vulpinus","Alopias_vulpinus-31",NA,NA,NA,NA
115,31,"Alopias vulpinus","Alopias_vulpinus-31",NA,NA,NA,NA
116,31,"Alopias vulpinus","Alopias_vulpinus-31",NA,NA,NA,NA
117,31,"Alopias vulpinus","Alopias_vulpinus-31",NA,NA,NA,NA
118,31,"Alopias vulpinus","Alopias_vulpinus-31",NA,NA,NA,NA
135,31,"Alopias vulpinus","Alopias_vulpinus-31",NA,NA,NA,NA
163,31,"Alopias vulpinus","Alopias_vulpinus-31",NA,NA,NA,NA
221,31,"Alopias vulpinus","Alopias_vulpinus-31",NA,NA,NA,NA
248,31,"Alopias vulpinus","Alopias_vulpinus-31",NA,NA,NA,NA
57,34,"Alopias vulpinus","Alopias_vulpinus-34",NA,NA,NA,NA
58,34,"Alopias vulpinus","Alopias_vulpinus-34",NA,NA,NA,NA
62,34,"Alopias vulpinus","Alopias_vulpinus-34",NA,NA,NA,NA
63,34,"Alopias vulpinus","Alopias_vulpinus-34",NA,NA,NA,NA
64,34,"Alopias vulpinus","Alopias_vulpinus-34",NA,NA,NA,NA
65,34,"Alopias vulpinus","Alopias_vulpinus-34",NA,NA,NA,NA
66,34,"Alopias vulpinus","Alopias_vulpinus-34",NA,NA,NA,NA
96,34,"Alopias vulpinus","Alopias_vulpinus-34",NA,NA,NA,NA
97,34,"Alopias vulpinus","Alopias_vulpinus-34",NA,NA,NA,NA
100,34,"Alopias vulpinus","Alopias_vulpinus-34",NA,NA,NA,NA
