report_title,published_date,sw_species,scientific_name,fao_species,fda_species,country,water_body,method,escapes_score,score,rec,species,rgn_id,rgn_name
Shrimp (Ecuador),03/01/2021,Whiteleg shrimp,Litopenaeus vannamei,NA,Whiteleg Shrimp,Ecuador,NA,Semi-intensive pond,4,4.02,Yellow,Whiteleg shrimp,137,Ecuador
Shrimp (Mexico),03/01/2021,Whiteleg shrimp,Litopenaeus vannamei,NA,Whiteleg Shrimp,Mexico,NA,Ponds,2,2.64,Red,Whiteleg shrimp,135,Mexico
"Perch, giant/barramundi (Vietnam)",03/01/2021,Giant perch,Lates calcarifer,Barramundi(=Giant seaperch),Giant Perch,Vietnam,NA,Marine net pen,4,6.15,Yellow,Barramundi(=Giant seaperch),207,Vietnam
"Crayfish, red swamp (US)",07/04/2022,Red swamp crayfish,Procambarus clarkii,Red swamp crawfish,Red Swamp Crayfish,United States,NA,Ponds,10,7.4,Green,Red swamp crawfish,163,United States
"Salmon, Atlantic (Atlantic Canada, Maine, US)",12/06/2021,Atlantic salmon,Salmo salar,Atlantic salmon,Atlantic Salmon,Canada,Northwest Atlantic Ocean,Marine net pen,3,3.53,Red,Atlantic salmon,218,Canada
"Salmon, Atlantic (British Columbia)",12/06/2021,Atlantic salmon,Salmo salar,Atlantic salmon,Atlantic Salmon,Canada,Northeast Pacific Ocean,Marine net pen,5,3.62,Red,Atlantic salmon,218,Canada
"Salmon, Atlantic (Norway)",12/06/2021,Atlantic salmon,Salmo salar,Atlantic salmon,Atlantic Salmon,Norway,Area 1: The Swedish Border to Jæren,Marine net pen,4,3.54,Yellow,Atlantic salmon,223,Norway
"Salmon, Atlantic (Scotland)",12/06/2021,Atlantic salmon,Salmo salar,Atlantic salmon,Atlantic Salmon,United Kingdom,Northeast Atlantic Ocean,Marine net pen,4,5.19,Yellow,Atlantic salmon,180,United Kingdom
"Salmon, Atlantic and coho (Chile)",12/06/2021,Atlantic salmon,Salmo salar,Atlantic salmon,Atlantic Salmon,Chile,Southeast Pacific Ocean,Marine net pen,4,3.53,Red,Atlantic salmon,224,Chile
Shrimp (India),10/04/2021,Whiteleg shrimp,Litopenaeus vannamei,NA,Whiteleg Shrimp,India,NA,Ponds,3,2.41,Red,Whiteleg shrimp,203,India
Shrimp (Bangladesh),12/06/2021,Giant freshwater prawn,Macrobrachium rosenbergii,Giant river prawn,Giant Freshwater Prawn,Bangladesh,NA,Ponds,4,5.28,Yellow,Giant river prawn,204,Bangladesh
Shrimp (Bangladesh),12/06/2021,Giant tiger prawn,Penaeus monodon,Giant tiger prawn,Giant Tiger Prawn,Bangladesh,NA,Ponds,4,4.98,Red,Giant tiger prawn,204,Bangladesh
Shrimp (Vietnam),01/09/2023,Giant tiger prawn,Penaeus monodon,Giant tiger prawn,Giant Tiger Prawn,Vietnam,NA,Extensive pond,4,3.84,Yellow,Giant tiger prawn,207,Vietnam
Shrimp (Vietnam),01/09/2023,Giant tiger prawn,Penaeus monodon,Giant tiger prawn,Giant Tiger Prawn,Vietnam,NA,Silvoculture,4,4.7,Yellow,Giant tiger prawn,207,Vietnam
Shrimp (Vietnam),01/09/2023,Whiteleg shrimp,Litopenaeus vannamei,NA,Whiteleg Shrimp,Vietnam,NA,Intensive pond,3,2.2,Red,Whiteleg shrimp,207,Vietnam
"Trout, rainbow (Chile) - marine net pens",12/05/2022,Rainbow trout,Oncorhynchus mykiss,Rainbow trout,Rainbow Trout,Chile,Southeast Pacific Ocean,Marine net pen,3,3.8,Red,Rainbow trout,224,Chile
"Drum, red (US)",03/06/2023,Red drum,Sciaenops ocellatus,Red drum,Red Drum,United States,NA,Ponds,8,6.68,Green,Red drum,163,United States
Shrimp (India),10/04/2021,Giant tiger prawn,Penaeus monodon,Giant tiger prawn,Giant Tiger Prawn,India,NA,Ponds,4,0,Red,Giant tiger prawn,203,India
"Shrimp, Whiteleg and Giant Tiger Prawn (Malaysia)",11/01/2021,Whiteleg shrimp,Litopenaeus vannamei,NA,Whiteleg Shrimp,Malaysia,NA,Ponds,4,3.9,Red,Whiteleg shrimp,206,Malaysia
"Shrimp, Whiteleg and Giant Tiger Prawn (Malaysia)",11/01/2021,Giant tiger prawn,Penaeus monodon,Giant tiger prawn,Giant Tiger Prawn,Malaysia,NA,Ponds,4,3.77,Red,Giant tiger prawn,206,Malaysia
"Eel (China, Japan, Taiwan, South Korea)",11/01/2021,American eel,Anguilla rostrata,American eel,American Eel,China,NA,Ponds,3,0.72,Red,American eel,209,China
"Eel (China, Japan, Taiwan, South Korea)",11/01/2021,European eel,Anguilla anguilla,European eel,European Eel,China,NA,Ponds,3,0.72,Red,European eel,209,China
"Eel (China, Japan, Taiwan, South Korea)",11/01/2021,Japanese eel,Anguilla japonica,Japanese eel,Japanese Eel,China,NA,Ponds,3,0.72,Red,Japanese eel,209,China
"Eel (China, Japan, Taiwan, South Korea)",11/01/2021,American eel,Anguilla rostrata,American eel,American Eel,Japan,NA,Ponds,3,1.25,Red,American eel,210,Japan
"Eel (China, Japan, Taiwan, South Korea)",11/01/2021,European eel,Anguilla anguilla,European eel,European Eel,Japan,NA,Ponds,3,1.25,Red,European eel,210,Japan
"Eel (China, Japan, Taiwan, South Korea)",11/01/2021,Japanese eel,Anguilla japonica,Japanese eel,Japanese Eel,Japan,NA,Ponds,3,1.25,Red,Japanese eel,210,Japan
"Eel (China, Japan, Taiwan, South Korea)",11/01/2021,American eel,Anguilla rostrata,American eel,American Eel,Taiwan,NA,Ponds,3,0.7,Red,American eel,14,Taiwan
"Eel (China, Japan, Taiwan, South Korea)",11/01/2021,European eel,Anguilla anguilla,European eel,European Eel,Taiwan,NA,Ponds,3,0.7,Red,European eel,14,Taiwan
"Eel (China, Japan, Taiwan, South Korea)",11/01/2021,Japanese eel,Anguilla japonica,Japanese eel,Japanese Eel,Taiwan,NA,Ponds,3,0.7,Red,Japanese eel,14,Taiwan
"Eel (China, Japan, Taiwan, South Korea)",11/01/2021,American eel,Anguilla rostrata,American eel,American Eel,South Korea,NA,Ponds,3,1.21,Red,American eel,20,South Korea
"Eel (China, Japan, Taiwan, South Korea)",11/01/2021,European eel,Anguilla anguilla,European eel,European Eel,South Korea,NA,Ponds,3,1.21,Red,European eel,20,South Korea
"Eel (China, Japan, Taiwan, South Korea)",11/01/2021,Japanese eel,Anguilla japonica,Japanese eel,Japanese Eel,South Korea,NA,Ponds,3,1.21,Red,Japanese eel,20,South Korea
"Salmon, Atlantic and coho (Chile)",12/06/2021,Atlantic salmon,Salmo salar,Atlantic salmon,Atlantic Salmon,Chile,Southeast Pacific Ocean,Marine net pen,4,4.1,Yellow,Atlantic salmon,224,Chile
"Salmon, Atlantic and coho (Chile)",12/06/2021,Coho salmon,Oncorhynchus kisutch,Coho(=Silver) salmon,Coho Salmon,Chile,Southeast Pacific Ocean,Marine net pen,1,3.99,Red,Coho(=Silver) salmon,224,Chile
"Salmon, Atlantic (Atlantic Canada, Maine, US)",12/06/2021,Atlantic salmon,Salmo salar,Atlantic salmon,Atlantic Salmon,Canada,Northwest Atlantic Ocean,Marine net pen,3,3.78,Red,Atlantic salmon,218,Canada
"Salmon, Atlantic (Atlantic Canada, Maine, US)",12/06/2021,Atlantic salmon,Salmo salar,Atlantic salmon,Atlantic Salmon,Canada,Northwest Atlantic Ocean,Marine net pen,4,4.96,Yellow,Atlantic salmon,218,Canada
"Salmon, Atlantic (Atlantic Canada, Maine, US)",12/06/2021,Atlantic salmon,Salmo salar,Atlantic salmon,Atlantic Salmon,United States,Northwest Atlantic Ocean,Marine net pen,4,5.04,Yellow,Atlantic salmon,163,United States
"Salmon, Atlantic (Norway)",12/06/2021,Atlantic salmon,Salmo salar,Atlantic salmon,Atlantic Salmon,Norway,Area 2: Ryfylket,Marine net pen,6,3.4,Red,Atlantic salmon,223,Norway
"Salmon, Atlantic (Norway)",12/06/2021,Atlantic salmon,Salmo salar,Atlantic salmon,Atlantic Salmon,Norway,Area 3: Karmøy to Sotra,Marine net pen,0,2.8,Red,Atlantic salmon,223,Norway
"Salmon, Atlantic (Norway)",12/06/2021,Atlantic salmon,Salmo salar,Atlantic salmon,Atlantic Salmon,Norway,Area 4: Nordhordland to Stadt,Marine net pen,1,2.94,Red,Atlantic salmon,223,Norway
"Salmon, Atlantic (Norway)",12/06/2021,Atlantic salmon,Salmo salar,Atlantic salmon,Atlantic Salmon,Norway,Area 5: Stadt to Hustadvika,Marine net pen,3,2.97,Red,Atlantic salmon,223,Norway
"Salmon, Atlantic (Norway)",12/06/2021,Atlantic salmon,Salmo salar,Atlantic salmon,Atlantic Salmon,Norway,Area 6: Nordmøre and Sør-Trøndelag,Marine net pen,4,3.94,Red,Atlantic salmon,223,Norway
"Salmon, Atlantic (Norway)",12/06/2021,Atlantic salmon,Salmo salar,Atlantic salmon,Atlantic Salmon,Norway,Area 7: Nord-Trøndelag and Bindal,Marine net pen,3,3.51,Red,Atlantic salmon,223,Norway
"Salmon, Atlantic (Norway)",12/06/2021,Atlantic salmon,Salmo salar,Atlantic salmon,Atlantic Salmon,Norway,Area 8: Helgeland to Bodø,Marine net pen,1,3.51,Red,Atlantic salmon,223,Norway
"Salmon, Atlantic (Norway)",12/06/2021,Atlantic salmon,Salmo salar,Atlantic salmon,Atlantic Salmon,Norway,Area 9: Vestfjorden and Vesterålen,Marine net pen,0,3.51,Red,Atlantic salmon,223,Norway
"Salmon, Atlantic (Norway)",12/06/2021,Atlantic salmon,Salmo salar,Atlantic salmon,Atlantic Salmon,Norway,Area 10: Andøya to Senja,Marine net pen,0,3.51,Red,Atlantic salmon,223,Norway
"Salmon, Atlantic (Norway)",12/06/2021,Atlantic salmon,Salmo salar,Atlantic salmon,Atlantic Salmon,Norway,Area 11: Kvaløya to Loppa,Marine net pen,0,3.8,Red,Atlantic salmon,223,Norway
"Salmon, Atlantic (Norway)",12/06/2021,Atlantic salmon,Salmo salar,Atlantic salmon,Atlantic Salmon,Norway,Area 12: West Finnmark,Marine net pen,5,4.51,Yellow,Atlantic salmon,223,Norway
