fao,environment,species,year,Taxon_code,rgn_id,rgn_name,family,value
Africa - Inland waters,Brackishwater,European eel,1984,F,84,Algeria,Anguillidae,44
Africa - Inland waters,Brackishwater,European eel,1985,F,84,Algeria,Anguillidae,34
Africa - Inland waters,Brackishwater,European eel,1986,F,84,Algeria,Anguillidae,82
Africa - Inland waters,Brackishwater,European eel,1987,F,84,Algeria,Anguillidae,69
Africa - Inland waters,Brackishwater,European eel,1988,F,84,Algeria,Anguillidae,72
Africa - Inland waters,Brackishwater,European eel,1989,F,84,Algeria,Anguillidae,53
Africa - Inland waters,Brackishwater,European eel,1990,F,84,Algeria,Anguillidae,46
Africa - Inland waters,Brackishwater,European eel,1991,F,84,Algeria,Anguillidae,22
Africa - Inland waters,Brackishwater,European eel,1992,F,84,Algeria,Anguillidae,1
Africa - Inland waters,Brackishwater,European eel,1993,F,84,Algeria,Anguillidae,0.1
Africa - Inland waters,Brackishwater,European eel,1994,F,84,Algeria,Anguillidae,22
Africa - Inland waters,Brackishwater,European eel,1995,F,84,Algeria,Anguillidae,20
Africa - Inland waters,Brackishwater,European eel,1996,F,84,Algeria,Anguillidae,17
Africa - Inland waters,Brackishwater,European eel,1997,F,84,Algeria,Anguillidae,17
Africa - Inland waters,Brackishwater,European eel,1998,F,84,Algeria,Anguillidae,22
Africa - Inland waters,Brackishwater,European eel,1999,F,84,Algeria,Anguillidae,15
Africa - Inland waters,Brackishwater,European eel,2000,F,84,Algeria,Anguillidae,23
Africa - Inland waters,Brackishwater,European eel,2001,F,84,Algeria,Anguillidae,32
Africa - Inland waters,Brackishwater,European eel,2002,F,84,Algeria,Anguillidae,33
Africa - Inland waters,Brackishwater,European eel,2003,F,84,Algeria,Anguillidae,16
Africa - Inland waters,Brackishwater,European eel,2004,F,84,Algeria,Anguillidae,16
Africa - Inland waters,Brackishwater,European eel,2005,F,84,Algeria,Anguillidae,15
Africa - Inland waters,Brackishwater,European eel,2006,F,84,Algeria,Anguillidae,7
Africa - Inland waters,Brackishwater,European eel,2007,F,84,Algeria,Anguillidae,15
Africa - Inland waters,Brackishwater,European eel,2008,F,84,Algeria,Anguillidae,11.73
Africa - Inland waters,Brackishwater,European eel,2009,F,84,Algeria,Anguillidae,14.2
Africa - Inland waters,Brackishwater,European eel,2010,F,84,Algeria,Anguillidae,4.219
Africa - Inland waters,Brackishwater,European eel,2011,F,84,Algeria,Anguillidae,0
Africa - Inland waters,Brackishwater,European eel,2012,F,84,Algeria,Anguillidae,0.412
Africa - Inland waters,Brackishwater,European eel,2013,F,84,Algeria,Anguillidae,0
Africa - Inland waters,Brackishwater,European eel,2014,F,84,Algeria,Anguillidae,0
Africa - Inland waters,Brackishwater,European eel,2015,F,84,Algeria,Anguillidae,0
Africa - Inland waters,Brackishwater,European eel,2016,F,84,Algeria,Anguillidae,0
Africa - Inland waters,Brackishwater,European eel,2017,F,84,Algeria,Anguillidae,7.7
Africa - Inland waters,Brackishwater,European eel,2018,F,84,Algeria,Anguillidae,27
Africa - Inland waters,Brackishwater,European eel,2019,F,84,Algeria,Anguillidae,27.69
Africa - Inland waters,Brackishwater,European eel,2020,F,84,Algeria,Anguillidae,48.35
Africa - Inland waters,Brackishwater,European eel,2021,F,84,Algeria,Anguillidae,6.8
Africa - Inland waters,Brackishwater,European eel,2022,F,84,Algeria,Anguillidae,7
Africa - Inland waters,Brackishwater,European seabass,1991,F,214,Egypt,Moronidae,720
Africa - Inland waters,Brackishwater,European seabass,1992,F,214,Egypt,Moronidae,720
Africa - Inland waters,Brackishwater,European seabass,1993,F,214,Egypt,Moronidae,720
Africa - Inland waters,Brackishwater,European seabass,1994,F,214,Egypt,Moronidae,720
Africa - Inland waters,Brackishwater,European seabass,1995,F,214,Egypt,Moronidae,755
Africa - Inland waters,Brackishwater,European seabass,1996,F,214,Egypt,Moronidae,977
Africa - Inland waters,Brackishwater,European seabass,1997,F,214,Egypt,Moronidae,2238
Africa - Inland waters,Brackishwater,European seabass,1998,F,214,Egypt,Moronidae,3612
Africa - Inland waters,Brackishwater,European seabass,1999,F,214,Egypt,Moronidae,2725
Africa - Inland waters,Brackishwater,European seabass,2000,F,214,Egypt,Moronidae,10031
Africa - Inland waters,Brackishwater,European seabass,2001,F,214,Egypt,Moronidae,841
Africa - Inland waters,Brackishwater,European seabass,2002,F,214,Egypt,Moronidae,1239
Africa - Inland waters,Brackishwater,European seabass,2003,F,214,Egypt,Moronidae,1789
Africa - Inland waters,Brackishwater,European seabass,2004,F,214,Egypt,Moronidae,1812
Africa - Inland waters,Brackishwater,European seabass,2005,F,214,Egypt,Moronidae,4192
Africa - Inland waters,Brackishwater,European seabass,2006,F,214,Egypt,Moronidae,372
Africa - Inland waters,Brackishwater,European seabass,2007,F,214,Egypt,Moronidae,598
Africa - Inland waters,Brackishwater,European seabass,2010,F,214,Egypt,Moronidae,60
Africa - Inland waters,Brackishwater,European seabass,2011,F,214,Egypt,Moronidae,300
Africa - Inland waters,Brackishwater,European seabass,2012,F,214,Egypt,Moronidae,300
Africa - Inland waters,Brackishwater,European seabass,2013,F,214,Egypt,Moronidae,386
Africa - Inland waters,Brackishwater,European seabass,2014,F,214,Egypt,Moronidae,300
Africa - Inland waters,Brackishwater,European seabass,2015,F,214,Egypt,Moronidae,219
Africa - Inland waters,Brackishwater,European seabass,2016,F,214,Egypt,Moronidae,219
Africa - Inland waters,Brackishwater,European seabass,2017,F,214,Egypt,Moronidae,330
Africa - Inland waters,Brackishwater,European seabass,2018,F,214,Egypt,Moronidae,352
Africa - Inland waters,Brackishwater,European seabass,2019,F,214,Egypt,Moronidae,356
Africa - Inland waters,Brackishwater,European seabass,2020,F,214,Egypt,Moronidae,368
Africa - Inland waters,Brackishwater,European seabass,2021,F,214,Egypt,Moronidae,352
Africa - Inland waters,Brackishwater,European seabass,2022,F,214,Egypt,Moronidae,357
Africa - Inland waters,Brackishwater,Mullets nei,1984,F,84,Algeria,Apogonidae,22
Africa - Inland waters,Brackishwater,Mullets nei,1985,F,84,Algeria,Apogonidae,25
Africa - Inland waters,Brackishwater,Mullets nei,1986,F,84,Algeria,Apogonidae,30
Africa - Inland waters,Brackishwater,Mullets nei,1987,F,84,Algeria,Apogonidae,36
Africa - Inland waters,Brackishwater,Mullets nei,1988,F,84,Algeria,Apogonidae,32
Africa - Inland waters,Brackishwater,Mullets nei,1989,F,84,Algeria,Apogonidae,20
Africa - Inland waters,Brackishwater,Mullets nei,1990,F,84,Algeria,Apogonidae,19
Africa - Inland waters,Brackishwater,Mullets nei,1991,F,84,Algeria,Apogonidae,18
Africa - Inland waters,Brackishwater,Mullets nei,1992,F,84,Algeria,Apogonidae,8
Africa - Inland waters,Brackishwater,Mullets nei,1993,F,84,Algeria,Apogonidae,55
Africa - Inland waters,Brackishwater,Mullets nei,1994,F,84,Algeria,Apogonidae,50
Africa - Inland waters,Brackishwater,Mullets nei,1995,F,84,Algeria,Apogonidae,30
Africa - Inland waters,Brackishwater,Mullets nei,1996,F,84,Algeria,Apogonidae,26
Africa - Inland waters,Brackishwater,Mullets nei,1997,F,84,Algeria,Apogonidae,26
Africa - Inland waters,Brackishwater,Mullets nei,1998,F,84,Algeria,Apogonidae,12
Africa - Inland waters,Brackishwater,Mullets nei,1999,F,84,Algeria,Apogonidae,18
Africa - Inland waters,Brackishwater,Mullets nei,2000,F,84,Algeria,Apogonidae,25
Africa - Inland waters,Brackishwater,Mullets nei,2001,F,84,Algeria,Apogonidae,32
Africa - Inland waters,Brackishwater,Mullets nei,2002,F,84,Algeria,Apogonidae,34
Africa - Inland waters,Brackishwater,Mullets nei,2003,F,84,Algeria,Apogonidae,1
Africa - Inland waters,Brackishwater,Mullets nei,2004,F,84,Algeria,Apogonidae,1
Africa - Inland waters,Brackishwater,Mullets nei,2005,F,84,Algeria,Apogonidae,1
Africa - Inland waters,Brackishwater,Mullets nei,2006,F,84,Algeria,Apogonidae,9
Africa - Inland waters,Brackishwater,Mullets nei,2007,F,84,Algeria,Apogonidae,6
Africa - Inland waters,Brackishwater,Mullets nei,2008,F,84,Algeria,Apogonidae,51.71
Africa - Inland waters,Brackishwater,Mullets nei,2009,F,84,Algeria,Apogonidae,24.948
Africa - Inland waters,Brackishwater,Mullets nei,2010,F,84,Algeria,Apogonidae,4.391
Africa - Inland waters,Brackishwater,Mullets nei,2011,F,84,Algeria,Apogonidae,5.529
Africa - Inland waters,Brackishwater,Mullets nei,2012,F,84,Algeria,Apogonidae,6.066
Africa - Inland waters,Brackishwater,Mullets nei,2013,F,84,Algeria,Apogonidae,0.35
Africa - Inland waters,Brackishwater,Mullets nei,2014,F,84,Algeria,Apogonidae,1.676
Africa - Inland waters,Brackishwater,Mullets nei,2015,F,84,Algeria,Apogonidae,1.1
