rgn_id,fao_id,RAM_area_m2,stockid,stocklong,region,idtemp2
162,81,NA,PRGURNGUR3,Pacific red gurnard New Zealand Area GUR 3,New Zealand,1
162,81,NA,PRGURNGUR7,Pacific red gurnard New Zealand Area GUR 7,New Zealand,2
162,81,NA,TARAKENZ,Tarakihi Eastern New Zealand,New Zealand,3
162,81,NA,TARAKSA,Tarakihi Sub-Antarctic,New Zealand,4
