name,identifier,spp_count,version
Eastern Africa,eastern_africa,1591,2022-1
Northeastern Africa,northeastern_africa,305,2022-1
Western Africa,western_africa,966,2022-1
Northern Africa,northern_africa,358,2022-1
Central Africa,central_africa,1948,2022-1
Pan-Africa,pan-africa,5085,2022-1
Southern Africa,southern_africa,808,2022-1
Mediterranean,mediterranean,4921,2022-1
Europe,europe,16232,2022-1
