iucn_sid,iucn_rgn,pop_trend,iucn_version
224,europe,decreasing,2020-1
225,europe,decreasing,2020-1
229,europe,decreasing,2020-1
230,europe,decreasing,2020-1
232,europe,decreasing,2020-1
235,europe,decreasing,2020-1
907,europe,decreasing,2020-1
2352,mediterranean,stable,2020-1
2352,europe,unknown,2020-1
2467,europe,unknown,2020-1
2474,europe,unknown,2020-1
2475,europe,unknown,2020-1
2477,europe,unknown,2020-1
2478,mediterranean,decreasing,2020-1
2478,europe,unknown,2020-1
2539,europe,unknown,2020-1
3851,mediterranean,unknown,2020-1
3851,europe,unknown,2020-1
3852,mediterranean,unknown,2020-1
3852,europe,unknown,2020-1
3853,mediterranean,decreasing,2020-1
3853,europe,decreasing,2020-1
3854,mediterranean,decreasing,2020-1
3854,europe,decreasing,2020-1
3855,mediterranean,decreasing,2020-1
3855,europe,decreasing,2020-1
4292,mediterranean,decreasing,2020-1
4292,europe,stable,2020-1
5675,pan-africa,unknown,2020-1
5675,southern_africa,unknown,2020-1
6204,europe,unknown,2020-1
6229,mediterranean,decreasing,2020-1
6229,europe,decreasing,2020-1
6335,europe,unknown,2020-1
6336,mediterranean,decreasing,2020-1
6336,europe,unknown,2020-1
7135,eastern_africa,unknown,2020-1
7135,pan-africa,unknown,2020-1
7135,southern_africa,unknown,2020-1
7859,mediterranean,decreasing,2020-1
7859,europe,decreasing,2020-1
8010,europe,unknown,2020-1
8097,europe,NA,2020-1
8262,mediterranean,decreasing,2020-1
8784,europe,increasing,2020-1
8951,europe,unknown,2020-1
9250,mediterranean,unknown,2020-1
9250,europe,unknown,2020-1
9266,eastern_africa,unknown,2020-1
9266,pan-africa,unknown,2020-1
9461,mediterranean,unknown,2020-1
9461,europe,unknown,2020-1
9660,europe,increasing,2020-1
10030,mediterranean,stable,2020-1
10030,europe,stable,2020-1
10066,europe,unknown,2020-1
10069,mediterranean,decreasing,2020-1
10069,europe,unknown,2020-1
10097,europe,stable,2020-1
10269,europe,decreasing,2020-1
10707,europe,unknown,2020-1
11030,mediterranean,unknown,2020-1
11030,europe,unknown,2020-1
11047,europe,unknown,2020-1
11048,europe,unknown,2020-1
11140,europe,unknown,2020-1
11141,europe,stable,2020-1
11142,europe,stable,2020-1
11200,mediterranean,decreasing,2020-1
11200,europe,decreasing,2020-1
12419,mediterranean,decreasing,2020-1
12419,europe,unknown,2020-1
13006,europe,increasing,2020-1
13045,europe,unknown,2020-1
13232,mediterranean,unknown,2020-1
13232,europe,unknown,2020-1
13241,europe,unknown,2020-1
13244,europe,unknown,2020-1
13245,europe,unknown,2020-1
13250,europe,unknown,2020-1
13653,mediterranean,decreasing,2020-1
13653,europe,unknown,2020-1
13704,europe,unknown,2020-1
14054,mediterranean,unknown,2020-1
14054,europe,unknown,2020-1
14264,pan-africa,decreasing,2020-1
14264,southern_africa,decreasing,2020-1
15106,europe,unknown,2020-1
15421,europe,unknown,2020-1
15873,mediterranean,stable,2020-1
15873,europe,unknown,2020-1
16012,eastern_africa,unknown,2020-1
16564,europe,unknown,2020-1
16781,europe,unknown,2020-1
17013,europe,unknown,2020-1
17027,europe,decreasing,2020-1
18175,central_africa,unknown,2020-1
18175,mediterranean,decreasing,2020-1
18175,europe,decreasing,2020-1
18376,europe,unknown,2020-1
18596,europe,unknown,2020-1
18878,europe,unknown,2020-1
19387,pan-africa,unknown,2020-1
19855,europe,decreasing,2020-1
20731,mediterranean,unknown,2020-1
20731,europe,unknown,2020-1
20738,europe,unknown,2020-1
21257,mediterranean,unknown,2020-1
21257,europe,unknown,2020-1
21856,mediterranean,stable,2020-1
21856,europe,decreasing,2020-1
21860,mediterranean,decreasing,2020-1
21860,europe,decreasing,2020-1
21860,europe,decreasing,2020-1
22563,mediterranean,decreasing,2020-1
22563,europe,decreasing,2020-1
22823,europe,decreasing,2020-1
23148,mediterranean,decreasing,2020-1
23148,europe,decreasing,2020-1
23211,mediterranean,unknown,2020-1
23211,europe,unknown,2020-1
23259,mediterranean,unknown,2020-1
23259,europe,stable,2020-1
39332,mediterranean,decreasing,2020-1
39332,europe,decreasing,2020-1
39336,europe,unknown,2020-1
39339,mediterranean,decreasing,2020-1
39339,europe,decreasing,2020-1
39341,mediterranean,decreasing,2020-1
39341,europe,unknown,2020-1
39352,mediterranean,decreasing,2020-1
39352,europe,decreasing,2020-1
39357,mediterranean,decreasing,2020-1
39357,europe,stable,2020-1
39358,mediterranean,decreasing,2020-1
39358,europe,decreasing,2020-1
39370,europe,unknown,2020-1
39374,europe,decreasing,2020-1
39378,europe,unknown,2020-1
39381,mediterranean,decreasing,2020-1
39381,europe,decreasing,2020-1
39385,europe,decreasing,2020-1
39386,europe,decreasing,2020-1
39388,mediterranean,decreasing,2020-1
39388,europe,decreasing,2020-1
39397,mediterranean,decreasing,2020-1
39397,europe,decreasing,2020-1
39399,mediterranean,decreasing,2020-1
39399,europe,stable,2020-1
39400,europe,stable,2020-1
40710,europe,unknown,2020-1
41006,mediterranean,decreasing,2020-1
41006,europe,unknown,2020-1
