"nutrient","year","process_type","category_type","before_exclusion_sum","after_exclusion_sum"
"N","2006","volt","crop_manure",82689069.3949473,476390.579825127
"N","2006","volt","crop",13662497.8014737,81340.8177496178
"N","2006","volt","manure",69026571.5934736,395049.762075509
