"nutrient","year","process_type","category_type","before_exclusion_sum","after_exclusion_sum"
"N","2019","leached","crop_manure",55317410.6628718,18386208.7159394
"N","2019","leached","crop",18991769.5379968,6362471.07893419
"N","2019","leached","manure",36325641.124875,12023737.6370052
