"nutrient","year","process_type","category_type","before_exclusion_sum","after_exclusion_sum"
"N","2018","volt","crop_manure",85335356.8818597,491072.415940863
"N","2018","volt","crop",16091848.4157853,95584.1071228821
"N","2018","volt","manure",69243508.4660745,395488.308817981
