"rgn_id","rgn_type","type_w_ant","rgn_ant_id","rgn_name","mean","year"
1,"eez","eez",1,"Cocos Islands",NA,"2016"
2,"eez","eez",2,"Christmas Island",NA,"2016"
3,"eez","eez",3,"Norfolk Island",NA,"2016"
4,"eez","eez",4,"Macquarie Island",NA,"2016"
5,"eez","eez",5,"New Caledonia",0.00112550519091705,"2016"
6,"eez","eez",6,"Vanuatu",0.00202003777664293,"2016"
7,"eez","eez",7,"Solomon Islands",0.000442978380869962,"2016"
8,"eez","eez",8,"Palau",5.21208683991364e-05,"2016"
9,"eez","eez",9,"Micronesia",0.00168984967097906,"2016"
10,"eez","eez",10,"Nauru",3.39529882313474e-06,"2016"
11,"eez","eez",11,"Marshall Islands",NA,"2016"
12,"eez","eez",12,"Wake Island",NA,"2016"
13,"eez","eez",13,"Northern Mariana Islands and Guam",0.000143806994690002,"2016"
14,"eez","eez",14,"Taiwan",0.0476773051456853,"2016"
15,"eez","eez",15,"Philippines",0.0172481353840259,"2016"
16,"eez","eez",16,"Australia",0.0140363149553631,"2016"
17,"eez","eez",17,"Papua New Guinea",0.00297862443453754,"2016"
18,"eez","eez",18,"Fiji",0.010666457019443,"2016"
19,"eez","eez",19,"Tuvalu",NA,"2016"
20,"eez","eez",20,"South Korea",0.0294997435247379,"2016"
21,"eez","eez",21,"North Korea",0.0478805729858219,"2016"
24,"eez","eez",24,"Cambodia",0.00546429196863939,"2016"
25,"eez","eez",25,"Thailand",0.0307545447893467,"2016"
26,"eez","eez",26,"Andaman and Nicobar",0.000729470869438986,"2016"
28,"eez","eez",28,"Comoro Islands",0.000414316749563176,"2016"
29,"eez","eez",29,"Mayotte",0.010466568186288,"2016"
30,"eez","eez",30,"Glorioso Islands",NA,"2016"
31,"eez","eez",31,"Seychelles",0.0136625588421752,"2016"
32,"eez","eez",32,"Reunion",NA,"2016"
33,"eez","eez",33,"Juan de Nova Island",NA,"2016"
34,"eez","eez",34,"Bassas da India",NA,"2016"
35,"eez","eez",35,"Ile Europa",NA,"2016"
