comname,sciname,ico_gl,ico_rgn_id
Puff Adder,Bitis arietans,FALSE,102
Puff Adder,Bitis arietans,FALSE,101
Puff Adder,Bitis arietans,FALSE,99
Puff Adder,Bitis arietans,FALSE,30
Puff Adder,Bitis arietans,FALSE,100
Puff Adder,Bitis arietans,FALSE,31
Puff Adder,Bitis arietans,FALSE,33
Puff Adder,Bitis arietans,FALSE,56
Puff Adder,Bitis arietans,FALSE,43
Puff Adder,Bitis arietans,FALSE,98
Puff Adder,Bitis arietans,FALSE,32
Puff Adder,Bitis arietans,FALSE,46
Puff Adder,Bitis arietans,FALSE,29
Puff Adder,Bitis arietans,FALSE,202
Puff Adder,Bitis arietans,FALSE,198
Puff Adder,Bitis arietans,FALSE,199
Puff Adder,Bitis arietans,FALSE,200
Puff Adder,Bitis arietans,FALSE,97
Puff Adder,Bitis arietans,FALSE,197
Puff Adder,Bitis arietans,FALSE,84
Puff Adder,Bitis arietans,FALSE,28
Puff Adder,Bitis arietans,FALSE,45
Puff Adder,Bitis arietans,FALSE,196
Puff Adder,Bitis arietans,FALSE,65
Puff Adder,Bitis arietans,FALSE,44
Puff Adder,Bitis arietans,FALSE,96
Puff Adder,Bitis arietans,FALSE,49
Puff Adder,Bitis arietans,FALSE,42
Puff Adder,Bitis arietans,FALSE,61
Puff Adder,Bitis arietans,FALSE,214
Puff Adder,Bitis arietans,FALSE,67
Puff Adder,Bitis arietans,FALSE,64
Puff Adder,Bitis arietans,FALSE,106
Puff Adder,Bitis arietans,FALSE,35
Puff Adder,Bitis arietans,FALSE,103
Puff Adder,Bitis arietans,FALSE,195
Puff Adder,Bitis arietans,FALSE,41
Puff Adder,Bitis arietans,FALSE,66
Puff Adder,Bitis arietans,FALSE,193
Puff Adder,Bitis arietans,FALSE,62
Puff Adder,Bitis arietans,FALSE,36
Puff Adder,Bitis arietans,FALSE,37
Puff Adder,Bitis arietans,FALSE,63
Puff Adder,Bitis arietans,FALSE,194
Puff Adder,Bitis arietans,FALSE,104
