rgn_id,year,habitat,km2
1,1986,tidal flat,0
1,1989,tidal flat,0
1,1992,tidal flat,0
1,1995,tidal flat,0
1,1998,tidal flat,0
1,2001,tidal flat,54.193501472473145
1,2004,tidal flat,0
1,2007,tidal flat,0
1,2010,tidal flat,0
1,2013,tidal flat,0
1,2016,tidal flat,0
2,1986,tidal flat,NA
2,1989,tidal flat,NA
2,1992,tidal flat,NA
2,1995,tidal flat,NA
2,1998,tidal flat,NA
2,2001,tidal flat,NA
2,2004,tidal flat,NA
2,2007,tidal flat,NA
2,2010,tidal flat,NA
2,2013,tidal flat,NA
2,2016,tidal flat,NA
3,1986,tidal flat,NA
3,1989,tidal flat,NA
3,1992,tidal flat,NA
3,1995,tidal flat,NA
3,1998,tidal flat,NA
3,2001,tidal flat,NA
3,2004,tidal flat,NA
3,2007,tidal flat,NA
3,2010,tidal flat,NA
3,2013,tidal flat,NA
3,2016,tidal flat,NA
4,1986,tidal flat,0
4,1989,tidal flat,0
4,1992,tidal flat,0
4,1995,tidal flat,0
4,1998,tidal flat,0
4,2001,tidal flat,0.10620000213384628
4,2004,tidal flat,0
4,2007,tidal flat,0
4,2010,tidal flat,0
4,2013,tidal flat,0
4,2016,tidal flat,0
5,1986,tidal flat,0
5,1989,tidal flat,51.71669864654541
5,1992,tidal flat,8.599499940872192
5,1995,tidal flat,0
5,1998,tidal flat,0
5,2001,tidal flat,51.89669990539551
5,2004,tidal flat,104.95530319213869
5,2007,tidal flat,20.56139987707138
5,2010,tidal flat,19.519199073314667
5,2013,tidal flat,150.4917030334473
5,2016,tidal flat,92.94659805297852
6,1986,tidal flat,0
6,1989,tidal flat,0
6,1992,tidal flat,28.44450092315674
6,1995,tidal flat,0
6,1998,tidal flat,0
6,2001,tidal flat,47.44889831542969
6,2004,tidal flat,37.85309982299805
6,2007,tidal flat,20.10599994659424
6,2010,tidal flat,23.737500190734863
6,2013,tidal flat,122.71859812736511
6,2016,tidal flat,153.51029992103577
7,1986,tidal flat,0
7,1989,tidal flat,0
7,1992,tidal flat,0
7,1995,tidal flat,0
7,1998,tidal flat,0
7,2001,tidal flat,0
7,2004,tidal flat,0
7,2007,tidal flat,0
7,2010,tidal flat,0
7,2013,tidal flat,0
7,2016,tidal flat,263.1285820007324
8,1986,tidal flat,0
8,1989,tidal flat,0
8,1992,tidal flat,0
8,1995,tidal flat,0
8,1998,tidal flat,0
8,2001,tidal flat,45.61559867858887
8,2004,tidal flat,14.168699502944946
8,2007,tidal flat,36.769500732421875
8,2010,tidal flat,30.326400756835938
8,2013,tidal flat,22.652999877929688
8,2016,tidal flat,41.93639945983887
9,1986,tidal flat,0
9,1989,tidal flat,0
9,1992,tidal flat,0
9,1995,tidal flat,0
9,1998,tidal flat,0
9,2001,tidal flat,0
9,2004,tidal flat,0
9,2007,tidal flat,0
9,2010,tidal flat,0
9,2013,tidal flat,0
9,2016,tidal flat,33.78059959411621
10,1986,tidal flat,NA
10,1989,tidal flat,NA
10,1992,tidal flat,NA
10,1995,tidal flat,NA
10,1998,tidal flat,NA
10,2001,tidal flat,NA
10,2004,tidal flat,NA
10,2007,tidal flat,NA
10,2010,tidal flat,NA
