"zone","uv_2005_2009.2005_2009_mol_1km","uv_2006_2010.2005_2009_mol_1km","uv_2007_2011.2005_2009_mol_1km","uv_2008_2012.2005_2009_mol_1km","uv_2009_2013.2005_2009_mol_1km","uv_2010_2014.2005_2009_mol_1km","uv_2011_2015.2005_2009_mol_1km","uv_2012_2016.2005_2009_mol_1km","uv_2013_2017.2005_2009_mol_1km","uv_2014_2018.2005_2009_mol_1km","uv_2015_2019.2005_2009_mol_1km","uv_2016_2020.2005_2009_mol_1km","uv_2017_2021.2005_2009_mol_1km","uv_2018_2022.2005_2009_mol_1km","uv_2019_2023.2005_2009_mol_1km"
1,0,0.0271700728323014,0.000943062686615627,0.00399136045470988,0.000197730825051621,0,0.00165945913429935,0.0140262311784489,0.0061961221655661,0.00183537026336132,0.0627724520104202,0.0414154452084656,0.0171114299562779,0.0332255792049554,0.00560991945375186
2,0,0.0192265525168982,0.00190809655698249,0,0,0,0,0.00721930858935069,0,0.000394016140191137,0.00994548754086867,0.00520823406345081,0.00364167791722474,0.0141550689136051,0
3,0,0.0221346970274693,0,0,0.00225097161759851,0.000102906253416051,0.00332129243491509,0.0782987267741842,0.134263786000844,0.0662449765282316,0.148363586572737,0.209937752195304,0.0785673834721645,0.0790899896249907,0.046189922740378
4,0,0.0525788305348661,0.112266659823371,0.12556638327211,0.165247073760332,0.101363128817476,0.150199875124737,0.14517253508272,0.132847115420122,0.0988268785566501,0.182476311042591,0.228583491073413,0.292262161547755,0.474376570649802,0.576786570799934
5,0,0.0311661800245907,0.00021950081975373,0.000258962611503319,0.00490684059822926,0.0057273241996239,0.0176359451067067,0.200187876397292,0.241795253264046,0.143988921351785,0.237827053616584,0.166145874602788,0.00947126168499456,0.0110264836708679,0.0031195215222094
6,0,0.0463361528026678,0.00182214685086877,8.70773934585069e-05,0.00388120801748874,0.0080510860289324,0.0270890720870971,0.309700444242687,0.294400711948454,0.282912353766496,0.384480868138218,0.274285617861797,0.024571067902231,0.0840156316301925,0.0370072961131557
7,0,0.0529202898635669,0.100036538389112,0.109063622912624,0.097345432145931,0.0720134115400579,0.0454765692916299,0.149744300025479,0.114296279071519,0.124168810306887,0.190778844205047,0.16782456863676,0.0581667552971648,0.175661929538018,0.0990337289516645
8,0,0.0521899698272049,0.0366882628701197,0.0129373629851569,0.0115442945082356,0.00797273126792959,0.00913439235718323,0.0737376695624678,0.0828446542120926,0.230322305454061,0.279489059201689,0.224812515316425,0.136023442430445,0.074097693204957,0.0212102397109618
9,0,0.0585924579147062,0.0620895270193187,0.0518904760274491,0.0488120753632779,0.0439725878508438,0.0282965380304252,0.102075892187137,0.0980372749853494,0.202225739308965,0.212679314431686,0.206651266205857,0.12534371539842,0.0928901218125697,0.0477952808694095
10,0,0.0340978967475253,0.0871867584818871,0.0230082524219937,0.00942175604692565,0.0103282593895995,0.00322497180521767,0.00101259031407566,0.00512929170778916,0.0494217198843003,0.0311060207466897,0.0700934416443054,0.223481932663477,0.293325173426853,0.088630559272323
