iucn_sid,iucn_rgn,pop_trend,iucn_version
224,europe,increasing,2022-1
225,europe,decreasing,2022-1
229,europe,decreasing,2022-1
230,europe,decreasing,2022-1
232,europe,decreasing,2022-1
235,europe,decreasing,2022-1
907,europe,decreasing,2022-1
2352,mediterranean,stable,2022-1
2352,europe,unknown,2022-1
2467,europe,unknown,2022-1
2474,europe,unknown,2022-1
2475,europe,unknown,2022-1
2477,europe,unknown,2022-1
2478,mediterranean,decreasing,2022-1
2478,europe,unknown,2022-1
2539,europe,unknown,2022-1
3851,mediterranean,unknown,2022-1
3851,europe,unknown,2022-1
3852,mediterranean,unknown,2022-1
3852,europe,unknown,2022-1
3853,mediterranean,decreasing,2022-1
3853,europe,decreasing,2022-1
3854,mediterranean,decreasing,2022-1
3854,europe,decreasing,2022-1
3855,mediterranean,decreasing,2022-1
3855,europe,decreasing,2022-1
4292,mediterranean,decreasing,2022-1
4292,europe,stable,2022-1
5675,pan-africa,unknown,2022-1
5675,southern_africa,unknown,2022-1
6204,europe,unknown,2022-1
6229,mediterranean,decreasing,2022-1
6229,europe,decreasing,2022-1
6335,europe,unknown,2022-1
7135,eastern_africa,unknown,2022-1
7135,pan-africa,unknown,2022-1
7135,southern_africa,unknown,2022-1
7859,mediterranean,decreasing,2022-1
7859,europe,decreasing,2022-1
8010,europe,unknown,2022-1
8097,europe,NA,2022-1
8262,mediterranean,decreasing,2022-1
8784,europe,increasing,2022-1
8951,europe,unknown,2022-1
9250,mediterranean,unknown,2022-1
9250,europe,unknown,2022-1
9266,eastern_africa,unknown,2022-1
9266,pan-africa,unknown,2022-1
9461,mediterranean,unknown,2022-1
9461,europe,unknown,2022-1
9660,europe,increasing,2022-1
10030,mediterranean,stable,2022-1
10030,europe,stable,2022-1
10066,europe,unknown,2022-1
10069,mediterranean,decreasing,2022-1
10069,europe,unknown,2022-1
10097,europe,stable,2022-1
10269,europe,decreasing,2022-1
10707,europe,unknown,2022-1
11030,mediterranean,unknown,2022-1
11030,europe,unknown,2022-1
11047,europe,unknown,2022-1
11048,europe,unknown,2022-1
11140,europe,unknown,2022-1
11141,europe,stable,2022-1
11142,europe,stable,2022-1
11200,mediterranean,decreasing,2022-1
11200,europe,decreasing,2022-1
12419,mediterranean,decreasing,2022-1
12419,europe,unknown,2022-1
13006,europe,increasing,2022-1
13045,europe,unknown,2022-1
13232,mediterranean,unknown,2022-1
13232,europe,unknown,2022-1
13241,europe,unknown,2022-1
13244,europe,unknown,2022-1
13245,europe,unknown,2022-1
13250,europe,unknown,2022-1
13273,europe,unknown,2022-1
13653,mediterranean,decreasing,2022-1
13653,europe,unknown,2022-1
13704,europe,unknown,2022-1
14054,mediterranean,unknown,2022-1
14054,europe,unknown,2022-1
14264,pan-africa,decreasing,2022-1
14264,southern_africa,decreasing,2022-1
15106,europe,unknown,2022-1
15421,europe,unknown,2022-1
15873,mediterranean,stable,2022-1
15873,europe,unknown,2022-1
16012,eastern_africa,unknown,2022-1
16564,europe,unknown,2022-1
16781,europe,unknown,2022-1
17013,europe,unknown,2022-1
17027,europe,decreasing,2022-1
18175,central_africa,unknown,2022-1
18175,mediterranean,decreasing,2022-1
18175,europe,decreasing,2022-1
18376,europe,unknown,2022-1
18596,europe,unknown,2022-1
18878,europe,unknown,2022-1
19387,pan-africa,unknown,2022-1
19855,europe,decreasing,2022-1
20731,mediterranean,unknown,2022-1
20731,europe,unknown,2022-1
20738,europe,unknown,2022-1
21257,mediterranean,unknown,2022-1
21257,europe,unknown,2022-1
21856,mediterranean,stable,2022-1
21856,europe,decreasing,2022-1
21860,mediterranean,decreasing,2022-1
21860,europe,decreasing,2022-1
21860,europe,decreasing,2022-1
22563,mediterranean,decreasing,2022-1
22563,europe,decreasing,2022-1
22823,europe,decreasing,2022-1
23148,mediterranean,decreasing,2022-1
23148,europe,decreasing,2022-1
23211,mediterranean,unknown,2022-1
23211,europe,unknown,2022-1
23259,mediterranean,unknown,2022-1
23259,europe,stable,2022-1
39332,mediterranean,decreasing,2022-1
39332,europe,decreasing,2022-1
39336,europe,unknown,2022-1
39339,mediterranean,decreasing,2022-1
39339,europe,decreasing,2022-1
39341,mediterranean,decreasing,2022-1
39341,europe,unknown,2022-1
39352,mediterranean,decreasing,2022-1
39352,europe,decreasing,2022-1
39357,mediterranean,decreasing,2022-1
39357,europe,stable,2022-1
39358,mediterranean,decreasing,2022-1
39358,europe,decreasing,2022-1
39370,europe,unknown,2022-1
39374,europe,decreasing,2022-1
39378,europe,unknown,2022-1
39381,mediterranean,decreasing,2022-1
39381,europe,decreasing,2022-1
39385,europe,decreasing,2022-1
39386,europe,decreasing,2022-1
39388,mediterranean,decreasing,2022-1
39388,europe,decreasing,2022-1
39399,mediterranean,decreasing,2022-1
39399,europe,stable,2022-1
39400,europe,stable,2022-1
39414,western_africa,unknown,2022-1
39414,central_africa,unknown,2022-1
40710,europe,unknown,2022-1
41006,mediterranean,decreasing,2022-1
41006,europe,unknown,2022-1
41671,europe,unknown,2022-1
41672,europe,increasing,2022-1
41712,europe,unknown,2022-1
41741,mediterranean,unknown,2022-1
41741,europe,unknown,2022-1
41745,europe,decreasing,2022-1
41747,mediterranean,stable,2022-1
41747,europe,decreasing,2022-1
41755,mediterranean,decreasing,2022-1
41755,europe,unknown,2022-1
41762,mediterranean,decreasing,2022-1
41794,europe,unknown,2022-1
41798,europe,increasing,2022-1
41801,mediterranean,decreasing,2022-1
41801,europe,decreasing,2022-1
41823,mediterranean,unknown,2022-1
41823,europe,unknown,2022-1
41830,europe,stable,2022-1
41871,europe,decreasing,2022-1
41876,mediterranean,decreasing,2022-1
41876,europe,decreasing,2022-1
42700,europe,unknown,2022-1
43972,mediterranean,unknown,2022-1
43972,europe,decreasing,2022-1
44207,europe,unknown,2022-1
44216,europe,unknown,2022-1
44565,europe,stable,2022-1
44566,europe,unknown,2022-1
44599,europe,unknown,2022-1
44657,europe,unknown,2022-1
46864,europe,stable,2022-1
60127,mediterranean,decreasing,2022-1
60127,europe,decreasing,2022-1
60139,europe,unknown,2022-1
60140,europe,stable,2022-1
60145,europe,unknown,2022-1
60212,europe,stable,2022-1
60213,europe,decreasing,2022-1
60214,europe,unknown,2022-1
60215,europe,unknown,2022-1
60225,mediterranean,unknown,2022-1
60225,europe,unknown,2022-1
60242,europe,stable,2022-1
60344,northern_africa,decreasing,2022-1
60344,europe,decreasing,2022-1
60447,pan-africa,unknown,2022-1
60447,southern_africa,unknown,2022-1
61213,pan-africa,unknown,2022-1
61405,mediterranean,decreasing,2022-1
61405,europe,decreasing,2022-1
61408,mediterranean,decreasing,2022-1
61408,europe,decreasing,2022-1
61417,mediterranean,decreasing,2022-1
61417,europe,decreasing,2022-1
61418,mediterranean,decreasing,2022-1
61418,europe,decreasing,2022-1
62256,europe,unknown,2022-1
63100,mediterranean,decreasing,2022-1
63100,europe,decreasing,2022-1
63103,europe,stable,2022-1
63104,europe,stable,2022-1
63114,mediterranean,unknown,2022-1
63114,europe,unknown,2022-1
63115,europe,unknown,2022-1
63119,europe,unknown,2022-1
63120,mediterranean,decreasing,2022-1
63120,europe,decreasing,2022-1
63123,europe,unknown,2022-1
63125,europe,stable,2022-1
63126,europe,stable,2022-1
63127,europe,unknown,2022-1
63131,mediterranean,decreasing,2022-1
63131,europe,decreasing,2022-1
63141,mediterranean,decreasing,2022-1
63141,europe,decreasing,2022-1
63146,mediterranean,stable,2022-1
63146,europe,stable,2022-1
63149,mediterranean,decreasing,2022-1
63149,europe,decreasing,2022-1
63153,mediterranean,decreasing,2022-1
63153,europe,decreasing,2022-1
63361,pan-africa,unknown,2022-1
63442,pan-africa,unknown,2022-1
63442,southern_africa,unknown,2022-1
64409,europe,decreasing,2022-1
132722,mediterranean,decreasing,2022-1
132722,europe,decreasing,2022-1
132762,mediterranean,unknown,2022-1
132762,europe,unknown,2022-1
132796,mediterranean,unknown,2022-1
132796,europe,unknown,2022-1
132828,mediterranean,unknown,2022-1
132828,europe,unknown,2022-1
133085,mediterranean,stable,2022-1
133135,mediterranean,stable,2022-1
133142,mediterranean,decreasing,2022-1
133511,mediterranean,increasing,2022-1
135509,europe,unknown,2022-1
135525,mediterranean,decreasing,2022-1
135525,europe,unknown,2022-1
135526,europe,unknown,2022-1
135548,europe,unknown,2022-1
135567,eastern_africa,unknown,2022-1
135567,western_africa,unknown,2022-1
135567,mediterranean,stable,2022-1
135567,europe,unknown,2022-1
135574,europe,unknown,2022-1
135579,mediterranean,stable,2022-1
135579,europe,unknown,2022-1
135606,mediterranean,decreasing,2022-1
135606,europe,decreasing,2022-1
135612,europe,unknown,2022-1
135622,europe,unknown,2022-1
135644,europe,unknown,2022-1
135654,europe,unknown,2022-1
135656,europe,unknown,2022-1
135681,mediterranean,stable,2022-1
135681,europe,unknown,2022-1
135682,europe,unknown,2022-1
135689,western_africa,unknown,2022-1
135689,mediterranean,stable,2022-1
135689,europe,unknown,2022-1
135690,mediterranean,decreasing,2022-1
135690,europe,increasing,2022-1
135707,europe,unknown,2022-1
135714,mediterranean,stable,2022-1
135714,europe,unknown,2022-1
135717,mediterranean,decreasing,2022-1
135717,europe,unknown,2022-1
135719,europe,unknown,2022-1
153534,mediterranean,decreasing,2022-1
153534,mediterranean,decreasing,2022-1
153535,mediterranean,stable,2022-1
153538,mediterranean,decreasing,2022-1
154613,europe,unknown,2022-1
154644,europe,unknown,2022-1
154647,mediterranean,unknown,2022-1
154668,europe,unknown,2022-1
154687,mediterranean,unknown,2022-1
154687,europe,unknown,2022-1
154708,mediterranean,unknown,2022-1
154708,europe,decreasing,2022-1
154712,mediterranean,unknown,2022-1
154712,europe,stable,2022-1
154729,mediterranean,unknown,2022-1
154729,europe,stable,2022-1
154753,mediterranean,unknown,2022-1
154753,europe,unknown,2022-1
154798,europe,unknown,2022-1
154801,europe,unknown,2022-1
154807,mediterranean,stable,2022-1
154807,europe,increasing,2022-1
154816,europe,decreasing,2022-1
154820,mediterranean,unknown,2022-1
154820,europe,unknown,2022-1
154838,europe,unknown,2022-1
154844,europe,unknown,2022-1
154855,eastern_africa,unknown,2022-1
154855,pan-africa,unknown,2022-1
154880,europe,unknown,2022-1
154916,europe,unknown,2022-1
154929,mediterranean,unknown,2022-1
154929,europe,unknown,2022-1
154972,europe,stable,2022-1
154981,europe,unknown,2022-1
154995,mediterranean,unknown,2022-1
154995,europe,stable,2022-1
154997,europe,unknown,2022-1
154998,mediterranean,unknown,2022-1
154998,europe,unknown,2022-1
155013,europe,stable,2022-1
155030,mediterranean,unknown,2022-1
155030,europe,decreasing,2022-1
155044,mediterranean,unknown,2022-1
155044,europe,unknown,2022-1
155068,mediterranean,unknown,2022-1
155068,europe,stable,2022-1
155075,europe,unknown,2022-1
155081,europe,unknown,2022-1
155093,europe,unknown,2022-1
155096,mediterranean,stable,2022-1
155096,europe,stable,2022-1
155104,europe,unknown,2022-1
155106,europe,unknown,2022-1
155123,europe,increasing,2022-1
155125,europe,unknown,2022-1
155132,europe,unknown,2022-1
155169,europe,unknown,2022-1
155182,mediterranean,unknown,2022-1
155182,europe,unknown,2022-1
155189,europe,unknown,2022-1
155190,europe,unknown,2022-1
155201,eastern_africa,unknown,2022-1
155204,europe,unknown,2022-1
155213,mediterranean,unknown,2022-1
155213,europe,unknown,2022-1
155214,mediterranean,unknown,2022-1
155214,europe,stable,2022-1
155215,mediterranean,unknown,2022-1
155215,europe,unknown,2022-1
155225,mediterranean,unknown,2022-1
155225,europe,unknown,2022-1
155226,europe,unknown,2022-1
155227,europe,unknown,2022-1
155246,europe,stable,2022-1
155282,mediterranean,unknown,2022-1
155282,europe,stable,2022-1
155318,mediterranean,unknown,2022-1
155318,europe,unknown,2022-1
155474,europe,unknown,2022-1
155535,mediterranean,unknown,2022-1
155552,mediterranean,unknown,2022-1
155552,europe,unknown,2022-1
155597,mediterranean,unknown,2022-1
155597,europe,unknown,2022-1
155610,europe,unknown,2022-1
155630,europe,unknown,2022-1
155835,europe,stable,2022-1
155843,mediterranean,unknown,2022-1
155843,europe,unknown,2022-1
155980,mediterranean,increasing,2022-1
155980,europe,increasing,2022-1
156018,mediterranean,unknown,2022-1
156018,europe,unknown,2022-1
161328,mediterranean,stable,2022-1
161328,europe,stable,2022-1
161339,mediterranean,decreasing,2022-1
161339,europe,decreasing,2022-1
161345,europe,stable,2022-1
161361,europe,unknown,2022-1
161366,europe,stable,2022-1
161371,europe,unknown,2022-1
161377,europe,stable,2022-1
161383,europe,unknown,2022-1
161388,mediterranean,stable,2022-1
161388,europe,stable,2022-1
161397,mediterranean,decreasing,2022-1
161397,europe,decreasing,2022-1
161398,mediterranean,stable,2022-1
161398,europe,stable,2022-1
161425,mediterranean,decreasing,2022-1
161425,europe,unknown,2022-1
161432,mediterranean,unknown,2022-1
161432,europe,unknown,2022-1
161443,europe,unknown,2022-1
161453,mediterranean,decreasing,2022-1
161453,europe,decreasing,2022-1
161459,europe,decreasing,2022-1
161461,mediterranean,decreasing,2022-1
161461,europe,decreasing,2022-1
161463,mediterranean,decreasing,2022-1
161463,europe,decreasing,2022-1
161464,mediterranean,decreasing,2022-1
161464,europe,decreasing,2022-1
161475,europe,unknown,2022-1
161484,mediterranean,decreasing,2022-1
161484,europe,decreasing,2022-1
161485,mediterranean,decreasing,2022-1
161485,europe,decreasing,2022-1
161491,europe,stable,2022-1
161513,mediterranean,unknown,2022-1
161513,europe,unknown,2022-1
161521,europe,stable,2022-1
161542,europe,stable,2022-1
161551,europe,unknown,2022-1
161564,mediterranean,unknown,2022-1
161564,europe,unknown,2022-1
161569,mediterranean,decreasing,2022-1
161569,europe,decreasing,2022-1
161583,europe,unknown,2022-1
161622,europe,stable,2022-1
161626,mediterranean,decreasing,2022-1
161626,europe,unknown,2022-1
161666,europe,stable,2022-1
161673,mediterranean,unknown,2022-1
161673,europe,unknown,2022-1
161691,mediterranean,decreasing,2022-1
161691,europe,decreasing,2022-1
161696,mediterranean,decreasing,2022-1
161696,europe,decreasing,2022-1
161705,europe,stable,2022-1
161717,europe,increasing,2022-1
161729,europe,decreasing,2022-1
161731,mediterranean,unknown,2022-1
161731,europe,unknown,2022-1
161748,mediterranean,unknown,2022-1
161748,europe,unknown,2022-1
164280,pan-africa,unknown,2022-1
164280,europe,stable,2022-1
164508,pan-africa,decreasing,2022-1
164508,mediterranean,decreasing,2022-1
164508,europe,stable,2022-1
164513,pan-africa,stable,2022-1
164513,mediterranean,stable,2022-1
165769,western_africa,unknown,2022-1
165769,central_africa,unknown,2022-1
165769,pan-africa,unknown,2022-1
165769,southern_africa,unknown,2022-1
165778,pan-africa,unknown,2022-1
165778,southern_africa,unknown,2022-1
165780,western_africa,unknown,2022-1
165780,central_africa,unknown,2022-1
165780,pan-africa,unknown,2022-1
165780,southern_africa,unknown,2022-1
165788,western_africa,unknown,2022-1
165788,central_africa,unknown,2022-1
165788,pan-africa,unknown,2022-1
165788,southern_africa,unknown,2022-1
165803,western_africa,unknown,2022-1
165803,central_africa,unknown,2022-1
165803,pan-africa,unknown,2022-1
165803,southern_africa,stable,2022-1
165811,pan-africa,unknown,2022-1
165811,southern_africa,unknown,2022-1
166077,eastern_africa,unknown,2022-1
166077,pan-africa,unknown,2022-1
166077,southern_africa,unknown,2022-1
166189,pan-africa,NA,2022-1
166189,southern_africa,unknown,2022-1
166533,eastern_africa,unknown,2022-1
166533,pan-africa,unknown,2022-1
166533,southern_africa,unknown,2022-1
166552,eastern_africa,unknown,2022-1
166552,pan-africa,unknown,2022-1
166856,eastern_africa,unknown,2022-1
166856,pan-africa,unknown,2022-1
166868,eastern_africa,unknown,2022-1
166868,pan-africa,unknown,2022-1
166892,eastern_africa,unknown,2022-1
166925,northern_africa,unknown,2022-1
167944,western_africa,unknown,2022-1
167944,central_africa,unknown,2022-1
167944,pan-africa,unknown,2022-1
167944,southern_africa,unknown,2022-1
167946,western_africa,decreasing,2022-1
167946,central_africa,unknown,2022-1
167946,pan-africa,unknown,2022-1
167997,western_africa,unknown,2022-1
167997,central_africa,unknown,2022-1
167997,pan-africa,unknown,2022-1
167997,southern_africa,unknown,2022-1
168000,western_africa,unknown,2022-1
168000,central_africa,unknown,2022-1
168000,pan-africa,decreasing,2022-1
169361,eastern_africa,unknown,2022-1
169361,southern_africa,unknown,2022-1
170155,europe,stable,2022-1
170159,mediterranean,unknown,2022-1
170159,europe,unknown,2022-1
170160,mediterranean,stable,2022-1
170160,europe,stable,2022-1
170162,europe,unknown,2022-1
170166,mediterranean,unknown,2022-1
170166,europe,unknown,2022-1
170169,mediterranean,stable,2022-1
170169,europe,stable,2022-1
170186,mediterranean,unknown,2022-1
170186,europe,unknown,2022-1
170197,mediterranean,decreasing,2022-1
170197,europe,unknown,2022-1
170220,mediterranean,unknown,2022-1
170220,europe,unknown,2022-1
170222,europe,unknown,2022-1
170224,mediterranean,stable,2022-1
170224,europe,unknown,2022-1
170229,mediterranean,stable,2022-1
170229,europe,unknown,2022-1
170232,mediterranean,unknown,2022-1
170232,europe,unknown,2022-1
170244,mediterranean,stable,2022-1
170244,europe,decreasing,2022-1
170245,mediterranean,decreasing,2022-1
170245,europe,decreasing,2022-1
170251,mediterranean,stable,2022-1
170251,europe,stable,2022-1
170253,mediterranean,stable,2022-1
170253,europe,stable,2022-1
170258,mediterranean,stable,2022-1
170258,europe,unknown,2022-1
170260,mediterranean,stable,2022-1
170260,europe,stable,2022-1
170261,mediterranean,stable,2022-1
170261,europe,unknown,2022-1
170262,mediterranean,stable,2022-1
170262,europe,unknown,2022-1
170280,mediterranean,decreasing,2022-1
170280,europe,unknown,2022-1
170283,mediterranean,decreasing,2022-1
170283,europe,unknown,2022-1
170284,mediterranean,unknown,2022-1
170284,europe,unknown,2022-1
170310,mediterranean,stable,2022-1
170310,europe,stable,2022-1
170319,mediterranean,stable,2022-1
170319,europe,decreasing,2022-1
170322,mediterranean,unknown,2022-1
170326,mediterranean,unknown,2022-1
170326,europe,unknown,2022-1
170331,mediterranean,increasing,2022-1
170331,europe,stable,2022-1
170333,europe,unknown,2022-1
170334,mediterranean,stable,2022-1
170334,europe,stable,2022-1
170344,mediterranean,stable,2022-1
170345,mediterranean,stable,2022-1
170345,europe,stable,2022-1
170350,mediterranean,unknown,2022-1
170350,europe,stable,2022-1
170354,mediterranean,increasing,2022-1
170354,europe,increasing,2022-1
170355,mediterranean,stable,2022-1
170355,europe,stable,2022-1
170357,mediterranean,decreasing,2022-1
170357,europe,unknown,2022-1
170600,europe,unknown,2022-1
170603,europe,stable,2022-1
170605,europe,unknown,2022-1
172016,europe,unknown,2022-1
172321,eastern_africa,unknown,2022-1
173361,mediterranean,decreasing,2022-1
175136,western_africa,unknown,2022-1
175136,central_africa,unknown,2022-1
175136,pan-africa,unknown,2022-1
175138,western_africa,unknown,2022-1
175138,central_africa,unknown,2022-1
175138,pan-africa,unknown,2022-1
175139,western_africa,unknown,2022-1
175140,western_africa,unknown,2022-1
175140,pan-africa,unknown,2022-1
178023,europe,increasing,2022-1
179034,europe,stable,2022-1
181000,pan-africa,unknown,2022-1
181000,southern_africa,unknown,2022-1
181550,northern_africa,unknown,2022-1
181550,central_africa,unknown,2022-1
181550,pan-africa,unknown,2022-1
181567,western_africa,unknown,2022-1
181567,central_africa,unknown,2022-1
181567,pan-africa,unknown,2022-1
181567,southern_africa,unknown,2022-1
181577,western_africa,unknown,2022-1
181577,central_africa,unknown,2022-1
181577,pan-africa,unknown,2022-1
181577,southern_africa,unknown,2022-1
181797,western_africa,unknown,2022-1
181797,central_africa,unknown,2022-1
181797,pan-africa,unknown,2022-1
181933,western_africa,unknown,2022-1
181933,central_africa,unknown,2022-1
181933,pan-africa,unknown,2022-1
181943,western_africa,unknown,2022-1
181943,pan-africa,unknown,2022-1
181984,western_africa,unknown,2022-1
181984,pan-africa,unknown,2022-1
182093,western_africa,unknown,2022-1
182093,pan-africa,unknown,2022-1
182223,western_africa,unknown,2022-1
182223,northern_africa,unknown,2022-1
182223,central_africa,unknown,2022-1
182223,pan-africa,unknown,2022-1
182223,southern_africa,unknown,2022-1
182239,western_africa,unknown,2022-1
182239,central_africa,unknown,2022-1
182239,pan-africa,unknown,2022-1
182239,southern_africa,unknown,2022-1
182285,western_africa,unknown,2022-1
182285,central_africa,unknown,2022-1
182285,pan-africa,unknown,2022-1
182330,western_africa,unknown,2022-1
182330,central_africa,unknown,2022-1
182330,pan-africa,unknown,2022-1
182363,western_africa,unknown,2022-1
182363,central_africa,unknown,2022-1
182363,pan-africa,unknown,2022-1
182498,central_africa,unknown,2022-1
182498,pan-africa,unknown,2022-1
182549,central_africa,unknown,2022-1
182549,pan-africa,unknown,2022-1
182611,western_africa,unknown,2022-1
182611,central_africa,unknown,2022-1
182611,pan-africa,unknown,2022-1
182622,western_africa,unknown,2022-1
182622,pan-africa,unknown,2022-1
182712,central_africa,unknown,2022-1
182712,pan-africa,unknown,2022-1
182779,western_africa,unknown,2022-1
182779,pan-africa,unknown,2022-1
182807,western_africa,unknown,2022-1
182807,central_africa,unknown,2022-1
182807,pan-africa,unknown,2022-1
182905,western_africa,unknown,2022-1
182905,central_africa,unknown,2022-1
182905,pan-africa,unknown,2022-1
182933,western_africa,unknown,2022-1
182933,pan-africa,unknown,2022-1
183097,western_africa,unknown,2022-1
183097,central_africa,unknown,2022-1
183097,pan-africa,unknown,2022-1
183097,southern_africa,unknown,2022-1
183152,eastern_africa,unknown,2022-1
183152,pan-africa,unknown,2022-1
183152,southern_africa,unknown,2022-1
183153,central_africa,unknown,2022-1
183153,pan-africa,unknown,2022-1
183155,eastern_africa,unknown,2022-1
183155,pan-africa,unknown,2022-1
183155,southern_africa,unknown,2022-1
183156,western_africa,unknown,2022-1
183156,central_africa,unknown,2022-1
183156,pan-africa,unknown,2022-1
183156,southern_africa,unknown,2022-1
183158,eastern_africa,unknown,2022-1
183158,pan-africa,unknown,2022-1
183160,eastern_africa,unknown,2022-1
183160,pan-africa,unknown,2022-1
183160,southern_africa,unknown,2022-1
183161,western_africa,unknown,2022-1
183161,central_africa,unknown,2022-1
183161,pan-africa,unknown,2022-1
183167,eastern_africa,unknown,2022-1
183167,pan-africa,unknown,2022-1
183169,western_africa,unknown,2022-1
183169,central_africa,unknown,2022-1
183169,pan-africa,unknown,2022-1
183169,southern_africa,unknown,2022-1
183170,western_africa,unknown,2022-1
183170,central_africa,unknown,2022-1
