iucn_sid,kingdom,phylum,class,order,family,genus,sciname,population,category
3,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ENDODONTIDAE,Aaadonta,Aaadonta angaurana,NA,CR
4,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ENDODONTIDAE,Aaadonta,Aaadonta constricta,NA,EN
5,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ENDODONTIDAE,Aaadonta,Aaadonta fuscozonata,NA,EN
6,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ENDODONTIDAE,Aaadonta,Aaadonta irregularis,NA,CR
7,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ENDODONTIDAE,Aaadonta,Aaadonta kinlochi,NA,CR
8,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ENDODONTIDAE,Aaadonta,Aaadonta pelewana,NA,CR
9,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Aaptosyax,Aaptosyax grypus,NA,CR
18,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ABROCOMIDAE,Abrocoma,Abrocoma boliviensis,NA,CR
20,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Abronia,Abronia montecristoi,NA,EN
43,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,AESHNIDAE,Acanthaeschna,Acanthaeschna victoria,NA,EN
59,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,VALLONIIDAE,Acanthinula,Acanthinula spinifera,NA,DD
73,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Mirogrex,Mirogrex hulensis,NA,EX
74,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,CHELIDAE,Acanthochelys,Acanthochelys macrocephala,NA,LR/nt
75,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,CHELIDAE,Acanthochelys,Acanthochelys pallidipectoris,NA,EN
76,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,CHELIDAE,Acanthochelys,Acanthochelys spixii,NA,LR/nt
78,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,CHELIDAE,Acanthochelys,Acanthochelys radiolata,NA,LR/nt
79,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,BALITORIDAE,Acanthocobitis,Acanthocobitis urophthalmus,NA,LR/cd
80,ANIMALIA,ARTHROPODA,MAXILLOPODA,CYCLOPOIDA,CYCLOPIDAE,Acanthocyclops,Acanthocyclops hypogeus,NA,VU
81,ANIMALIA,CHORDATA,ACTINOPTERYGII,SALMONIFORMES,SALMONIDAE,Salmo,Salmo ohridanus,NA,VU
82,ANIMALIA,ARTHROPODA,INSECTA,EPHEMEROPTERA,ACANTHAMETROPODIDAE,Acanthametropus,Acanthametropus pecatonica,NA,EX
83,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,FORMICIDAE,Acanthomyops,Acanthomyops latipes,NA,VU
137,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Acerodon,Acerodon celebensis,NA,VU
138,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Acerodon,Acerodon humilis,NA,EN
139,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Acerodon,Acerodon jubatus,NA,EN
140,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Acerodon,Acerodon leucotis,NA,VU
142,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Acerodon,Acerodon mackloti,NA,VU
161,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,XENODERMATIDAE,Achalinus,Achalinus werneri,NA,NT
166,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINIDAE,Achatina,Achatina vignoniana,NA,DD
167,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella abbreviata,NA,EX
168,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella apexfulva,NA,CR
169,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella bellula,NA,CR
170,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella buddii,NA,EX
171,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella bulimoides,NA,CR
172,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella byronii,NA,CR
173,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella caesia,NA,EX
174,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella casta,NA,EX
175,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella cestus,NA,CR
176,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella concavospira,NA,CR
