iucn_sid,pop_trend,iucn_version
222,stable,2022-1
224,increasing,2022-1
225,decreasing,2022-1
229,decreasing,2022-1
230,decreasing,2022-1
232,decreasing,2022-1
233,unknown,2022-1
234,stable,2022-1
235,decreasing,2022-1
241,decreasing,2022-1
242,decreasing,2022-1
243,increasing,2022-1
244,decreasing,2022-1
245,increasing,2022-1
249,decreasing,2022-1
678,NA,2022-1
907,decreasing,2022-1
908,decreasing,2022-1
1086,decreasing,2022-1
1308,unknown,2022-1
1615,unknown,2022-1
1793,decreasing,2022-1
1866,NA,2022-1
2055,increasing,2022-1
2057,decreasing,2022-1
2058,decreasing,2022-1
2059,increasing,2022-1
2060,increasing,2022-1
2061,increasing,2022-1
2062,stable,2022-1
2064,unknown,2022-1
2066,increasing,2022-1
2067,increasing,2022-1
2113,unknown,2022-1
2179,NA,2022-1
2181,NA,2022-1
2182,NA,2022-1
2218,NA,2022-1
2352,unknown,2022-1
2467,increasing,2022-1
2468,NA,2022-1
2469,decreasing,2022-1
2472,unknown,2022-1
2474,unknown,2022-1
2475,increasing,2022-1
2476,unknown,2022-1
2477,increasing,2022-1
2478,increasing,2022-1
2480,unknown,2022-1
2539,decreasing,2022-1
2621,unknown,2022-1
2636,unknown,2022-1
2637,NA,2022-1
2644,unknown,2022-1
2762,unknown,2022-1
2763,unknown,2022-1
2811,decreasing,2022-1
2895,unknown,2022-1
2958,decreasing,2022-1
3381,stable,2022-1
3565,NA,2022-1
3590,decreasing,2022-1
3764,unknown,2022-1
3778,unknown,2022-1
3851,decreasing,2022-1
3852,decreasing,2022-1
3853,decreasing,2022-1
3854,decreasing,2022-1
3855,decreasing,2022-1
3856,NA,2022-1
3897,decreasing,2022-1
3898,decreasing,2022-1
4131,stable,2022-1
4159,unknown,2022-1
4160,decreasing,2022-1
4161,unknown,2022-1
4162,decreasing,2022-1
4292,decreasing,2022-1
4360,stable,2022-1
4361,stable,2022-1
4362,stable,2022-1
4363,unknown,2022-1
4364,stable,2022-1
4592,decreasing,2022-1
4615,decreasing,2022-1
4805,unknown,2022-1
4982,decreasing,2022-1
5119,NA,2022-1
5216,NA,2022-1
5269,unknown,2022-1
5270,NA,2022-1
5271,NA,2022-1
5272,unknown,2022-1
5273,unknown,2022-1
5325,unknown,2022-1
5362,NA,2022-1
5486,NA,2022-1
5659,increasing,2022-1
5668,stable,2022-1
5675,unknown,2022-1
6069,NA,2022-1
6202,NA,2022-1
6203,NA,2022-1
6204,unknown,2022-1
6229,decreasing,2022-1
6335,unknown,2022-1
6494,decreasing,2022-1
6814,decreasing,2022-1
6909,decreasing,2022-1
7011,NA,2022-1
7134,unknown,2022-1
7135,unknown,2022-1
7750,decreasing,2022-1
7778,stable,2022-1
7854,decreasing,2022-1
7855,unknown,2022-1
7858,decreasing,2022-1
7859,decreasing,2022-1
7860,unknown,2022-1
7861,decreasing,2022-1
7862,decreasing,2022-1
8005,decreasing,2022-1
8010,unknown,2022-1
8012,unknown,2022-1
8013,unknown,2022-1
8097,stable,2022-1
8099,increasing,2022-1
8153,unknown,2022-1
8239,increasing,2022-1
8261,NA,2022-1
8262,NA,2022-1
8407,unknown,2022-1
8408,unknown,2022-1
8409,decreasing,2022-1
8551,unknown,2022-1
8784,NA,2022-1
8817,decreasing,2022-1
8951,unknown,2022-1
9175,NA,2022-1
9176,NA,2022-1
9177,NA,2022-1
9249,unknown,2022-1
9250,unknown,2022-1
9266,stable,2022-1
9461,unknown,2022-1
9463,NA,2022-1
9660,increasing,2022-1
10016,NA,2022-1
10017,NA,2022-1
10018,NA,2022-1
10019,NA,2022-1
10020,NA,2022-1
10021,NA,2022-1
10030,decreasing,2022-1
10056,decreasing,2022-1
10057,unknown,2022-1
10060,unknown,2022-1
10063,unknown,2022-1
10064,unknown,2022-1
10065,unknown,2022-1
10066,decreasing,2022-1
10069,unknown,2022-1
10070,decreasing,2022-1
10072,decreasing,2022-1
10074,unknown,2022-1
10075,decreasing,2022-1
10077,unknown,2022-1
10082,decreasing,2022-1
10083,unknown,2022-1
10087,decreasing,2022-1
10088,decreasing,2022-1
10089,stable,2022-1
10097,NA,2022-1
10105,NA,2022-1
10106,NA,2022-1
10268,decreasing,2022-1
10269,decreasing,2022-1
10273,NA,2022-1
10303,NA,2022-1
10340,unknown,2022-1
10707,unknown,2022-1
10708,unknown,2022-1
10724,unknown,2022-1
10939,unknown,2022-1
11030,unknown,2022-1
11047,unknown,2022-1
11048,unknown,2022-1
11060,stable,2022-1
11130,decreasing,2022-1
11140,unknown,2022-1
11141,unknown,2022-1
11142,unknown,2022-1
11143,unknown,2022-1
11144,unknown,2022-1
11145,unknown,2022-1
11146,unknown,2022-1
11150,decreasing,2022-1
