iucn_sid,code,habitat,suitability,season,majorimportance,api_error,param_id
3,1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,NA,Yes,NA,NA
4,1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,NA,Yes,NA,NA
5,1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,NA,Yes,NA,NA
6,1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,NA,Yes,NA,NA
7,1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,NA,Yes,NA,NA
8,1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,NA,Yes,NA,NA
9,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,NA,Yes,NA,NA
18,1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,NA,NA,NA,NA
18,6,"Rocky areas (eg. inland cliffs, mountain peaks)",Suitable,NA,NA,NA,NA
20,1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,NA,NA,NA,NA
43,12.5,Marine Intertidal - Salt Marshes (Emergent Grasses),Suitable,NA,NA,NA,NA
59,1.4,Forest - Temperate,Suitable,NA,Yes,NA,NA
59,3.4,Shrubland - Temperate,Suitable,NA,Yes,NA,NA
73,5.4,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",Suitable,resident,Yes,NA,NA
73,5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),Suitable,resident,Yes,NA,NA
74,NA,NA,NA,NA,NA,no data.frame,NA
75,15.2,Artificial/Aquatic - Ponds (below 8ha),Suitable,NA,NA,NA,NA
75,4.6,Grassland - Subtropical/Tropical Seasonally Wet/Flooded,Suitable,NA,NA,NA,NA
75,5.3,Wetlands (inland) - Shrub Dominated Wetlands,Suitable,NA,NA,NA,NA
75,5.8,Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha),Suitable,NA,NA,NA,NA
76,NA,NA,NA,NA,NA,no data.frame,NA
78,NA,NA,NA,NA,NA,no data.frame,NA
79,NA,NA,NA,NA,NA,no data.frame,NA
80,NA,NA,NA,NA,NA,no data.frame,NA
81,5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),Suitable,NA,NA,NA,NA
82,NA,NA,NA,NA,NA,no data.frame,NA
83,NA,NA,NA,NA,NA,no data.frame,NA
137,14.4,Artificial/Terrestrial - Rural Gardens,Suitable,NA,No,NA,NA
