iucn_sid,iucn_rgn,years,cat_ts,scores,pop_trend_desc,calc_trend
222,global,"2004, 2022","VU, VU","0.4, 0.4",stable,0
224,europe,"2011, 2022","CR, CR","0.8, 0.8",increasing,0
224,global,"2011, 2010, 1996, 2022","CR, CR, VU, CR","0.8, 0.8, 0.4, 0.8",increasing,0.01614
225,europe,"2010, 2024","CR, CR","0.8, 0.8",decreasing,0
225,global,"2010, 1996, 2022","CR, EN, CR","0.8, 0.6, 0.8",decreasing,0.00787
229,europe,"2010, 2024","CR, CR","0.8, 0.8",decreasing,0
229,global,"2010, 1996, 2022","CR, EN, CR","0.8, 0.6, 0.8",decreasing,0.00787
230,europe,"2010, 2024","CR, CR","0.8, 0.8",decreasing,0
230,global,"2010, 1996, 2022","CR, CR, CR","0.8, 0.8, 0.8",decreasing,0
232,europe,"2010, 2024","CR, CR","0.8, 0.8",decreasing,0
232,global,"2010, 1996, 2022","CR, EN, CR","0.8, 0.6, 0.8",decreasing,0.00787
233,global,"2006, 2022","NT, EN","0.2, 0.6",unknown,0.025
234,global,"2004, 2022","LC, VU","0, 0.4",stable,0.02222
235,europe,"2010, 2024","CR, CR","0.8, 0.8",decreasing,0
235,global,"2010, 1996, 2022","CR, EN, CR","0.8, 0.6, 0.8",decreasing,0.00787
236,global,"2010, 1996, 2022","CR, EN, CR","0.8, 0.6, 0.8",decreasing,0.00787
241,global,"2010, 1996, 2022","CR, EN, CR","0.8, 0.6, 0.8",decreasing,0.00787
244,global,"1996, 2022","VU, CR","0.4, 0.8",decreasing,0.01538
245,global,"2022, 2006","VU, NT","0.4, 0.2",increasing,0.0125
899,europe,"2007, 2025","LC, LC","0, 0",stable,0
899,global,"2008, 2014","LC, LC","0, 0",stable,0
903,europe,"2010, 2024","LC, CR","0, 0.8",decreasing,0.05714
904,europe,"2010, 2024","LC, NT","0, 0.2",unknown,0.01429
906,europe,"2010, 2024","LC, LC","0, 0",unknown,0
907,europe,"2010, 2024","VU, LC","0.4, 0",unknown,-0.02857
907,global,"2008, 2024","VU, LC","0.4, 0",decreasing,-0.025
908,global,"2021, 1996","NT, EN","0.2, 0.6",decreasing,-0.016
1086,global,"2020, 2004","VU, VU","0.4, 0.4",decreasing,-0
1308,global,"2015, 1996","LC, EN","0, 0.6",unknown,-0.03158
1615,global,"1996, 2015","VU, LC","0.4, 0",unknown,-0.02105
1793,global,"2008, 2004, 2015, 2021","LC, LC, NT, NT","0, 0, 0.2, 0.2",decreasing,0.01412
1847,europe,"2010, 2024","LC, LC","0, 0",unknown,0
1847,global,"2006, 2024","LC, LC","0, 0",decreasing,0
2055,global,"2008, 1996, 2016","LC, LC, LC","0, 0, 0",increasing,0
2057,global,"2008, 1996, 2015","EN, VU, EN","0.6, 0.4, 0.6",decreasing,0.01119
2058,global,"2008, 1996, 2014, 2016","LC, LC, LC, LC","0, 0, 0, 0",decreasing,0
2059,global,"2008, 1996, 2015","NT, VU, LC","0.2, 0.4, 0",increasing,-0.02058
2060,global,"2008, 1996, 2015","LC, LC, LC","0, 0, 0",increasing,0
2061,global,"2008, 1996, 2015","NT, VU, LC","0.2, 0.4, 0",increasing,-0.02058
2062,global,"2008, 1996, 2015","LC, LC, LC","0, 0, 0",stable,0
2113,global,"2016, 2004","LC, LC","0, 0",unknown,-0
2467,global,"1996, 2008, 2012, 2018","VU, LC, LC, LC","0.4, 0, 0, 0",increasing,-0.01931
2474,europe,"2007, 2023","LC, LC","0, 0",stable,0
2474,global,"1996, 2008, 2018","NT, LC, LC","0.2, 0, 0",unknown,-0.00934
2475,europe,"2007, 2023","EN, LC","0.6, 0",increasing,-0.0375
2475,global,"1996, 2008, 2018","EN, EN, EN","0.6, 0.6, 0.6",increasing,-0
2477,europe,"2007, 2023","EN, NT","0.6, 0.2",increasing,-0.025
2477,global,"1996, 2008, 2018","EN, EN, EN","0.6, 0.6, 0.6",increasing,-0
2478,europe,"2007, 2023","NT, LC","0.2, 0",unknown,-0.0125
2478,global,"1996, 2008, 2013, 2018","EN, EN, EN, VU","0.6, 0.6, 0.6, 0.4",increasing,-0.00694
2480,global,"1996, 2018","VU, NT","0.4, 0.2",unknown,-0.00909
2539,global,"2015, 1996","NT, VU","0.2, 0.4",decreasing,-0.01053
2644,global,"1996, 2015, 2020","VU, LC, LC","0.4, 0, 0",unknown,-0.01788
2762,global,"1996, 2020, 2021","VU, LC, LC","0.4, 0, 0",unknown,-0.01631
2763,global,"1996, 2020","VU, LC","0.4, 0",unknown,-0.01667
2958,global,"1996, 2020","CR, CR","0.8, 0.8",decreasing,0
3381,global,"2012, 1996, 2010, 2017","LC, NT, LC, LC","0, 0.2, 0, 0",stable,-0.0105
3590,global,"2008, 1996, 2015","VU, VU, VU","0.4, 0.4, 0.4",decreasing,0
3764,global,"2014, 1996","EN, VU","0.6, 0.4",unknown,0.01111
3778,global,"1996, 2018","LC, LC","0, 0",unknown,0
3851,global,"2021, 2000, 2009","VU, NT, NT","0.4, 0.2, 0.2",decreasing,0.00991
3852,global,"2019, 2009, 2000","EN, VU, NT","0.6, 0.4, 0.2",decreasing,0.02103
3853,global,"2021, 2000, 2009","EN, NT, VU","0.6, 0.2, 0.4",decreasing,0.01892
3854,global,"2021, 2000, 2009","CR, VU, VU","0.8, 0.4, 0.4",decreasing,0.01982
3855,global,"2019, 2009, 2000, 2022","VU, VU, VU, VU","0.4, 0.4, 0.4, 0.4",decreasing,-0
3897,global,"1996, 2015, 2017","EN, VU, VU","0.6, 0.4, 0.4",decreasing,-0.00993
4131,global,"1996, 2010","VU, LC","0.4, 0",stable,-0.02857
4160,global,"2008, 2013, 2017","NT, NT, NT","0.2, 0.2, 0.2",decreasing,-0
4162,global,"2000, 2008, 2013","EN, EN, EN","0.6, 0.6, 0.6",decreasing,-0
4292,global,"2019, 2000, 2009, 2021","EN, VU, VU, EN","0.6, 0.4, 0.4, 0.6",decreasing,0.01096
4360,global,"1996, 2010","VU, LC","0.4, 0",stable,-0.02857
4361,global,"1996, 2010","VU, LC","0.4, 0",stable,-0.02857
4362,global,"1996, 2010","VU, LC","0.4, 0",stable,-0.02857
4364,global,"1996, 2010","VU, LC","0.4, 0",stable,-0.02857
4615,global,"2004, 2023","EN, EN","0.6, 0.6",decreasing,0
4805,global,"2015, 1996","LC, VU","0, 0.4",unknown,-0.02105
4982,global,"2014, 2022","EN, EN","0.6, 0.6",decreasing,0
5269,global,"2012, 1996","LC, VU","0, 0.4",unknown,-0.025
5272,global,"2012, 1996","NT, VU","0.2, 0.4",unknown,-0.0125
5273,global,"2013, 1996","NT, VU","0.2, 0.4",unknown,-0.01176
5325,global,"1996, 2015","VU, LC","0.4, 0",unknown,-0.02105
5362,global,"1996, 2024","LC, LC","0, 0",stable,0
5363,europe,"2010, 2024","LC, LC","0, 0",stable,0
5363,global,"1996, 2024","LC, LC","0, 0",stable,0
5369,europe,"2008, 2024","VU, VU","0.4, 0.4",unknown,0
5374,europe,"2010, 2024","LC, LC","0, 0",stable,0
5375,europe,"2010, 2024","LC, LC","0, 0",unknown,0
5659,global,"2012, 2021, 2022","VU, VU, VU","0.4, 0.4, 0.4",increasing,-0
5668,global,"2021, 1996","LC, LC","0, 0",stable,-0
5675,global,"2007, 2025","LC, LC","0, 0",unknown,0
6204,global,"1996, 2008, 2016","LC, VU, VU","0, 0.4, 0.4",unknown,0.02105
6229,global,"2018, 2009","VU, NT","0.4, 0.2",decreasing,0.02222
6335,global,"1996, 2008, 2012, 2017","VU, NT, NT, LC","0.4, 0.2, 0.2, 0",unknown,-0.01745
6494,global,"2000, 2013","CR, VU","0.8, 0.4",decreasing,-0.03077
