iucn_sid,pop_trend,iucn_version,iucn_rgn
22692151,Increasing,2025-1,global
22695036,Increasing,2025-1,global
22696974,Increasing,2025-1,global
22697611,Increasing,2025-1,global
22705986,Increasing,2025-1,global
22705993,Increasing,2025-1,global
22724311,Increasing,2025-1,global
99167439,Increasing,2025-1,global
183775,Increasing,2025-1,global
22721033,Increasing,2025-1,global
116850766,Increasing,2025-1,global
22712077,Increasing,2025-1,global
22725846,Increasing,2025-1,global
22697568,Increasing,2025-1,global
98821820,Increasing,2025-1,global
39348,Increasing,2025-1,global
39382,Increasing,2025-1,global
39771,Increasing,2025-1,global
44609,Increasing,2025-1,global
60245,Increasing,2025-1,global
161345,Increasing,2025-1,global
161418,Increasing,2025-1,global
161419,Increasing,2025-1,global
161477,Increasing,2025-1,global
161491,Increasing,2025-1,global
161515,Increasing,2025-1,global
161574,Increasing,2025-1,global
124569516,Increasing,2025-1,global
161658,Increasing,2025-1,global
22693690,Increasing,2025-1,global
2475,Increasing,2025-1,global
22680203,Increasing,2025-1,global
22698049,Increasing,2025-1,global
22679943,Increasing,2025-1,global
22716364,Increasing,2025-1,global
22694847,Increasing,2025-1,global
22698310,Increasing,2025-1,global
22680423,Increasing,2025-1,global
22694282,Increasing,2025-1,global
22694317,Increasing,2025-1,global
22694329,Increasing,2025-1,global
22694334,Increasing,2025-1,global
22694337,Increasing,2025-1,global
22694379,Increasing,2025-1,global
22694393,Increasing,2025-1,global
22694417,Increasing,2025-1,global
22694432,Increasing,2025-1,global
22694455,Increasing,2025-1,global
22694462,Increasing,2025-1,global
22694469,Increasing,2025-1,global
22694646,Increasing,2025-1,global
22694841,Increasing,2025-1,global
22696657,Increasing,2025-1,global
22696675,Increasing,2025-1,global
22697619,Increasing,2025-1,global
22697839,Increasing,2025-1,global
22697852,Increasing,2025-1,global
22697859,Increasing,2025-1,global
22697866,Increasing,2025-1,global
22697949,Increasing,2025-1,global
22697957,Increasing,2025-1,global
22697975,Increasing,2025-1,global
22697984,Increasing,2025-1,global
22698088,Increasing,2025-1,global
22698335,Increasing,2025-1,global
22698375,Increasing,2025-1,global
22728349,Increasing,2025-1,global
22728437,Increasing,2025-1,global
22733989,Increasing,2025-1,global
22735929,Increasing,2025-1,global
62021891,Increasing,2025-1,global
22696773,Increasing,2025-1,global
22696776,Increasing,2025-1,global
224,Increasing,2025-1,global
224,Increasing,2025-1,europe
14521,Increasing,2025-1,global
14524,Increasing,2025-1,global
135690,Increasing,2025-1,global
188118,Increasing,2025-1,global
22679859,Increasing,2025-1,global
22711374,Increasing,2025-1,global
22680229,Increasing,2025-1,global
22680367,Increasing,2025-1,global
22680462,Increasing,2025-1,global
22680472,Increasing,2025-1,global
22680364,Increasing,2025-1,global
22693379,Increasing,2025-1,global
22728393,Increasing,2025-1,global
22729706,Increasing,2025-1,global
198730,Increasing,2025-1,global
198729,Increasing,2025-1,global
22692913,Increasing,2025-1,global
22718379,Increasing,2025-1,global
22694357,Increasing,2025-1,global
62030970,Increasing,2025-1,global
22680024,Increasing,2025-1,global
155187257,Increasing,2025-1,global
22727969,Increasing,2025-1,global
22694524,Increasing,2025-1,global
22696792,Increasing,2025-1,global
22697360,Increasing,2025-1,global
22696734,Increasing,2025-1,global
22710051,Increasing,2025-1,global
22678625,Increasing,2025-1,global
155249960,Increasing,2025-1,global
2477,Increasing,2025-1,global
22679896,Increasing,2025-1,global
22697758,Increasing,2025-1,global
158620855,Increasing,2025-1,global
158624465,Increasing,2025-1,global
158624557,Increasing,2025-1,global
158632105,Increasing,2025-1,global
158632774,Increasing,2025-1,global
158882810,Increasing,2025-1,global
159752331,Increasing,2025-1,global
133511,Increasing,2025-1,global
133511,Increasing,2025-1,mediterranean
22679839,Increasing,2025-1,europe
22679872,Increasing,2025-1,europe
22679896,Increasing,2025-1,europe
22679943,Increasing,2025-1,europe
22680492,Increasing,2025-1,europe
22683740,Increasing,2025-1,europe
22692146,Increasing,2025-1,europe
22693220,Increasing,2025-1,europe
22693431,Increasing,2025-1,europe
22693759,Increasing,2025-1,europe
22694160,Increasing,2025-1,europe
22694373,Increasing,2025-1,europe
22694379,Increasing,2025-1,europe
22694479,Increasing,2025-1,europe
22694591,Increasing,2025-1,europe
22694601,Increasing,2025-1,europe
22694764,Increasing,2025-1,europe
22694841,Increasing,2025-1,europe
22694852,Increasing,2025-1,europe
22694938,Increasing,2025-1,europe
22695137,Increasing,2025-1,europe
22696657,Increasing,2025-1,europe
22696734,Increasing,2025-1,europe
22696792,Increasing,2025-1,europe
22697031,Increasing,2025-1,europe
22697043,Increasing,2025-1,europe
22697360,Increasing,2025-1,europe
22697422,Increasing,2025-1,europe
22697555,Increasing,2025-1,europe
22697590,Increasing,2025-1,europe
22697599,Increasing,2025-1,europe
22698062,Increasing,2025-1,europe
22705929,Increasing,2025-1,europe
22716971,Increasing,2025-1,europe
22727969,Increasing,2025-1,europe
181568721,Increasing,2025-1,europe
22735929,Increasing,2025-1,europe
45354964,Increasing,2025-1,europe
22698572,Increasing,2025-1,global
21858,Increasing,2025-1,global
39337,Increasing,2025-1,global
177301951,Increasing,2025-1,global
22698280,Increasing,2025-1,global
22692156,Increasing,2025-1,global
181500967,Increasing,2025-1,global
22693627,Increasing,2025-1,global
22698350,Increasing,2025-1,global
22693811,Increasing,2025-1,global
22728303,Increasing,2025-1,global
63146,Increasing,2025-1,global
22697748,Increasing,2025-1,global
155249960,Increasing,2025-1,europe
161307554,Increasing,2025-1,europe
45354964,Increasing,2025-1,global
22694938,Increasing,2025-1,global
22695137,Increasing,2025-1,global
181568721,Increasing,2025-1,mediterranean
22694938,Increasing,2025-1,mediterranean
22694373,Increasing,2025-1,global
5659,Increasing,2025-1,global
155623,Increasing,2025-1,europe
22693899,Increasing,2025-1,global
13653,Increasing,2025-1,europe
62291168,Increasing,2025-1,global
22696712,Increasing,2025-1,global
13006,Increasing,2025-1,europe
216558801,Increasing,2025-1,global
2475,Increasing,2025-1,europe
2477,Increasing,2025-1,europe
2467,Increasing,2025-1,europe
135690,Increasing,2025-1,europe
22718379,Increasing,2025-1,europe
22680199,Increasing,2025-1,global
12419,Increasing,2025-1,europe
22697658,Increasing,2025-1,global
22679919,Increasing,2025-1,global
22694852,Increasing,2025-1,global
9660,Increasing,2025-1,europe
13653,Increasing,2025-1,global
22697516,Increasing,2025-1,global
155736,Increasing,2025-1,europe
22693663,Increasing,2025-1,global
22706033,Increasing,2025-1,global
22704484,Increasing,2025-1,global
22696391,Increasing,2025-1,global
22683710,Increasing,2025-1,global
22715501,Increasing,2025-1,global
22712294,Increasing,2025-1,global
104006526,Increasing,2025-1,global
22712068,Increasing,2025-1,global
22712071,Increasing,2025-1,global
103727557,Increasing,2025-1,global
22712266,Increasing,2025-1,global
22683740,Increasing,2025-1,global
22695144,Increasing,2025-1,global
22727471,Increasing,2025-1,global
22693978,Increasing,2025-1,global
22727677,Increasing,2025-1,global
22680236,Increasing,2025-1,global
22696926,Increasing,2025-1,global
22680011,Increasing,2025-1,global
22694086,Increasing,2025-1,global
10030,Decreasing,2025-1,global
11150,Decreasing,2025-1,global
11200,Decreasing,2025-1,global
12137,Decreasing,2025-1,global
12417,Decreasing,2025-1,global
12695,Decreasing,2025-1,global
13145,Decreasing,2025-1,global
13145,Decreasing,2025-1,caribbean
13145,Decreasing,2025-1,gulf_of mexico
153538,Decreasing,2025-1,mediterranean
154708,Decreasing,2025-1,global
155018,Decreasing,2025-1,global
155130,Decreasing,2025-1,global
155152,Decreasing,2025-1,global
161373,Decreasing,2025-1,global
161378,Decreasing,2025-1,global
161403,Decreasing,2025-1,global
161436,Decreasing,2025-1,global
161514,Decreasing,2025-1,global
161518,Decreasing,2025-1,global
161564,Decreasing,2025-1,global
161610,Decreasing,2025-1,global
161696,Decreasing,2025-1,global
161718,Decreasing,2025-1,global
161743,Decreasing,2025-1,global
162627,Decreasing,2025-1,global
162917,Decreasing,2025-1,global
163017,Decreasing,2025-1,global
163141,Decreasing,2025-1,global
163337,Decreasing,2025-1,global
163339,Decreasing,2025-1,global
163340,Decreasing,2025-1,global
163458,Decreasing,2025-1,global
16475,Decreasing,2025-1,global
135458600,Decreasing,2025-1,global
165413,Decreasing,2025-1,europe
166200,Decreasing,2025-1,global
166442,Decreasing,2025-1,global
166641,Decreasing,2025-1,global
166966,Decreasing,2025-1,global
166979,Decreasing,2025-1,global
169975,Decreasing,2025-1,global
170168,Decreasing,2025-1,global
170173,Decreasing,2025-1,global
170183,Decreasing,2025-1,global
170184,Decreasing,2025-1,global
170194,Decreasing,2025-1,global
170199,Decreasing,2025-1,global
170200,Decreasing,2025-1,global
170204,Decreasing,2025-1,global
170208,Decreasing,2025-1,global
170225,Decreasing,2025-1,global
170226,Decreasing,2025-1,global
170244,Decreasing,2025-1,global
170247,Decreasing,2025-1,global
170256,Decreasing,2025-1,global
17026,Decreasing,2025-1,global
170526,Decreasing,2025-1,global
180238,Decreasing,2025-1,global
180257,Decreasing,2025-1,global
180265,Decreasing,2025-1,global
180275,Decreasing,2025-1,global
180337,Decreasing,2025-1,global
180352,Decreasing,2025-1,global
180373,Decreasing,2025-1,global
180411,Decreasing,2025-1,global
180424,Decreasing,2025-1,global
180481,Decreasing,2025-1,global
180518,Decreasing,2025-1,global
185869,Decreasing,2025-1,global
185977,Decreasing,2025-1,global
185977,Decreasing,2025-1,caribbean
186014,Decreasing,2025-1,global
186014,Decreasing,2025-1,caribbean
186016,Decreasing,2025-1,global
186016,Decreasing,2025-1,caribbean
186056,Decreasing,2025-1,global
186985,Decreasing,2025-1,global
188319,Decreasing,2025-1,global
188343,Decreasing,2025-1,global
188350,Decreasing,2025-1,global
188356,Decreasing,2025-1,global
188370,Decreasing,2025-1,global
188386,Decreasing,2025-1,global
188397,Decreasing,2025-1,global
188406,Decreasing,2025-1,global
188416,Decreasing,2025-1,global
188447,Decreasing,2025-1,global
188472,Decreasing,2025-1,global
188498,Decreasing,2025-1,global
188528,Decreasing,2025-1,global
188529,Decreasing,2025-1,global
188546,Decreasing,2025-1,global
188548,Decreasing,2025-1,global
188554,Decreasing,2025-1,global
188555,Decreasing,2025-1,global
188563,Decreasing,2025-1,global
188565,Decreasing,2025-1,global
188582,Decreasing,2025-1,global
188608,Decreasing,2025-1,global
188614,Decreasing,2025-1,global
189675,Decreasing,2025-1,global
190078,Decreasing,2025-1,global
190132,Decreasing,2025-1,global
190138,Decreasing,2025-1,global
190206,Decreasing,2025-1,global
190221,Decreasing,2025-1,global
190224,Decreasing,2025-1,global
190246,Decreasing,2025-1,global
190295,Decreasing,2025-1,global
190968,Decreasing,2025-1,global
192286,Decreasing,2025-1,global
192350,Decreasing,2025-1,global
192403,Decreasing,2025-1,global
192475,Decreasing,2025-1,global
192487,Decreasing,2025-1,global
192521,Decreasing,2025-1,global
192522,Decreasing,2025-1,global
192541,Decreasing,2025-1,global
192556,Decreasing,2025-1,global
192602,Decreasing,2025-1,global
192626,Decreasing,2025-1,global
192709,Decreasing,2025-1,global
192852,Decreasing,2025-1,global
192920,Decreasing,2025-1,global
192944,Decreasing,2025-1,global
193095,Decreasing,2025-1,global
193208,Decreasing,2025-1,global
193598,Decreasing,2025-1,global
193602,Decreasing,2025-1,global
193605,Decreasing,2025-1,global
193612,Decreasing,2025-1,global
193622,Decreasing,2025-1,global
193624,Decreasing,2025-1,global
193641,Decreasing,2025-1,global
193666,Decreasing,2025-1,global
193700,Decreasing,2025-1,global
193781,Decreasing,2025-1,global
193796,Decreasing,2025-1,global
193809,Decreasing,2025-1,global
193810,Decreasing,2025-1,global
194299,Decreasing,2025-1,global
194303,Decreasing,2025-1,global
194341,Decreasing,2025-1,global
194343,Decreasing,2025-1,global
194344,Decreasing,2025-1,global
194406,Decreasing,2025-1,global
19488,Decreasing,2025-1,global
195036,Decreasing,2025-1,global
195069,Decreasing,2025-1,global
195475,Decreasing,2025-1,global
195876,Decreasing,2025-1,global
196322,Decreasing,2025-1,global
196340,Decreasing,2025-1,global
196370,Decreasing,2025-1,global
196377,Decreasing,2025-1,global
196395,Decreasing,2025-1,global
196435,Decreasing,2025-1,global
196824,Decreasing,2025-1,global
197321,Decreasing,2025-1,global
197322,Decreasing,2025-1,global
197330,Decreasing,2025-1,global
199118,Decreasing,2025-1,global
200715,Decreasing,2025-1,global
201946,Decreasing,2025-1,global
203487,Decreasing,2025-1,europe
21341,Decreasing,2025-1,global
21343,Decreasing,2025-1,global
22003,Decreasing,2025-1,global
22563,Decreasing,2025-1,mediterranean
97358453,Decreasing,2025-1,global
3851,Decreasing,2025-1,global
3852,Decreasing,2025-1,global
3853,Decreasing,2025-1,global
3854,Decreasing,2025-1,global
3898,Decreasing,2025-1,global
39331,Decreasing,2025-1,global
