iucn_sid,iucn_rgn,pop_trend,iucn_version
224,europe,increasing,2024-1
225,europe,decreasing,2024-1
229,europe,decreasing,2024-1
230,europe,decreasing,2024-1
232,europe,decreasing,2024-1
235,europe,decreasing,2024-1
245,europe,unknown,2024-1
907,europe,decreasing,2024-1
2352,mediterranean,stable,2024-1
2352,europe,unknown,2024-1
2467,europe,increasing,2024-1
2474,europe,stable,2024-1
2475,europe,increasing,2024-1
2476,europe,unknown,2024-1
2477,europe,increasing,2024-1
2478,mediterranean,decreasing,2024-1
2478,europe,unknown,2024-1
2539,europe,unknown,2024-1
3851,mediterranean,unknown,2024-1
3851,europe,unknown,2024-1
3852,mediterranean,unknown,2024-1
3852,europe,unknown,2024-1
3853,mediterranean,decreasing,2024-1
3853,europe,decreasing,2024-1
3854,mediterranean,decreasing,2024-1
3854,europe,decreasing,2024-1
3855,mediterranean,decreasing,2024-1
3855,europe,decreasing,2024-1
4292,mediterranean,decreasing,2024-1
4292,europe,stable,2024-1
4616,mediterranean,increasing,2024-1
5675,pan-africa,unknown,2024-1
5675,southern_africa,unknown,2024-1
6204,europe,unknown,2024-1
6229,mediterranean,decreasing,2024-1
6229,europe,decreasing,2024-1
6335,europe,unknown,2024-1
7135,pan-africa,unknown,2024-1
7135,eastern_africa,unknown,2024-1
7135,southern_africa,unknown,2024-1
7859,mediterranean,decreasing,2024-1
7859,europe,decreasing,2024-1
8010,europe,unknown,2024-1
8097,europe,NA,2024-1
8262,mediterranean,decreasing,2024-1
8551,europe,unknown,2024-1
8784,europe,increasing,2024-1
8951,europe,unknown,2024-1
9249,europe,unknown,2024-1
9250,mediterranean,unknown,2024-1
9250,europe,unknown,2024-1
9266,pan-africa,unknown,2024-1
9266,eastern_africa,unknown,2024-1
9461,mediterranean,unknown,2024-1
9461,europe,unknown,2024-1
9660,europe,increasing,2024-1
10030,mediterranean,stable,2024-1
10030,europe,stable,2024-1
10066,europe,unknown,2024-1
10069,mediterranean,decreasing,2024-1
10069,europe,unknown,2024-1
10097,europe,stable,2024-1
10269,europe,decreasing,2024-1
10707,europe,unknown,2024-1
11030,mediterranean,unknown,2024-1
11030,europe,unknown,2024-1
11047,europe,unknown,2024-1
11048,europe,unknown,2024-1
11140,europe,unknown,2024-1
11141,europe,stable,2024-1
11142,europe,stable,2024-1
11200,mediterranean,decreasing,2024-1
11200,europe,decreasing,2024-1
12419,mediterranean,decreasing,2024-1
12419,europe,unknown,2024-1
13006,europe,increasing,2024-1
13045,europe,unknown,2024-1
13232,mediterranean,unknown,2024-1
13232,europe,unknown,2024-1
13241,europe,unknown,2024-1
13244,europe,unknown,2024-1
13245,europe,unknown,2024-1
13247,europe,unknown,2024-1
13250,europe,unknown,2024-1
13273,europe,unknown,2024-1
13653,mediterranean,decreasing,2024-1
13653,europe,increasing,2024-1
13704,europe,decreasing,2024-1
14054,mediterranean,unknown,2024-1
14054,europe,unknown,2024-1
14264,pan-africa,decreasing,2024-1
14264,southern_africa,decreasing,2024-1
15106,europe,unknown,2024-1
15421,europe,unknown,2024-1
15873,mediterranean,stable,2024-1
15873,europe,unknown,2024-1
16012,eastern_africa,unknown,2024-1
16564,europe,unknown,2024-1
16781,europe,unknown,2024-1
17013,europe,unknown,2024-1
17027,europe,stable,2024-1
18175,central_africa,unknown,2024-1
18175,mediterranean,decreasing,2024-1
18175,europe,decreasing,2024-1
18376,europe,unknown,2024-1
18596,europe,unknown,2024-1
18878,europe,unknown,2024-1
19387,pan-africa,unknown,2024-1
19855,europe,decreasing,2024-1
20731,mediterranean,unknown,2024-1
20731,europe,unknown,2024-1
20732,europe,unknown,2024-1
20738,europe,unknown,2024-1
21257,mediterranean,unknown,2024-1
21257,europe,unknown,2024-1
21856,mediterranean,stable,2024-1
21856,europe,decreasing,2024-1
21860,mediterranean,decreasing,2024-1
21860,europe,decreasing,2024-1
21860,europe,decreasing,2024-1
22563,mediterranean,decreasing,2024-1
22563,europe,unknown,2024-1
22823,europe,decreasing,2024-1
23148,mediterranean,decreasing,2024-1
23148,europe,decreasing,2024-1
23211,mediterranean,unknown,2024-1
23211,europe,unknown,2024-1
23259,mediterranean,unknown,2024-1
23259,europe,stable,2024-1
39332,mediterranean,decreasing,2024-1
39332,europe,decreasing,2024-1
39336,europe,unknown,2024-1
39339,mediterranean,decreasing,2024-1
39339,europe,decreasing,2024-1
39341,mediterranean,decreasing,2024-1
39341,europe,unknown,2024-1
39352,mediterranean,decreasing,2024-1
39352,europe,decreasing,2024-1
39357,mediterranean,decreasing,2024-1
39357,europe,stable,2024-1
39358,mediterranean,decreasing,2024-1
39358,europe,decreasing,2024-1
39370,europe,unknown,2024-1
39374,europe,decreasing,2024-1
39378,europe,unknown,2024-1
39381,mediterranean,decreasing,2024-1
39381,europe,decreasing,2024-1
39385,europe,decreasing,2024-1
39386,europe,decreasing,2024-1
39388,mediterranean,decreasing,2024-1
39388,europe,decreasing,2024-1
39399,mediterranean,decreasing,2024-1
39399,europe,stable,2024-1
39400,europe,stable,2024-1
39414,western_africa,unknown,2024-1
39414,central_africa,unknown,2024-1
40710,europe,unknown,2024-1
41006,mediterranean,decreasing,2024-1
41006,europe,unknown,2024-1
41671,europe,unknown,2024-1
41672,europe,increasing,2024-1
41712,europe,decreasing,2024-1
41741,mediterranean,unknown,2024-1
41741,europe,unknown,2024-1
41745,europe,decreasing,2024-1
41747,mediterranean,stable,2024-1
41747,europe,decreasing,2024-1
41755,mediterranean,decreasing,2024-1
41755,europe,decreasing,2024-1
41762,mediterranean,decreasing,2024-1
41794,europe,unknown,2024-1
41798,europe,increasing,2024-1
41801,mediterranean,decreasing,2024-1
41801,europe,decreasing,2024-1
41823,mediterranean,unknown,2024-1
41823,europe,unknown,2024-1
41830,europe,stable,2024-1
