name,count,code,country,presence,origin,distribution_code
2475,44,AO,Angola,Extant,Native,unspecified
2475,44,AR,Argentina,Extant,Native,unspecified
2475,44,AU,Australia,Extant,Native,unspecified
2475,44,BM,Bermuda,Extant,Native,unspecified
2475,44,BR,Brazil,Extant,Native,unspecified
2475,44,BS,Bahamas,Extant,Native,unspecified
2475,44,CA,Canada,Extant,Native,unspecified
2475,44,CL,Chile,Extant,Native,unspecified
2475,44,CV,Cabo Verde,Extant,Native,unspecified
2475,44,DO,Dominican Republic,Extant,Native,unspecified
2475,44,EH,Western Sahara,Extant,Native,unspecified
2475,44,ES,Spain,Extant,Native,unspecified
2475,44,FK,Falkland Islands (Malvinas),Extant,Native,unspecified
2475,44,FO,Faroe Islands,Extant,Native,unspecified
2475,44,GB,United Kingdom of Great Britain and Northern Ireland,Extant,Native,unspecified
2475,44,GI,Gibraltar,Extant,Native,unspecified
2475,44,GL,Greenland,Extant,Native,unspecified
2475,44,GS,South Georgia and the South Sandwich Islands,Extant,Native,unspecified
2475,44,GU,Guam,Extant,Native,unspecified
2475,44,ID,Indonesia,Possibly Extant,Native,unspecified
2475,44,IE,Ireland,Extant,Native,unspecified
2475,44,IS,Iceland,Extant,Native,unspecified
2475,44,JP,Japan,Extant,Native,unspecified
2475,44,KP,"Korea, Democratic People's Republic of",Extant,Native,unspecified
2475,44,KR,"Korea, Republic of",Extant,Native,unspecified
2475,44,MA,Morocco,Extant,Native,unspecified
2475,44,MG,Madagascar,Extant,Native,unspecified
2475,44,MP,Northern Mariana Islands,Extant,Native,unspecified
2475,44,MR,Mauritania,Extant,Native,unspecified
2475,44,MX,Mexico,Extant,Native,unspecified
2475,44,"NA",Namibia,Extant,Native,unspecified
2475,44,NO,Norway,Extant,Native,unspecified
2475,44,NZ,New Zealand,Extant,Native,unspecified
2475,44,PE,Peru,Extant,Native,unspecified
2475,44,PM,Saint Pierre and Miquelon,Extant,Native,unspecified
2475,44,PT,Portugal,Extant,Native,unspecified
2475,44,RE,Réunion,Extant,Native,unspecified
2475,44,RU,Russian Federation,Extant,Native,unspecified
2475,44,SH,"Saint Helena, Ascension and Tristan da Cunha",Extant,Native,unspecified
2475,44,TC,Turks and Caicos Islands,Extant,Native,unspecified
2475,44,TF,French Southern Territories,Extant,Native,unspecified
2475,44,US,United States of America,Extant,Native,unspecified
2475,44,UY,Uruguay,Extant,Native,unspecified
2475,44,ZA,South Africa,Extant,Native,unspecified
