name,count,code,country,presence,origin,distribution_code
8099,9,CA,Canada,Extant,Native,unspecified
8099,9,CN,China,Extant,Native,unspecified
8099,9,JP,Japan,Extant,Native,unspecified
8099,9,KP,"Korea, Democratic People's Republic of",Possibly Extinct,Native,unspecified
8099,9,KR,"Korea, Republic of",Possibly Extinct,Native,unspecified
8099,9,MX,Mexico,Extant,Native,unspecified
8099,9,RU,Russian Federation,Extant,Native,unspecified
8099,9,US,United States of America,Extant,Native,unspecified
8099,9,VN,Viet Nam,Presence Uncertain,Native,unspecified
