name,count,code,country,presence,origin,distribution_code
2762,12,AQ,Antarctica,Extant,Native,unspecified
2762,12,AR,Argentina,Extant,Native,unspecified
2762,12,AU,Australia,Extant,Native,unspecified
2762,12,BR,Brazil,Extant,Native,unspecified
2762,12,CL,Chile,Extant,Native,unspecified
2762,12,FK,Falkland Islands (Malvinas),Extant,Native,unspecified
2762,12,GS,South Georgia and the South Sandwich Islands,Extant,Native,unspecified
2762,12,HM,Heard Island and McDonald Islands,Extant,Native,unspecified
2762,12,NZ,New Zealand,Extant,Native,unspecified
2762,12,TF,French Southern Territories,Extant,Native,unspecified
2762,12,UY,Uruguay,Extant,Native,unspecified
2762,12,ZA,South Africa,Extant,Native,unspecified
