"","rgn_id","rgn","score_new","score_old","rgn_name","diff"
"1",8,"status",1,0.269,"Palau",0.731
"2",20,"status",0.921,0.777,"South Korea",0.144
"3",28,"status",0.756,0.003,"Comoro Islands",0.753
"4",31,"status",0.767,0.561,"Seychelles",0.206
"5",41,"status",0.151,0.836,"Mozambique",-0.685
"6",73,"status",0.077,0.878,"Russia",-0.801
"7",79,"status",0.148,0.088,"Israel",0.06
"8",85,"status",1,0.254,"Ascension",0.746
"9",102,"status",1,0.901,"South Africa",0.099
"10",114,"status",0.739,0.072,"Haiti",0.667
"11",119,"status",0.94,0,"Saint Kitts and Nevis",0.94
"12",130,"status",0.845,0.539,"Costa Rica",0.306
"13",132,"status",0.667,0.9,"Colombia",-0.233
"14",154,"status",0,0.363,"Niue",-0.363
"15",155,"status",0.292,0.037,"Tonga",0.255
"16",167,"status",0.233,0.171,"Guyana",0.062
"17",195,"status",0.173,0.225,"Ivory Coast",-0.052
"18",205,"status",0.122,0.373,"Myanmar",-0.251
"19",224,"status",1,0.872,"Chile",0.128
"20",237,"status",0.576,0.345,"Oecussi Ambeno",0.231
